Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	999.999999999996	0.934	347.785	34.779%	45.109	36.162%	0.11006	0.795
OGG1_0_real_train1	999.9999999999969	0.773	791.636	79.164%	270.168	66.878%	0.4884	0.763
RNF168_0_real_train1	999.999999999999	0.919	442.89	44.289%	57.43	39.544%	0.19852	0.832
UNG_0_real_train1	999.999999999998	0.919	522.539	52.254%	79.896	39.829%	0.26798	0.891
ATP2B4_0_real_train1	999.999999999997	0.925	565.157	56.516%	96.028	39.75%	0.29729	0.911
ATP2B4_1_real_train1	999.9999999999966	0.92	544.013	54.401%	114.01	40.801%	0.34731	0.91
MLH1_0_real_train1	999.9999999999964	0.957	331.186	33.119%	54.913	28.897%	0.13045	0.94
MSH2_0_real_train1	999.9999999999961	0.973	311.041	31.104%	43.937	23.323%	0.11808	0.961
MSH6_0_real_train1	999.9999999999951	0.975	252.379	25.238%	41.405	22.548%	0.07658	0.964
MSH6_1_real_train1	999.9999999999968	0.975	275.145	27.515%	41.662	22.412%	0.08957	0.965
PMS1_0_real_train1	999.9999999999966	0.932	486.978	48.698%	86.507	37.614%	0.23099	0.918
PMS2_0_real_train1	999.9999999999953	0.953	311.351	31.135%	49.247	30.568%	0.08793	0.921
EXO1_0_multinomial_train1	999.999999999996	0.922	396.684	39.668%	49.546	38.898%	0.13313	0.773
RNF168_0_multinomial_train1	999.9999999999989	0.855	584.529	58.453%	80.934	52.962%	0.39658	0.731
RNF168_0_multinomial_train1.1	999.999999999999	0.833	676.749	67.675%	94.015	55.878%	0.4808	0.724
EXO1_0_multinomial_train1.1	999.9999999999959	0.927	370.812	37.081%	48.755	37.829%	0.13777	0.798
RNF168_0_multinomial_train1.2	999.9999999999989	0.867	615.492	61.549%	84.232	51.106%	0.42358	0.78
RNF168_0_multinomial_train1.3	999.999999999999	0.837	673.793	67.379%	86.957	55.042%	0.48751	0.702
RNF168_0_multinomial_train1.4	999.9999999999991	0.905	533.709	53.371%	69.295	42.668%	0.34048	0.838
RNF168_0_multinomial_train1.5	999.9999999999991	0.856	583.798	58.38%	81.485	52.802%	0.44434	0.737
RNF168_0_multinomial_train1.6	999.999999999999	0.887	571.766	57.177%	77.794	46.192%	0.41123	0.815
RNF168_0_multinomial_train1.7	999.9999999999991	0.838	636.271	63.627%	82.189	54.717%	0.39334	0.674
RNF168_0_multinomial_train1.8	999.999999999999	0.865	605.712	60.571%	78.791	50.175%	0.35727	0.751
EXO1_0_multinomial_train1.2	999.9999999999961	0.924	386.631	38.663%	50.572	38.247%	0.15809	0.801
EXO1_0_multinomial_train1.3	999.9999999999961	0.921	398.034	39.803%	50.745	39.681%	0.14965	0.78
