Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_real_train_fold1	999.9999999999966	0.915	541.486	54.149%	105.911	41.567%	0.29392	0.9
ATP2B4_real_train_fold1.1	999.999999999997	0.925	565.157	56.516%	96.028	39.75%	0.29729	0.911
MLH1_real_train_fold1	999.9999999999959	0.967	309.016	30.902%	45.02	25.371%	0.11191	0.951
MSH2_real_train_fold1	999.9999999999955	0.967	293.861	29.386%	46.684	25.608%	0.09226	0.951
MSH6_real_train_fold1	999.999999999999	0.977	272.438	27.244%	40.237	21.586%	0.09075	0.968
MSH6_real_train_fold1.1	999.9999999999965	0.979	260.619	26.062%	37.413	20.544%	0.08463	0.97
MSH6_real_train_fold1.2	999.9999999999962	0.97	293.148	29.315%	43.95	24.184%	0.10854	0.956
OGG1_real_train_fold1	999.999999999998	0.776	742.412	74.241%	261.755	66.194%	0.40273	0.765
PMS1_real_train_fold1	999.9999999999993	0.942	457.135	45.714%	77.528	34.23%	0.24815	0.929
PMS2_real_train_fold1	999.9999999999958	0.947	360.114	36.011%	54.492	32.114%	0.1406	0.916
RNF168_real_train_fold1	999.999999999999	0.919	442.89	44.289%	57.43	39.544%	0.19852	0.832
UNG_real_train_fold1	999.999999999998	0.919	522.539	52.254%	79.896	39.829%	0.26798	0.891
ATP2B4_dirichlet_train_fold1	999.9999999999977	0.851	847.665	84.767%	152.772	54.384%	0.59116	0.831
ATP2B4_dirichlet_train_fold1.1	999.9999999999978	0.868	754.394	75.439%	126.343	49.994%	0.58332	0.841
ATP2B4_dirichlet_train_fold1.2	999.9999999999975	0.896	690.857	69.086%	100.791	44.659%	0.53526	0.867
ATP2B4_dirichlet_train_fold1.3	999.999999999997	0.818	807.402	80.74%	135.588	57.665%	0.55835	0.77
ATP2B4_dirichlet_train_fold1.4	999.999999999998	0.886	732.429	73.243%	111.178	47.223%	0.58094	0.86
ATP2B4_dirichlet_train_fold1.5	999.999999999998	0.851	829.68	82.968%	131.419	53.082%	0.61607	0.819
ATP2B4_dirichlet_train_fold1.6	999.9999999999982	0.907	669.211	66.921%	115.52	43.554%	0.46472	0.892
ATP2B4_dirichlet_train_fold1.7	999.9999999999982	0.874	716.649	71.665%	134.061	49.621%	0.66706	0.853
ATP2B4_dirichlet_train_fold1.8	999.9999999999978	0.853	793.438	79.344%	162.321	53.504%	0.59182	0.835
ATP2B4_dirichlet_train_fold1.9	999.9999999999982	0.868	730.949	73.095%	148.001	50.47%	0.71993	0.85
ATP2B4_dirichlet_train_fold1.10	999.999999999998	0.891	745.077	74.508%	122.319	46.225%	0.55317	0.872
ATP2B4_dirichlet_train_fold1.11	999.9999999999975	0.85	782.47	78.247%	153.071	54.001%	0.54487	0.828
ATP2B4_dirichlet_train_fold1.12	999.9999999999977	0.797	879.1	87.91%	138.271	60.424%	0.71489	0.739
ATP2B4_dirichlet_train_fold1.13	999.9999999999977	0.841	820.663	82.066%	114.183	54.178%	0.61961	0.786
ATP2B4_dirichlet_train_fold1.14	999.9999999999976	0.897	702.925	70.293%	113.665	44.689%	0.52254	0.877
ATP2B4_dirichlet_train_fold1.15	999.9999999999981	0.798	862.443	86.244%	168.032	60.521%	0.75989	0.762
ATP2B4_dirichlet_train_fold1.16	999.9999999999982	0.892	714.058	71.406%	139.58	47.077%	0.5249	0.879
ATP2B4_dirichlet_train_fold1.17	999.9999999999975	0.821	830.421	83.042%	145.779	57.755%	0.59815	0.784
ATP2B4_dirichlet_train_fold1.18	999.999999999998	0.823	783.558	78.356%	150.258	57.087%	0.61662	0.789
ATP2B4_dirichlet_train_fold1.19	999.9999999999982	0.882	702.362	70.236%	123.662	48.227%	0.50708	0.86
ATP2B4_dirichlet_train_fold1.20	999.999999999998	0.899	734.3	73.43%	114.174	44.969%	0.54769	0.881
ATP2B4_dirichlet_train_fold1.21	999.9999999999981	0.785	922.383	92.238%	151.694	62.121%	0.76439	0.732
ATP2B4_dirichlet_train_fold1.22	999.9999999999975	0.847	801.229	80.123%	127.119	53.438%	0.6999	0.809
ATP2B4_dirichlet_train_fold1.23	999.9999999999977	0.936	615.493	61.549%	102.442	35.781%	0.4755	0.927
ATP2B4_dirichlet_train_fold1.24	999.9999999999984	0.856	746.78	74.678%	108.618	51.978%	0.62151	0.807
ATP2B4_dirichlet_train_fold1.25	999.9999999999976	0.864	706.01	70.601%	120.019	50.47%	0.56807	0.831
ATP2B4_dirichlet_train_fold1.26	999.9999999999981	0.92	693.259	69.326%	108.956	39.608%	0.54643	0.906
ATP2B4_dirichlet_train_fold1.27	999.9999999999978	0.889	741.497	74.15%	144.915	47.984%	0.47708	0.877
ATP2B4_dirichlet_train_fold1.28	999.9999999999976	0.832	790.685	79.069%	119.98	56.2%	0.51854	0.779
ATP2B4_dirichlet_train_fold1.29	999.9999999999976	0.763	934.93	93.493%	188.583	65.495%	0.70785	0.726
ATP2B4_dirichlet_train_fold1.30	999.999999999998	0.823	800.984	80.098%	140.365	57.395%	0.65887	0.782
ATP2B4_dirichlet_train_fold1.31	999.9999999999976	0.835	853.293	85.329%	160.938	57.659%	0.64326	0.817
ATP2B4_dirichlet_train_fold1.32	999.9999999999983	0.879	818.067	81.807%	151.668	49.603%	0.7739	0.866
ATP2B4_dirichlet_train_fold1.33	999.9999999999974	0.882	701.777	70.178%	118.63	47.366%	0.49853	0.857
ATP2B4_dirichlet_train_fold1.34	999.9999999999984	0.76	892.095	89.21%	196.505	65.815%	0.67969	0.726
ATP2B4_dirichlet_train_fold1.35	999.9999999999977	0.853	749.622	74.962%	157.733	53.721%	0.5264	0.834
ATP2B4_dirichlet_train_fold1.36	999.9999999999976	0.893	692.925	69.293%	130.362	46.068%	0.47865	0.877
ATP2B4_dirichlet_train_fold1.37	999.999999999998	0.914	694.347	69.435%	114.145	42.031%	0.60365	0.901
ATP2B4_dirichlet_train_fold1.38	999.9999999999973	0.826	804.786	80.479%	140.368	56.814%	0.53425	0.788
ATP2B4_dirichlet_train_fold1.39	999.9999999999977	0.866	789.87	78.987%	133.281	50.957%	0.61383	0.842
ATP2B4_dirichlet_train_fold1.40	999.9999999999976	0.932	654.377	65.438%	112.672	37.652%	0.50318	0.924
ATP2B4_dirichlet_train_fold1.41	999.9999999999977	0.874	708.324	70.832%	109.955	48.598%	0.63106	0.839
ATP2B4_dirichlet_train_fold1.42	999.9999999999973	0.848	757.903	75.79%	124.461	52.943%	0.55772	0.809
ATP2B4_dirichlet_train_fold1.43	999.999999999998	0.853	807.814	80.781%	131.236	52.122%	0.81834	0.822
ATP2B4_dirichlet_train_fold1.44	999.9999999999982	0.855	821.519	82.152%	139.282	52.378%	0.57889	0.829
ATP2B4_dirichlet_train_fold1.45	999.999999999998	0.874	827.19	82.719%	139.091	50.418%	0.6465	0.856
ATP2B4_dirichlet_train_fold1.46	999.9999999999976	0.764	931.414	93.141%	172.571	64.518%	0.69691	0.716
ATP2B4_dirichlet_train_fold1.47	999.9999999999981	0.769	946.022	94.602%	168.62	64.89%	0.69798	0.725
ATP2B4_dirichlet_train_fold1.48	999.9999999999977	0.822	901.542	90.154%	137.462	57.065%	0.78612	0.778
ATP2B4_dirichlet_train_fold1.49	999.999999999998	0.868	753.744	75.374%	121.664	50.789%	0.57611	0.839
ATP2B4_dirichlet_train_fold1.50	999.9999999999976	0.849	749.854	74.985%	142.187	53.288%	0.64374	0.821
ATP2B4_dirichlet_train_fold1.51	999.9999999999977	0.909	654.096	65.41%	97.571	41.94%	0.55071	0.886
ATP2B4_dirichlet_train_fold1.52	999.999999999998	0.777	862.501	86.25%	174.53	63.43%	0.79633	0.737
ATP2B4_dirichlet_train_fold1.53	999.9999999999983	0.888	683.056	68.306%	127.613	46.841%	0.49832	0.87
ATP2B4_dirichlet_train_fold1.54	999.9999999999974	0.875	712.308	71.231%	100.231	49.04%	0.4868	0.833
ATP2B4_dirichlet_train_fold1.55	999.9999999999972	0.855	753.567	75.357%	122.729	51.823%	0.63324	0.819
ATP2B4_dirichlet_train_fold1.56	999.999999999998	0.823	811.986	81.199%	173.43	57.69%	0.62481	0.799
ATP2B4_dirichlet_train_fold1.57	999.9999999999976	0.847	807.217	80.722%	154.221	53.687%	0.66232	0.824
ATP2B4_dirichlet_train_fold1.58	999.9999999999975	0.895	728.632	72.863%	126.975	47.352%	0.56232	0.882
ATP2B4_dirichlet_train_fold1.59	999.9999999999976	0.732	933.959	93.396%	155.054	68.314%	0.90592	0.647
ATP2B4_dirichlet_train_fold1.60	999.9999999999975	0.803	861.287	86.129%	143.262	59.599%	0.66851	0.753
ATP2B4_dirichlet_train_fold1.61	999.9999999999974	0.883	737.896	73.79%	136.835	48.803%	0.53997	0.867
ATP2B4_dirichlet_train_fold1.62	999.9999999999981	0.842	798.433	79.843%	136.523	55.723%	0.64556	0.812
ATP2B4_dirichlet_train_fold1.63	999.9999999999975	0.871	766.513	76.651%	144.732	49.964%	0.62327	0.852
ATP2B4_dirichlet_train_fold1.64	999.999999999998	0.854	739.122	73.912%	112.095	51.993%	0.58449	0.807
ATP2B4_dirichlet_train_fold1.65	999.999999999998	0.833	837.782	83.778%	138.957	55.401%	0.72414	0.796
ATP2B4_dirichlet_train_fold1.66	999.9999999999976	0.817	832.808	83.281%	143.262	58.128%	0.67639	0.775
ATP2B4_dirichlet_train_fold1.67	999.9999999999975	0.874	760.058	76.006%	128.959	49.395%	0.54893	0.852
ATP2B4_dirichlet_train_fold1.68	999.999999999998	0.882	787.5	78.75%	129.95	47.791%	0.61717	0.863
ATP2B4_dirichlet_train_fold1.69	999.9999999999973	0.819	844.214	84.421%	128.568	57.555%	0.64595	0.765
ATP2B4_dirichlet_train_fold1.70	999.9999999999984	0.916	757.891	75.789%	140.562	42.662%	0.53705	0.909
