Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_real_train_fold2	999.999999999998	0.894	644.918	64.492%	118.117	45.288%	0.47443	0.874
ATP2B4_real_train_fold2.1	999.9999999999997	0.865	658.113	65.811%	137.205	51.065%	0.43382	0.842
EXO1_real_train_fold2	999.9999999999948	0.94	340.848	34.085%	46.786	36.34%	0.10578	0.857
MLH1_real_train_fold2	999.9999999999958	0.974	265.354	26.535%	40.381	22.858%	0.07968	0.961
MSH2_real_train_fold2	999.9999999999962	0.964	333.18	33.318%	51.526	26.524%	0.10941	0.951
MSH6_real_train_fold2	999.9999999999962	0.97	293.148	29.315%	43.95	24.184%	0.10854	0.956
MSH6_real_train_fold2.1	999.9999999999959	0.975	271.995	27.2%	40.842	22.406%	0.10031	0.963
OGG1_real_train_fold2	999.9999999999978	0.817	724.036	72.404%	236.282	61.79%	0.40626	0.81
PMS1_real_train_fold2	999.9999999999966	0.919	466.882	46.688%	85.433	39.995%	0.23766	0.894
PMS2_real_train_fold2	999.9999999999957	0.949	335.913	33.591%	51.579	31.714%	0.12522	0.915
RNF168_real_train_fold2	999.9999999999994	0.936	363.3	36.33%	47.835	35.285%	0.12367	0.846
UNG_real_train_fold2	999.999999999998	0.919	522.539	52.254%	79.896	39.829%	0.26798	0.891
ATP2B4_dirichlet_train_fold2	999.999999999999	0.77	948.448	94.845%	150.645	63.812%	0.85669	0.707
ATP2B4_dirichlet_train_fold2.1	999.9999999999997	0.773	967.413	96.741%	167.787	63.707%	0.84759	0.727
ATP2B4_dirichlet_train_fold2.2	999.9999999999997	0.738	1040.315	104.032%	195.041	67.866%	0.84808	0.694
ATP2B4_dirichlet_train_fold2.3	999.9999999999987	0.838	875.79	87.579%	136.458	54.712%	0.76205	0.801
ATP2B4_dirichlet_train_fold2.4	999.9999999999997	0.869	695.253	69.525%	129.058	50.55%	0.53853	0.845
ATP2B4_dirichlet_train_fold2.5	999.9999999999995	0.769	852.109	85.211%	138.533	63.992%	0.73422	0.689
ATP2B4_dirichlet_train_fold2.6	999.9999999999995	0.813	895.808	89.581%	165.408	58.277%	0.84137	0.781
ATP2B4_dirichlet_train_fold2.7	999.9999999999997	0.864	850.603	85.06%	134.092	51.764%	0.65923	0.841
ATP2B4_dirichlet_train_fold2.8	999.9999999999998	0.748	934.766	93.477%	167.942	66.892%	0.75811	0.69
ATP2B4_dirichlet_train_fold2.9	999.9999999999994	0.861	823.464	82.346%	133.581	51.437%	0.63844	0.835
ATP2B4_dirichlet_train_fold2.10	999.9999999999998	0.849	865.897	86.59%	162.789	53.809%	0.68093	0.83
ATP2B4_dirichlet_train_fold2.11	999.9999999999985	0.83	831.18	83.118%	176.796	56.679%	0.69387	0.809
ATP2B4_dirichlet_train_fold2.12	999.9999999999986	0.855	805.603	80.56%	126.61	51.87%	0.74218	0.821
ATP2B4_dirichlet_train_fold2.13	999.9999999999998	0.81	892.019	89.202%	165.103	59.391%	0.80836	0.778
ATP2B4_dirichlet_train_fold2.14	999.9999999999987	0.833	815.045	81.505%	133.55	55.371%	0.74398	0.792
ATP2B4_dirichlet_train_fold2.15	999.9999999999989	0.717	1083.419	108.342%	215.958	69.706%	0.97672	0.675
ATP2B4_dirichlet_train_fold2.16	999.999999999999	0.795	874.667	87.467%	149.651	60.692%	0.96131	0.745
ATP2B4_dirichlet_train_fold2.17	999.9999999999987	0.871	759.11	75.911%	126.316	49.289%	0.64137	0.845
ATP2B4_dirichlet_train_fold2.18	999.9999999999992	0.818	844.376	84.438%	166.501	57.813%	0.69766	0.79
ATP2B4_dirichlet_train_fold2.19	999.9999999999998	0.811	884.424	88.442%	202.508	60.452%	0.7171	0.793
ATP2B4_dirichlet_train_fold2.20	999.9999999999986	0.832	860.433	86.043%	138.505	55.828%	0.82169	0.794
ATP2B4_dirichlet_train_fold2.21	999.9999999999997	0.815	844.822	84.482%	157.383	58.484%	0.64015	0.78
ATP2B4_dirichlet_train_fold2.22	999.9999999999995	0.855	877.516	87.752%	146.739	52.366%	0.8885	0.832
ATP2B4_dirichlet_train_fold2.23	999.9999999999985	0.823	823.938	82.394%	174.433	57.32%	0.89749	0.799
ATP2B4_dirichlet_train_fold2.24	999.9999999999989	0.811	902.425	90.243%	148.413	58.456%	0.76754	0.77
ATP2B4_dirichlet_train_fold2.25	999.9999999999997	0.827	769.488	76.949%	174.257	57.004%	0.58977	0.804
ATP2B4_dirichlet_train_fold2.26	999.9999999999997	0.798	863.093	86.309%	196.311	61.117%	0.71294	0.774
ATP2B4_dirichlet_train_fold2.27	999.9999999999995	0.823	785.668	78.567%	160.219	57.135%	0.61373	0.794
ATP2B4_dirichlet_train_fold2.28	999.9999999999997	0.731	988.356	98.836%	183.105	68.309%	1.10304	0.675
ATP2B4_dirichlet_train_fold2.29	999.9999999999987	0.793	908.031	90.803%	173.638	60.88%	0.90619	0.758
ATP2B4_dirichlet_train_fold2.30	999.9999999999995	0.801	864.057	86.406%	161.815	59.944%	0.83365	0.762
ATP2B4_dirichlet_train_fold2.31	999.999999999999	0.875	792.053	79.205%	118.703	48.746%	0.61514	0.847
ATP2B4_dirichlet_train_fold2.32	999.9999999999997	0.754	940.619	94.062%	247.055	67.086%	0.83696	0.734
ATP2B4_dirichlet_train_fold2.33	999.9999999999987	0.825	841.778	84.178%	152.521	56.452%	0.80619	0.793
ATP2B4_dirichlet_train_fold2.34	999.9999999999995	0.771	887.441	88.744%	169.4	63.751%	0.66411	0.724
ATP2B4_dirichlet_train_fold2.35	999.9999999999995	0.874	793.281	79.328%	124.147	48.711%	0.64017	0.849
ATP2B4_dirichlet_train_fold2.36	999.999999999999	0.803	969.631	96.963%	191.678	60.214%	0.9158	0.779
ATP2B4_dirichlet_train_fold2.37	999.9999999999995	0.833	813.778	81.378%	124.857	55.446%	0.74328	0.784
ATP2B4_dirichlet_train_fold2.38	999.9999999999998	0.665	1041.774	104.177%	242.651	74.85%	1.0788	0.618
ATP2B4_dirichlet_train_fold2.39	999.9999999999986	0.859	811.441	81.144%	136.262	51.401%	0.63895	0.832
ATP2B4_dirichlet_train_fold2.40	999.9999999999986	0.812	881.072	88.107%	132.122	58.374%	0.80418	0.757
ATP2B4_dirichlet_train_fold2.41	999.9999999999997	0.787	933.686	93.369%	160.44	61.935%	0.86826	0.742
ATP2B4_dirichlet_train_fold2.42	999.999999999999	0.82	850.435	85.044%	138.442	57.215%	0.77227	0.776
ATP2B4_dirichlet_train_fold2.43	999.9999999999997	0.723	1044.035	104.404%	184.44	69.08%	0.92391	0.664
ATP2B4_dirichlet_train_fold2.44	999.9999999999997	0.791	909.035	90.904%	180.325	61.214%	0.6624	0.759
ATP2B4_dirichlet_train_fold2.45	999.9999999999997	0.805	891.015	89.102%	138.41	59.444%	0.89516	0.751
ATP2B4_dirichlet_train_fold2.46	999.9999999999995	0.798	902.715	90.272%	138.248	60.326%	0.86578	0.739
ATP2B4_dirichlet_train_fold2.47	999.9999999999995	0.843	803.467	80.347%	164.907	55.441%	0.68778	0.823
ATP2B4_dirichlet_train_fold2.48	999.9999999999991	0.796	945.237	94.524%	154.387	60.809%	0.86135	0.751
ATP2B4_dirichlet_train_fold2.49	999.9999999999997	0.788	884.813	88.481%	169.076	62.296%	0.6704	0.75
ATP2B4_dirichlet_train_fold2.50	999.9999999999989	0.835	929.079	92.908%	141.151	55.077%	0.8444	0.801
ATP2B4_dirichlet_train_fold2.51	999.9999999999995	0.86	703.066	70.307%	134.947	51.533%	0.5132	0.833
ATP2B4_dirichlet_train_fold2.52	999.9999999999995	0.751	934.069	93.407%	164.131	66.211%	0.99474	0.69
ATP2B4_dirichlet_train_fold2.53	999.9999999999995	0.767	970.858	97.086%	172.996	64.235%	0.84574	0.72
ATP2B4_dirichlet_train_fold2.54	999.9999999999995	0.827	798.409	79.841%	120.441	56.249%	0.59826	0.769
ATP2B4_dirichlet_train_fold2.55	999.9999999999993	0.813	952.127	95.213%	169.489	58.784%	0.77465	0.784
ATP2B4_dirichlet_train_fold2.56	999.9999999999997	0.783	862.503	86.25%	184.59	62.5%	0.7107	0.75
ATP2B4_dirichlet_train_fold2.57	999.9999999999994	0.833	859.865	85.987%	130.771	55.3%	0.75511	0.79
ATP2B4_dirichlet_train_fold2.58	999.9999999999989	0.795	869.274	86.927%	199.157	61.436%	0.77359	0.77
ATP2B4_dirichlet_train_fold2.59	999.9999999999995	0.724	1003.107	100.311%	200.274	69.075%	0.84764	0.677
ATP2B4_dirichlet_train_fold2.60	999.9999999999997	0.812	836.366	83.637%	149.842	58.64%	0.68239	0.772
ATP2B4_dirichlet_train_fold2.61	999.9999999999986	0.825	857.145	85.715%	147.261	56.54%	0.82119	0.789
ATP2B4_dirichlet_train_fold2.62	999.9999999999995	0.841	876.137	87.614%	146.017	54.302%	0.74787	0.811
ATP2B4_dirichlet_train_fold2.63	999.9999999999986	0.777	938.821	93.882%	177.771	62.949%	0.80102	0.738
ATP2B4_dirichlet_train_fold2.64	999.9999999999997	0.81	810.388	81.039%	144.542	59.074%	0.60655	0.766
ATP2B4_dirichlet_train_fold2.65	999.9999999999987	0.759	932.491	93.249%	197.328	65.579%	0.77222	0.724
ATP2B4_dirichlet_train_fold2.66	999.9999999999991	0.91	740.949	74.095%	117.284	42.465%	0.59942	0.896
ATP2B4_dirichlet_train_fold2.67	999.9999999999989	0.763	995.533	99.553%	181.532	64.701%	0.97723	0.72
ATP2B4_dirichlet_train_fold2.68	999.9999999999987	0.804	829.461	82.946%	154.849	59.785%	0.64837	0.764
ATP2B4_dirichlet_train_fold2.69	999.999999999999	0.854	894.296	89.43%	156.593	52.617%	0.79598	0.833
ATP2B4_dirichlet_train_fold2.70	999.9999999999997	0.849	802.396	80.24%	123.933	53.006%	0.70985	0.81
ATP2B4_dirichlet_train_fold2.71	999.9999999999994	0.886	773.236	77.324%	146.718	48.407%	0.61617	0.873
ATP2B4_dirichlet_train_fold2.72	999.9999999999986	0.728	992.819	99.282%	215.318	68.535%	0.86267	0.689
ATP2B4_dirichlet_train_fold2.73	999.9999999999989	0.835	842.966	84.297%	146.075	55.066%	0.78204	0.803
ATP2B4_dirichlet_train_fold2.74	999.999999999999	0.871	771.114	77.111%	111.435	49.099%	0.69431	0.835
ATP2B4_dirichlet_train_fold2.75	999.9999999999995	0.779	907.817	90.782%	185.499	63.302%	0.69655	0.745
ATP2B4_dirichlet_train_fold2.76	999.9999999999997	0.748	907.965	90.797%	199.524	66.824%	0.69115	0.71
ATP2B4_dirichlet_train_fold2.77	999.9999999999989	0.845	819.644	81.964%	135.779	53.755%	0.73595	0.812
ATP2B4_dirichlet_train_fold2.78	999.9999999999995	0.87	807.495	80.75%	145.531	49.243%	0.86946	0.851
ATP2B4_dirichlet_train_fold2.79	999.999999999999	0.805	915.387	91.539%	148.54	60.01%	0.91537	0.76
ATP2B4_dirichlet_train_fold2.80	999.9999999999989	0.882	734.584	73.458%	113.02	47.794%	0.85174	0.853
ATP2B4_dirichlet_train_fold2.81	999.9999999999997	0.867	685.881	68.588%	115.531	49.879%	0.67	0.831
ATP2B4_dirichlet_train_fold2.82	999.9999999999989	0.799	909.832	90.983%	161.061	60.156%	0.84406	0.76
ATP2B4_dirichlet_train_fold2.83	999.9999999999995	0.792	932.765	93.277%	159.062	61.198%	0.87542	0.748
ATP2B4_dirichlet_train_fold2.84	999.9999999999998	0.779	945.43	94.543%	163.617	63.484%	0.75329	0.736
ATP2B4_dirichlet_train_fold2.85	999.9999999999995	0.766	937.06	93.706%	184.495	64.64%	0.84935	0.727
ATP2B4_dirichlet_train_fold2.86	999.9999999999997	0.746	901.695	90.17%	244.354	67.692%	0.7358	0.723
ATP2B4_dirichlet_train_fold2.87	999.9999999999994	0.784	903.198	90.32%	170.491	62.294%	0.67858	0.745
ATP2B4_dirichlet_train_fold2.88	999.9999999999995	0.797	864.304	86.43%	142.32	60.496%	0.71634	0.742
ATP2B4_dirichlet_train_fold2.89	999.9999999999989	0.826	874.651	87.465%	161.652	56.645%	0.80101	0.798
ATP2B4_dirichlet_train_fold2.90	999.9999999999998	0.781	939.39	93.939%	207.833	63.1%	0.80944	0.756
ATP2B4_dirichlet_train_fold2.91	999.9999999999995	0.823	826.96	82.696%	174.982	57.875%	0.71401	0.801
ATP2B4_dirichlet_train_fold2.92	999.9999999999986	0.832	825.731	82.573%	173.007	56.594%	0.66087	0.81
ATP2B4_dirichlet_train_fold2.93	999.9999999999994	0.822	938.879	93.888%	172.051	57.357%	0.93895	0.796
ATP2B4_dirichlet_train_fold2.94	999.9999999999995	0.811	869.748	86.975%	159.7	59.114%	0.75064	0.777
ATP2B4_dirichlet_train_fold2.95	999.9999999999986	0.753	1012.1	101.21%	211.136	67.396%	0.86648	0.725
ATP2B4_dirichlet_train_fold2.96	999.999999999999	0.887	735.937	73.594%	120.372	46.409%	0.6088	0.865
ATP2B4_dirichlet_train_fold2.97	999.9999999999997	0.788	907.686	90.769%	223.064	63.237%	0.76172	0.769
