gene_KO	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22a	SBS22b	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS98	SBS99
ATP2B4	2.209	0.277	0.0	0.0	168.794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.281	0.0	0.0	791.679	0.0	0.0	0.0	0.0	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	6.507	0.0	0.619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.493	0.0	0.0	0.0	5.607	0.0	0.238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.281	1.593	2.499	0.0	0.181	0.0	0.0	0.0	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.623	0.0	0.0
EXO1	0.33064516129032256	0.19556451612903225	21.612903225806452	0.0	399.96370967741933	0.0	0.0	0.0	0.0	0.0	21.911290322580644	0.0	0.0	0.0	0.0	0.0	0.11290322580645161	10.4375	0.05443548387096774	0.0	0.0	1.2580645161290323	0.0	0.0	254.99798387096774	0.0	0.0	0.0	0.0	9.868951612903226	0.32056451612903225	0.0	0.0	0.0	0.0	0.0	6.929435483870968	0.9798387096774194	0.0	0.2620967741935484	0.0	0.0	0.0	0.0	1.9375	0.0	5.840725806451613	65.36895161290323	0.0	3.8931451612903225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10685483870967742	0.0	2.3891129032258065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.22983870967742	119.23790322580645	0.0	0.0	0.6895161290322581	0.0	0.0	3.0705645161290325
RNF168	0.34325396825396826	1.2638888888888888	0.0	0.0	373.28769841269843	0.0	0.09523809523809523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8928571428571429	0.0	0.0	0.0	24.75595238095238	0.0	0.0	329.49603174603175	0.09722222222222222	0.0	0.0	0.0	0.7599206349206349	0.0	0.0	0.0	0.0	0.0	0.0	0.30753968253968256	6.277777777777778	0.0	0.0	0.0	0.0	0.0	0.4583333333333333	3.2896825396825395	0.0	78.57539682539682	8.212301587301587	58.60515873015873	0.0	0.6071428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428571	0.3392857142857143	0.0	0.0	0.0	0.0	0.19246031746031747	5.781746031746032	1.6865079365079365	0.0	0.0	0.0	0.0	0.0	0.0	2.1646825396825395	22.557539682539684	0.0	0.0	58.42063492063492	17.13095238095238	0.0	0.0	0.0	3.5436507936507935	0.0	0.0
UNG	3.8638132295719845	1.1653696498054475	0.0	0.0	196.82879377431905	0.0	0.23540856031128404	0.0	0.0	0.0	0.0	0.0	0.41050583657587547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23929961089494164	0.0	0.0	405.53307392996106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.8287937743191	0.3346303501945525	12.916342412451362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.464980544747082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17509727626459143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.003891050583658	0.0	0.0
OGG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MLH1	49.22488038277512	0.0	0.0	1.569377990430622	271.6267942583732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.17224880382776	0.9186602870813397	0.6602870813397129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3827751196172249	0.0	0.0	0.0	1.5023923444976077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	573.7655502392345	9.980861244019138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.196172248803828	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSH2	46.98086124401914	0.0	0.0	0.0	192.88995215311004	1.0239234449760766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7368421052631579	0.0	0.0	0.0	0.0	130.6315789473684	0.0	39.55980861244019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	587.1291866028708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41148325358851673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSH6	22.948453608247423	0.0	0.0	0.0	260.61340206185565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5618556701030928	0.0	5.494845360824742	0.0	0.0	0.0	0.0	22.835051546391753	0.0	128.38659793814432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.015463917525773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	497.8144329896907	22.75257731958763	34.22164948453608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3402061855670103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0154639175257731	0.0	0.0	0.0	0.0
PMS1	101.9945652173913	0.391304347826087	0.0	0.0	167.5923913043478	8.896739130434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9619565217391305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	581.3152173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0380434782608696	80.52717391304348	0.0	32.98913043478261	0.0	0.0	0.0	1.326086956521739	0.0	0.0	0.0	2.277173913043478	0.0	0.0	0.0	0.0	0.0	3.8315217391304346	0.0	0.0	0.0	0.0	0.0	0.0	4.967391304347826	0.0	0.0	0.0	0.0	0.0	0.0	1.891304347826087	7.2228260869565215	0.0	0.0	0.0	0.0	0.0	0.0	1.7771739130434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMS2	21.69607843137255	0.0	0.0	0.0	192.81372549019608	1.2303921568627452	0.0	0.0	0.0	0.0	0.0	0.0	2.8088235294117645	0.0	27.58823529411765	0.0	0.0	260.03921568627453	0.0	7.784313725490196	51.27450980392157	0.0	0.0	0.0	131.90196078431373	0.0	25.392156862745097	0.0	0.0	0.0	0.0	0.0	0.0	107.91666666666667	0.0	0.0	0.7990196078431373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5490196078431373	0.0	0.0	0.0	0.0	10.377450980392156	0.0	0.0	0.0	5.990196078431373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.14705882352942	0.0	0.0	0.0	0.0	0.28431372549019607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.171568627450981	0.0	0.0	3.235294117647059	0.0	0.0	0.0	0.0
