Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
train1_EXO1_real	0.01155318800503025	0.9496714876580081	3.06e-321	0.03877532433696156	2.14e-321
train1_OGG1_real	3.46e-322	5.2e-322	8.05e-322	4.45e-322	1.0
train1_RNF168_real	3.7e-321	0.8809992556656854	0.046194580438442406	0.07039237045933738	0.0024137934365348456
train1_UNG_real	0.23937269975211717	0.1898576714921169	0.15118017836936318	0.4175953134937661	0.001994136892636734
train1_ATP2B4_real	0.0020683491523681256	0.18611854025822222	0.788922605589252	0.02289050500015768	2.7190038134380667e-183
train1_ATP2B4_real.1	0.025373895942705546	3.01e-321	0.9746261040572946	3.394e-321	3.376815469481579e-276
train1_MLH1_real	1.0	1.117e-321	7.16e-322	9.54e-322	7.16e-322
train1_MSH2_real	0.9878420775012453	1.665e-321	3.95e-321	0.012157922498754721	3.923e-321
train1_MSH6_real	1.0	2.036e-321	2.24e-321	1.73e-321	2.48e-321
train1_MSH6_real.1	1.0	2.006e-321	2.45e-321	9.73e-322	9.77e-321
train1_PMS1_real	0.14033853985671657	2.016e-321	1.655e-321	0.8596614601432835	1.645e-321
train1_PMS2_real	0.4415121791342785	0.5584878208657216	4.9e-322	2.57e-322	2.3e-322
train2_OGG1_real	1.8e-322	6.8e-322	8.84e-322	4.1e-322	1.0
train2_RNF168_real	0.02324314578212848	0.9399554296165628	3.9e-321	0.03680142460130892	2.915e-321
train2_UNG_real	0.3871585559160828	0.050224349960107294	5.84e-321	0.5589468266674419	0.0036702674563680025
train2_ATP2B4_real	4.759710289609836e-241	3.990199559883297e-16	0.9556710757922076	0.04432892420779197	1.665e-321
train2_ATP2B4_real.1	2.367e-321	0.05869159227894942	0.6969501492581672	0.19884122118706268	0.04551703727582067
train2_MLH1_real	0.9999999999999999	7.915e-321	2.17e-321	4.85e-321	2.707e-321
train2_MSH6_real	1.0	2.673e-321	1.476e-320	3.538e-321	1.497e-320
train2_MSH6_real.1	1.0	2.08e-321	1.02e-321	7.6e-322	1.013e-321
train2_PMS1_real	0.17596953389089054	1.803e-321	2.856e-321	0.8240304661091096	1.12e-321
train2_PMS2_real	0.4153879750723083	0.5846120249276917	2.27e-322	2.37e-322	2.17e-322
train3_EXO1_real	0.011160027705556547	0.9263518485966851	2.6753603881171294e-74	0.0284863947440419	0.034001728953716504
train3_OGG1_real	3.85e-322	8.74e-322	3.4906952971355856e-12	1.047e-321	0.9999999999965093
train3_RNF168_real	0.06164023335016852	0.8518786203486901	0.02669806304303448	0.03641951421143516	0.023363569046671813
train3_UNG_real	0.3346906498471887	0.062621887974064	3.3484197939852644e-294	0.4731077275957811	0.12957973458296607
train3_ATP2B4_real	0.0013904973798326665	0.02361894691319278	0.871546482393741	1.278815087616812e-48	0.10344407331323359
train3_ATP2B4_real.1	0.027693461719827225	4.44e-321	0.6663311790774356	1.94e-321	0.3059753592027372
train3_MLH1_real	1.0	1.18e-321	7.6e-322	1.01e-321	7.56e-322
train3_MSH2_real	0.9999999999999999	1.07e-321	9.2e-322	1.37e-321	9.14e-322
train3_MSH6_real	0.9999999999999999	2.633e-321	2.505e-321	1.996e-321	1.75e-321
train3_MSH6_real.1	0.9885683992829797	2.623e-321	1.3947e-320	0.011431600717020185	6.077e-321
train3_MSH6_real.2	1.0	1.966e-321	1.443e-321	1.2e-321	2.164e-321
train3_PMS1_real	0.23577415071350713	2.154e-321	1.365615301668281e-283	0.7248451488597233	0.03938070042676967
train3_PMS2_real	0.3683990783807768	0.6316009216192232	2.2e-322	2.3e-322	2.1e-322
