Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	0.00E+00	5.51E-04	0.00E+00	1.71E-03	4.48E-03
OGG1_boot.1	0.00E+00	1.08E-03	9.40E-70	4.31E-03	5.18E-03
OGG1_boot.2	0.00E+00	4.94E-118	3.99E-106	6.84E-03	5.87E-03
OGG1_boot.3	0.00E+00	1.04E-03	1.16E-51	6.85E-03	5.75E-03
OGG1_boot.4	1.67E-38	1.71E-03	9.88E-13	5.68E-03	3.63E-03
OGG1_boot.5	3.56E-62	1.44E-03	1.25E-161	1.44E-03	4.42E-03
OGG1_boot.6	1.52E-105	8.05E-04	2.76E-141	6.21E-03	5.37E-03
OGG1_boot.7	9.17E-129	8.21E-04	9.60E-115	5.38E-03	5.28E-03
OGG1_boot.8	0.00E+00	1.07E-03	9.55E-100	5.17E-03	4.62E-03
OGG1_boot.9	7.81E-112	2.02E-03	2.02E-53	6.63E-03	4.51E-03
OGG1_boot.10	3.10E-88	8.44E-149	2.81E-27	5.33E-03	5.57E-03
OGG1_boot.11	5.01E-130	0.00E+00	9.96E-04	6.02E-03	4.63E-03
OGG1_boot.12	1.98E-138	2.02E-04	3.60E-123	5.35E-03	5.30E-03
OGG1_boot.13	0.00E+00	5.00E-04	3.39E-105	6.13E-03	5.50E-03
OGG1_boot.14	8.67E-29	2.26E-03	4.46E-04	8.57E-03	5.63E-03
OGG1_boot.15	7.35E-101	1.96E-03	1.73E-05	6.82E-03	4.19E-03
OGG1_boot.16	1.87E-102	1.36E-03	0.00E+00	6.10E-04	4.24E-03
OGG1_boot.17	0.00E+00	1.92E-03	8.88E-57	8.31E-03	5.95E-03
OGG1_boot.18	6.92E-134	8.37E-04	1.08E-03	5.93E-03	4.07E-03
OGG1_boot.19	2.00E-23	1.93E-03	1.50E-03	7.89E-03	4.57E-03
OGG1_boot.20	2.14E-12	1.05E-03	2.03E-52	7.94E-03	5.80E-03
OGG1_boot.21	0.00E+00	1.03E-137	0.00E+00	4.56E-03	5.26E-03
OGG1_boot.22	3.81E-08	1.65E-03	1.01E-41	5.39E-03	3.58E-03
OGG1_boot.23	0.00E+00	1.16E-03	2.05E-118	6.53E-03	5.58E-03
OGG1_boot.24	2.13E-04	1.69E-03	5.33E-119	6.68E-03	5.03E-03
OGG1_boot.25	0.00E+00	1.77E-03	4.01E-97	7.89E-03	5.66E-03
OGG1_boot.26	0.00E+00	8.65E-04	6.85E-66	2.78E-03	2.95E-03
