	0	1	2	3	4	5	6	7	8	9
0	[6.148669850398091, 1.3001256673350012, 48.485441830630904, 0.17142857611179352, 0.0]	[6.149740647517305, 1.3005103780359082, 48.492302694813965, 0.17142857611179352, 0.0]	[6.152977136667958, 1.3009811398993183, 48.51995996768639, 0.17142857611179352, 0.0]	[6.149323769377139, 1.3001221552214624, 48.49201614155676, 0.4571428596973419, 0.0]	[6.154672230043731, 1.299978323892164, 48.54693906151567, 0.17142857611179352, 0.0]	[6.153568377656159, 1.2996746032019106, 48.53893774454248, 0.17142857611179352, 0.0]	[6.148689120917882, 1.3008158584310976, 48.47873262486784, 0.5142857432365417, 0.0]	[6.154891709635153, 1.3002423123441085, 48.54649397291044, 0.08571428805589676, 0.0]	[6.146041141188532, 1.297977537646456, 48.48063603542076, 0.4000000059604645, 0.0]	[6.152927942193144, 1.2988893234887469, 48.540386187043964, 0.17142857611179352, 0.0]
100	[2.1760432467689057, 0.5739771688298312, 16.02066077939074, 0.8571428656578064, 0.0]	[1.3144116756164803, 0.6220959647243612, 6.92315710892119, 1.0, 0.0]	[1.1211794040757974, 0.6163655837154889, 5.048138203603086, 1.0, 0.0]	[1.0979303875266675, 0.6501324485590212, 4.477979389676464, 1.0, 0.0]	[1.590079166484724, 0.5081546867305605, 10.819244797541634, 1.0, 0.0]	[1.7121403069799719, 0.5944455484989214, 11.176947584810504, 0.8571428656578064, 0.0]	[1.1641129708993168, 0.6809775042156386, 4.83135466683678, 1.0, 0.0]	[1.1307036713909167, 0.6139205202283987, 5.16783151162518, 1.0, 0.0]	[1.1269373789718173, 0.5974582990085836, 5.294790799632336, 1.0, 0.0]	[1.7546287453612064, 0.6039604050514443, 11.506683403097622, 0.8571428656578064, 0.0]
200	[1.1318423232256136, 0.5674055410721659, 5.644367821534479, 1.0, 0.0]	[1.0377465424043273, 0.7319898968609518, 3.0575664554337543, 1.0, 0.0]	[1.067492998093445, 0.6998033075302847, 3.676896905631602, 1.0, 0.0]	[0.9137168349008439, 0.670435960513732, 2.4328087438711186, 1.0, 0.0]	[1.011133833001428, 0.5330421966780443, 4.780916363233835, 1.0, 0.0]	[1.6509081267451868, 0.7074408112624732, 9.434673154827136, 0.8571428656578064, 0.0]	[0.940975056284112, 0.6942565247598652, 2.4671853152424683, 1.0, 0.0]	[1.019331290819391, 0.7128039325331562, 3.065273582862347, 1.0, 0.0]	[0.904902255899263, 0.6256383497541416, 2.792639061451214, 1.0, 0.0]	[1.6324459200617376, 0.7153248839961457, 9.17121036065592, 0.8571428656578064, 0.0]
300	[0.8919814303953477, 0.6085627665541334, 2.8341866384121435, 1.0, 0.0]	[0.9514560585289235, 0.7492244443819791, 2.0223161414694437, 1.0, 0.0]	[0.958131268737375, 0.6395762477819413, 3.185550209554336, 1.0, 0.0]	[0.8346095817389683, 0.5976088079144376, 2.370007738245306, 1.0, 0.0]	[0.8566941390533839, 0.4806256536122396, 3.760684854411443, 1.0, 0.0]	[1.583218676956153, 0.6536625212171295, 9.295561557390233, 0.8571428656578064, 0.0]	[0.8579528260321884, 0.6155522719930833, 2.424005540391051, 1.0, 0.0]	[0.8604126919191937, 0.6381902777346091, 2.222224141845845, 1.0, 0.0]	[0.8705935027121414, 0.6142012480575909, 2.5639225465455056, 1.0, 0.0]	[1.5321327880593691, 0.6428272127461464, 8.893055753132227, 0.8571428656578064, 0.0]
400	[0.8561732015543928, 0.5688413684446887, 2.8733183310970407, 1.0, 0.0]	[0.8634499378002041, 0.6952603792186792, 1.681895585815248, 1.0, 0.0]	[0.8890116635713889, 0.6054166949819609, 2.83594968589428, 1.0, 0.0]	[0.7552724125222721, 0.5580122516264586, 1.9726016089581349, 1.0, 0.0]	[0.8923992172511517, 0.6458656711603121, 2.4653354609083955, 1.0, 0.0]	[1.4788299312771327, 0.6077596100443144, 8.710703212328182, 0.8571428656578064, 0.0]	[0.8639186095422537, 0.5720645526321647, 2.91854056910089, 1.0, 0.0]	[0.7681123826190113, 0.5906770113812218, 1.774353712377895, 1.0, 0.0]	[0.7987411773200479, 0.5896787737652344, 2.090624035548135, 1.0, 0.0]	[1.4469912681510766, 0.6004322867687238, 8.465589813823527, 0.8571428656578064, 0.0]
500	[0.8290254300296979, 0.5532960013357858, 2.7572942869391204, 1.0, 0.0]	[0.8354956736084217, 0.6344704556888943, 2.010252179195274, 1.0, 0.0]	[0.8369190473736101, 0.5806420049597995, 2.562770424138106, 1.0, 0.0]	[0.7956075188498337, 0.5347887432622812, 2.608187755875525, 1.0, 0.0]	[0.9318605983406747, 0.733111400102513, 1.9874919823816168, 1.0, 0.0]	[1.4136572816666368, 0.5772535987262674, 8.364036829403695, 0.8571428656578064, 0.0]	[0.811927862867668, 0.5494432147562744, 2.6248464811139365, 1.0, 0.0]	[0.7080481333343607, 0.558344654150389, 1.4970347918397162, 1.0, 0.0]	[0.8434659514157508, 0.5727042175971857, 2.7076173381856496, 1.0, 0.0]	[1.3909786452168365, 0.5760595142755001, 8.149191309413363, 0.8571428656578064, 0.0]
600	[0.7876484202719416, 0.5351144604463123, 2.5253395982562927, 1.0, 0.0]	[0.7863057973985359, 0.6047819176820439, 1.8152387971649193, 1.0, 0.0]	[0.7971518411034232, 0.5617798774580681, 2.35371963645355, 1.0, 0.0]	[0.7595810069602664, 0.5195831457243882, 2.3999786123587823, 1.0, 0.0]	[0.9268607673619802, 0.7565165719921935, 1.7034419536978667, 1.0, 0.0]	[1.3694751793635, 0.5546942274448381, 8.14780951918662, 0.8571428656578064, 0.0]	[0.7731490495153446, 0.5326574151875629, 2.404916343277817, 1.0, 0.0]	[0.6655428156582681, 0.5347637162075307, 1.3077909945073736, 1.0, 0.0]	[0.8108130402455742, 0.5627889156772883, 2.4802412456828593, 1.0, 0.0]	[1.3526285490624081, 0.5561298051741651, 7.9649874388824315, 0.8571428656578064, 0.0]
700	[0.7553601712657769, 0.5207959288305128, 2.345642424352641, 1.0, 0.0]	[0.7451110605716629, 0.582076998601799, 1.6303406196986392, 1.0, 0.0]	[0.766057181515071, 0.5471130618343155, 2.189441196807554, 1.0, 0.0]	[0.7319270321027787, 0.50809697189571, 2.238300602070687, 1.0, 0.0]	[0.9189886516965681, 0.7687647745762713, 1.5022387712029674, 1.0, 0.0]	[1.3423140319521174, 0.5503508600464649, 7.9196317190565235, 0.8571428656578064, 0.0]	[0.7432809987135844, 0.5197467477370739, 2.2353425097651063, 1.0, 0.0]	[0.6340055917893622, 0.5168692714709023, 1.171363203184599, 1.0, 0.0]	[0.7848114306175955, 0.5547444218368023, 2.300670087807932, 1.0, 0.0]	[1.3267375932631285, 0.5404392095469785, 7.862983837161497, 0.8571428656578064, 0.0]
800	[0.7299157059893746, 0.5097104374323057, 2.2020526855706892, 1.0, 0.0]	[0.7146367205923543, 0.5631306481300866, 1.515060724622676, 1.0, 0.0]	[0.7412046799556649, 0.535361769913545, 2.0584291004211988, 1.0, 0.0]	[0.7101545080927683, 0.4992000996513626, 2.1095440844140567, 1.0, 0.0]	[0.9104032588659985, 0.7752084092233925, 1.3519484964260593, 1.0, 0.0]	[0.9225713640292927, 0.5847079061108307, 3.378634579184621, 1.0, 0.0]	[0.7196781247667323, 0.5095385434391491, 2.101395813275832, 1.0, 0.0]	[0.6098497128326359, 0.5029329102435777, 1.0691680258905827, 1.0, 0.0]	[0.7638202331237945, 0.5480239738727448, 2.157962592510497, 1.0, 0.0]	[1.303971815997594, 0.528934666334723, 7.750371496628709, 0.8571428656578064, 0.0]
900	[0.709525365330088, 0.5010900165924919, 2.084353487375962, 1.0, 0.0]	[0.6835332392952487, 0.5490406433979801, 1.3449259589726852, 1.0, 0.0]	[0.7208823766630268, 0.5256674479817126, 1.952149286813142, 1.0, 0.0]	[0.6926342044280596, 0.4921400946952148, 2.004941097328447, 1.0, 0.0]	[0.9019082198468908, 0.7781640477315439, 1.2374417211534694, 1.0, 0.0]	[0.8023202958256589, 0.5001424286764397, 3.021778671492192, 1.0, 0.0]	[0.7005988012643722, 0.501225990568184, 1.9937281069618824, 1.0, 0.0]	[0.5910619762586934, 0.49195563335332976, 0.9910634290536366, 1.0, 0.0]	[0.7476555836594184, 0.5424475291796568, 2.0520805447976165, 1.0, 0.0]	[1.21566861142193, 0.5533218766549841, 6.623467347669458, 1.0, 0.0]
1000	[0.6928606297401891, 0.49428799824806174, 1.9857263149212738, 1.0, 0.0]	[0.655915169658588, 0.5382500869596375, 1.1766508269895044, 1.0, 0.0]	[0.7040165414227834, 0.5175457554866884, 1.86470785936095, 1.0, 0.0]	[0.678262195855946, 0.48642016950360845, 1.9184202635233754, 1.0, 0.0]	[0.8936427509661152, 0.7790796387752941, 1.1456311219082116, 1.0, 0.0]	[0.7596444025492202, 0.49295317637019953, 2.6669122617902055, 1.0, 0.0]	[0.6849383878456426, 0.4943873601590491, 1.9055102768659355, 1.0, 0.0]	[0.5776106008090599, 0.4844021258891085, 0.9320847491995135, 1.0, 0.0]	[0.73496013806467, 0.5379930840914394, 1.9696705397323053, 1.0, 0.0]	[0.8274001649282398, 0.5538582331190656, 2.7354193180917417, 1.0, 0.0]
