Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999963	0.991	0.254	25.4%	0.058	13.609%	0.11306	0.99
OGG1_boot.1	0.9999999999999964	0.992	0.245	24.5%	0.055	13.124%	0.1253	0.991
OGG1_boot.2	0.9999999999999964	0.995	0.25	25.0%	0.045	10.767%	0.12863	0.994
OGG1_boot.3	0.999999999999997	0.996	0.247	24.7%	0.043	10.449%	0.12131	0.996
OGG1_boot.4	0.9999999999999968	0.993	0.215	21.5%	0.046	11.992%	0.10362	0.993
OGG1_boot.5	0.9999999999999962	0.996	0.209	20.9%	0.039	9.254%	0.08815	0.996
OGG1_boot.6	0.9999999999999967	0.995	0.229	22.9%	0.04	10.061%	0.11618	0.995
OGG1_boot.7	0.9999999999999969	0.995	0.244	24.4%	0.039	9.614%	0.13528	0.995
OGG1_boot.8	0.9999999999999968	0.989	0.288	28.8%	0.062	15.253%	0.15161	0.988
OGG1_boot.9	0.9999999999999969	0.995	0.248	24.8%	0.038	10.031%	0.14638	0.995
OGG1_boot.10	0.9999999999999967	0.994	0.221	22.1%	0.047	10.952%	0.09933	0.994
OGG1_boot.11	0.9999999999999967	0.997	0.214	21.4%	0.034	8.649%	0.1134	0.996
OGG1_boot.12	0.9999999999999967	0.997	0.184	18.4%	0.03	7.374%	0.1043	0.997
OGG1_boot.13	0.9999999999999964	0.994	0.258	25.8%	0.046	11.29%	0.12294	0.993
OGG1_boot.14	0.999999999999997	0.996	0.228	22.8%	0.036	9.382%	0.13373	0.995
OGG1_boot.15	0.9999999999999973	0.995	0.232	23.2%	0.037	9.872%	0.12632	0.995
OGG1_boot.16	0.9999999999999962	0.993	0.238	23.8%	0.05	11.652%	0.10747	0.993
OGG1_boot.17	0.9999999999999969	0.992	0.311	31.1%	0.057	14.116%	0.14161	0.992
OGG1_boot.18	0.999999999999997	0.995	0.263	26.3%	0.047	11.759%	0.1246	0.995
OGG1_boot.19	0.999999999999997	0.996	0.218	21.8%	0.038	9.879%	0.10351	0.995
OGG1_boot.20	0.9999999999999966	0.996	0.238	23.8%	0.037	9.385%	0.11958	0.996
OGG1_boot.21	0.9999999999999964	0.994	0.24	24.0%	0.045	10.73%	0.12924	0.994
OGG1_boot.22	0.999999999999997	0.995	0.252	25.2%	0.04	10.682%	0.13689	0.995
OGG1_boot.23	0.9999999999999962	0.996	0.209	20.9%	0.038	9.383%	0.10293	0.996
OGG1_boot.24	0.9999999999999966	0.994	0.277	27.7%	0.043	11.516%	0.15123	0.993
OGG1_boot.25	0.9999999999999969	0.995	0.246	24.6%	0.041	10.513%	0.12942	0.995
OGG1_boot.26	0.9999999999999964	0.99	0.27	27.0%	0.056	14.261%	0.12276	0.99
OGG1_boot.27	0.9999999999999968	0.995	0.23	23.0%	0.048	11.256%	0.10913	0.995
OGG1_boot.28	0.9999999999999967	0.991	0.272	27.2%	0.054	13.651%	0.13684	0.99
OGG1_boot.29	0.9999999999999967	0.996	0.216	21.6%	0.035	8.645%	0.11612	0.996
OGG1_boot.30	0.9999999999999964	0.995	0.233	23.3%	0.049	11.344%	0.11058	0.994
OGG1_boot.31	0.9999999999999968	0.995	0.251	25.1%	0.043	10.304%	0.11506	0.995
OGG1_boot.32	0.9999999999999967	0.995	0.221	22.1%	0.039	9.9%	0.10677	0.995
OGG1_boot.33	0.9999999999999968	0.995	0.247	24.7%	0.044	10.752%	0.11482	0.994
OGG1_boot.34	0.9999999999999969	0.994	0.232	23.2%	0.042	10.679%	0.13486	0.994
OGG1_boot.35	0.9999999999999968	0.995	0.233	23.3%	0.039	9.935%	0.12528	0.995
OGG1_boot.36	0.9999999999999969	0.997	0.193	19.3%	0.032	7.912%	0.09624	0.997
OGG1_boot.37	0.9999999999999967	0.996	0.211	21.1%	0.038	9.372%	0.13219	0.996
OGG1_boot.38	0.9999999999999961	0.994	0.238	23.8%	0.045	10.794%	0.10591	0.994
OGG1_boot.39	0.999999999999997	0.993	0.283	28.3%	0.057	14.008%	0.13083	0.993
OGG1_boot.40	0.9999999999999966	0.996	0.242	24.2%	0.039	9.655%	0.11872	0.995
OGG1_boot.41	0.9999999999999964	0.997	0.225	22.5%	0.036	8.787%	0.12138	0.997
OGG1_boot.42	0.9999999999999969	0.995	0.232	23.2%	0.04	10.183%	0.13188	0.994
OGG1_boot.43	0.9999999999999968	0.992	0.25	25.0%	0.051	12.508%	0.12272	0.992
OGG1_boot.44	0.9999999999999964	0.996	0.216	21.6%	0.043	10.344%	0.09826	0.995
OGG1_boot.45	0.9999999999999969	0.995	0.232	23.2%	0.038	9.417%	0.13193	0.995
OGG1_boot.46	0.9999999999999967	0.995	0.233	23.3%	0.039	10.232%	0.13314	0.994
OGG1_boot.47	0.9999999999999977	0.996	0.216	21.6%	0.036	9.119%	0.10684	0.996
OGG1_boot.48	0.9999999999999978	0.997	0.197	19.7%	0.032	8.218%	0.08925	0.996
OGG1_boot.49	0.999999999999998	0.996	0.208	20.8%	0.035	9.245%	0.09584	0.996
OGG1_boot.50	0.9999999999999978	0.997	0.199	19.9%	0.033	8.072%	0.11316	0.997
OGG1_boot.51	0.9999999999999977	0.995	0.215	21.5%	0.041	9.859%	0.1014	0.995
OGG1_boot.52	0.9999999999999978	0.996	0.217	21.7%	0.037	8.899%	0.12739	0.996
OGG1_boot.53	0.999999999999998	0.995	0.22	22.0%	0.038	9.889%	0.1002	0.995
OGG1_boot.54	0.9999999999999978	0.996	0.213	21.3%	0.035	8.776%	0.11023	0.996
OGG1_boot.55	0.9999999999999981	0.995	0.248	24.8%	0.04	10.392%	0.12808	0.994
OGG1_boot.56	0.999999999999998	0.994	0.251	25.1%	0.044	11.015%	0.1239	0.994
OGG1_boot.57	0.9999999999999976	0.998	0.178	17.8%	0.028	6.931%	0.08391	0.998
OGG1_boot.58	0.9999999999999981	0.992	0.232	23.2%	0.051	12.536%	0.10843	0.992
OGG1_boot.59	0.9999999999999978	0.994	0.244	24.4%	0.045	11.363%	0.11033	0.994
OGG1_boot.60	0.9999999999999982	0.995	0.218	21.8%	0.04	10.558%	0.10609	0.994
OGG1_boot.61	0.9999999999999978	0.998	0.184	18.4%	0.025	6.38%	0.09946	0.998
OGG1_boot.62	0.9999999999999981	0.996	0.21	21.0%	0.034	9.0%	0.10454	0.996
OGG1_boot.63	0.9999999999999973	0.996	0.225	22.5%	0.036	9.084%	0.13241	0.996
OGG1_boot.64	0.999999999999998	0.996	0.198	19.8%	0.034	8.482%	0.10282	0.996
OGG1_boot.65	0.9999999999999984	0.995	0.232	23.2%	0.041	10.753%	0.11511	0.994
OGG1_boot.66	0.999999999999998	0.994	0.226	22.6%	0.044	10.98%	0.11488	0.994
OGG1_boot.67	0.9999999999999977	0.995	0.242	24.2%	0.039	9.61%	0.1218	0.995
OGG1_boot.68	0.9999999999999982	0.993	0.221	22.1%	0.045	11.64%	0.08848	0.993
OGG1_boot.69	0.9999999999999976	0.996	0.221	22.1%	0.038	9.556%	0.09944	0.995
OGG1_boot.70	0.9999999999999976	0.996	0.218	21.8%	0.037	9.339%	0.09957	0.996
OGG1_boot.71	0.9999999999999977	0.998	0.176	17.6%	0.028	7.064%	0.08577	0.997
OGG1_boot.72	0.9999999999999978	0.996	0.229	22.9%	0.036	9.302%	0.10766	0.995
OGG1_boot.73	0.9999999999999976	0.997	0.201	20.1%	0.03	7.525%	0.10703	0.997
OGG1_boot.74	0.9999999999999981	0.991	0.257	25.7%	0.052	13.426%	0.11375	0.99
OGG1_boot.75	0.9999999999999974	0.996	0.211	21.1%	0.036	9.044%	0.11808	0.996
OGG1_boot.76	0.9999999999999971	0.996	0.204	20.4%	0.035	8.367%	0.10049	0.996
OGG1_boot.77	0.9999999999999977	0.998	0.182	18.2%	0.025	6.464%	0.09967	0.998
OGG1_boot.78	0.9999999999999976	0.997	0.187	18.7%	0.03	7.331%	0.11776	0.997
OGG1_boot.79	0.999999999999998	0.99	0.227	22.7%	0.057	14.388%	0.09532	0.989
OGG1_boot.80	0.9999999999999979	0.996	0.205	20.5%	0.035	8.829%	0.10427	0.996
OGG1_boot.81	0.9999999999999977	0.997	0.195	19.5%	0.034	8.283%	0.10099	0.997
OGG1_boot.82	0.9999999999999982	0.997	0.202	20.2%	0.033	8.208%	0.10073	0.997
OGG1_boot.83	0.9999999999999973	0.996	0.213	21.3%	0.034	8.586%	0.1129	0.996
OGG1_boot.84	0.9999999999999974	0.997	0.193	19.3%	0.03	7.435%	0.09923	0.997
OGG1_boot.85	0.9999999999999972	0.997	0.196	19.6%	0.031	7.557%	0.0966	0.997
OGG1_boot.86	0.9999999999999977	0.997	0.215	21.5%	0.032	8.26%	0.09967	0.996
OGG1_boot.87	0.9999999999999974	0.997	0.199	19.9%	0.031	7.947%	0.09187	0.997
OGG1_boot.88	0.999999999999998	0.997	0.205	20.5%	0.031	7.87%	0.09785	0.997
OGG1_boot.89	0.999999999999998	0.993	0.229	22.9%	0.047	11.818%	0.09584	0.993
OGG1_boot.90	0.9999999999999981	0.993	0.305	30.5%	0.056	14.231%	0.17879	0.993
OGG1_boot.91	0.9999999999999977	0.995	0.248	24.8%	0.041	10.281%	0.13376	0.995
OGG1_boot.92	0.999999999999998	0.995	0.232	23.2%	0.04	10.238%	0.13869	0.994
OGG1_boot.93	0.9999999999999978	0.995	0.222	22.2%	0.04	10.357%	0.10349	0.995
OGG1_boot.94	0.9999999999999977	0.993	0.29	29.0%	0.054	14.211%	0.16945	0.993
