Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
OGG1_boot	9.74E-05	1.20E-04	0.00E+00	2.14E-04	1.33E-04
OGG1_boot.1	1.33E-04	2.81E-78	2.68E-04	1.03E-04	8.42E-05
OGG1_boot.2	4.17E-04	9.54E-05	5.12E-04	6.43E-05	4.18E-05
OGG1_boot.3	7.12E-04	0.00E+00	8.25E-04	6.16E-05	5.27E-05
OGG1_boot.4	1.06E-03	9.93E-05	1.13E-03	2.54E-05	2.58E-05
OGG1_boot.5	9.53E-05	7.46E-05	7.62E-06	0.00E+00	4.08E-05
OGG1_boot.6	7.46E-05	9.79E-05	1.64E-04	8.44E-05	5.81E-05
OGG1_boot.7	2.31E-04	9.44E-05	3.59E-04	8.87E-05	5.46E-05
OGG1_boot.8	5.94E-04	0.00E+00	6.93E-04	6.23E-05	3.88E-05
OGG1_boot.9	8.08E-04	8.52E-05	9.00E-04	4.47E-05	2.96E-05
OGG1_boot.10	6.72E-04	1.71E-04	8.30E-04	1.94E-04	7.53E-05
OGG1_boot.11	1.13E-03	8.41E-05	1.20E-03	4.18E-05	5.48E-05
OGG1_boot.12	2.56E-04	9.98E-05	3.85E-04	9.32E-05	5.35E-05
OGG1_boot.13	1.08E-04	1.58E-04	2.13E-04	8.49E-05	6.52E-05
OGG1_boot.14	8.52E-04	8.24E-05	9.49E-04	4.51E-05	3.43E-05
OGG1_boot.15	1.09E-03	1.21E-20	1.15E-03	2.42E-05	2.86E-05
OGG1_boot.16	9.81E-05	8.17E-05	2.25E-68	0.00E+00	4.79E-05
OGG1_boot.17	7.87E-04	0.00E+00	8.83E-04	4.21E-05	4.15E-05
OGG1_boot.18	1.29E-03	0.00E+00	1.39E-03	0.00E+00	5.58E-05
OGG1_boot.19	1.13E-03	9.15E-05	1.24E-03	1.13E-04	5.05E-05
OGG1_boot.20	6.97E-04	8.90E-05	7.91E-04	5.24E-05	3.97E-05
OGG1_boot.21	7.52E-05	1.09E-04	1.61E-04	9.03E-05	6.12E-05
OGG1_boot.22	9.15E-04	8.97E-05	9.90E-04	3.30E-05	2.66E-05
OGG1_boot.23	3.95E-04	2.05E-04	5.18E-04	7.56E-05	7.19E-05
OGG1_boot.24	3.54E-04	9.07E-05	4.72E-04	8.34E-05	4.41E-05
OGG1_boot.25	6.13E-04	8.89E-73	7.08E-04	5.56E-05	4.05E-05
OGG1_boot.26	8.73E-04	0.00E+00	9.70E-04	5.03E-05	2.46E-05
OGG1_boot.27	8.54E-04	0.00E+00	9.69E-04	1.72E-36	6.64E-05
OGG1_boot.28	2.32E-04	1.09E-04	3.31E-04	7.53E-05	5.49E-05
OGG1_boot.29	1.67E-04	1.26E-04	2.79E-04	7.86E-05	4.80E-05
OGG1_boot.30	8.94E-05	0.00E+00	1.91E-14	7.11E-05	8.42E-05
OGG1_boot.31	5.00E-04	9.55E-05	6.19E-04	7.33E-05	4.10E-05
OGG1_boot.32	9.62E-04	2.32E-37	1.06E-03	3.99E-05	4.99E-05
OGG1_boot.33	6.21E-04	1.17E-49	7.10E-04	5.46E-05	5.30E-05
OGG1_boot.34	6.98E-04	9.91E-05	7.88E-04	4.38E-05	3.45E-05
OGG1_boot.35	7.04E-04	9.17E-05	8.21E-04	4.36E-05	1.80E-05
OGG1_boot.36	4.09E-04	9.59E-05	5.13E-04	7.40E-05	5.03E-05
OGG1_boot.37	8.10E-04	0.00E+00	9.04E-04	4.98E-05	5.86E-05
OGG1_boot.38	2.86E-04	0.00E+00	3.95E-04	8.54E-05	7.25E-05
OGG1_boot.39	1.34E-03	0.00E+00	1.44E-03	0.00E+00	4.74E-05
OGG1_boot.40	2.38E-04	0.00E+00	3.60E-04	8.88E-05	6.84E-05
OGG1_boot.41	2.08E-04	1.01E-04	3.35E-04	8.72E-05	4.87E-05
OGG1_boot.42	8.00E-04	8.77E-05	9.08E-04	5.80E-05	4.23E-05
OGG1_boot.43	8.49E-04	1.47E-30	9.49E-04	5.03E-05	3.17E-05
OGG1_boot.44	9.11E-04	0.00E+00	1.03E-03	1.24E-04	6.75E-05
OGG1_boot.45	4.41E-04	0.00E+00	5.62E-04	8.09E-05	6.01E-05
OGG1_boot.46	5.70E-04	8.96E-05	6.25E-04	4.53E-05	3.90E-05
OGG1_boot.47	6.33E-04	9.37E-05	7.06E-04	3.81E-05	3.59E-20
OGG1_boot.48	2.48E-04	9.33E-05	3.18E-04	6.46E-05	5.22E-05
OGG1_boot.49	8.37E-04	8.91E-05	9.03E-04	2.99E-05	0.00E+00
OGG1_boot.50	9.48E-05	1.01E-04	2.12E-04	9.40E-05	5.70E-05
OGG1_boot.51	3.31E-04	1.07E-04	4.39E-04	5.64E-05	0.00E+00
OGG1_boot.52	8.00E-05	1.03E-04	1.46E-04	8.65E-05	5.53E-05
OGG1_boot.53	8.39E-04	9.07E-05	8.96E-04	3.85E-05	0.00E+00
OGG1_boot.54	9.26E-04	8.42E-24	1.02E-03	4.18E-05	5.18E-05
OGG1_boot.55	2.01E-04	9.14E-05	2.63E-04	5.76E-05	1.18E-31
OGG1_boot.56	2.82E-04	9.48E-05	3.54E-04	6.65E-05	5.35E-05
OGG1_boot.57	5.50E-04	9.46E-05	6.45E-04	5.77E-05	3.76E-05
OGG1_boot.58	5.07E-04	1.03E-04	6.12E-04	5.03E-05	0.00E+00
OGG1_boot.59	1.05E-03	9.48E-05	1.13E-03	2.32E-05	0.00E+00
OGG1_boot.60	9.83E-04	8.74E-05	1.05E-03	3.38E-05	4.27E-05
