Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
train1_EXO1_real	0.00E+00	1.01E-01	0.00E+00	0.00E+00	0.00E+00
train1_OGG1_real	0.00E+00	0.00E+00	0.00E+00	1.04E-01	8.16E-02
train1_RNF168_real	0.00E+00	1.18E-02	0.00E+00	0.00E+00	0.00E+00
train1_UNG_real	1.29E-26	0.00E+00	0.00E+00	2.05E-01	1.42E-01
train1_ATP2B4_real	0.00E+00	0.00E+00	5.39E-03	0.00E+00	0.00E+00
train1_ATP2B4_real.1	0.00E+00	0.00E+00	5.40E-03	0.00E+00	0.00E+00
train1_MLH1_real	1.48E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train1_MSH2_real	3.42E-03	0.00E+00	0.00E+00	0.00E+00	2.40E-03
train1_MSH6_real	1.23E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train1_MSH6_real.1	3.33E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train1_PMS1_real	8.55E-02	0.00E+00	2.54E-02	2.44E-02	9.55E-02
train1_PMS2_real	4.80E-03	0.00E+00	0.00E+00	1.02E-03	1.73E-03
train2_OGG1_real	0.00E+00	0.00E+00	0.00E+00	1.03E-01	8.23E-02
train2_RNF168_real	0.00E+00	9.56E-03	0.00E+00	0.00E+00	0.00E+00
train2_UNG_real	1.29E-26	0.00E+00	0.00E+00	2.25E-01	1.38E-01
train2_ATP2B4_real	0.00E+00	0.00E+00	5.08E-03	0.00E+00	0.00E+00
train2_ATP2B4_real.1	0.00E+00	0.00E+00	5.04E-03	0.00E+00	0.00E+00
train2_MLH1_real	1.59E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train2_MSH6_real	1.23E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train2_MSH6_real.1	7.54E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train2_PMS1_real	8.24E-02	0.00E+00	2.93E-02	2.04E-02	9.16E-02
train2_PMS2_real	2.49E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train3_EXO1_real	0.00E+00	6.87E-02	0.00E+00	0.00E+00	0.00E+00
train3_OGG1_real	0.00E+00	0.00E+00	0.00E+00	1.05E-01	8.94E-02
train3_RNF168_real	0.00E+00	3.01E-02	0.00E+00	0.00E+00	0.00E+00
train3_UNG_real	0.00E+00	0.00E+00	0.00E+00	1.90E-01	1.44E-01
train3_ATP2B4_real	0.00E+00	0.00E+00	5.27E-03	0.00E+00	0.00E+00
train3_ATP2B4_real.1	0.00E+00	0.00E+00	5.45E-03	0.00E+00	0.00E+00
train3_MLH1_real	1.40E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train3_MSH2_real	1.79E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train3_MSH6_real	1.30E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train3_MSH6_real.1	3.03E-03	0.00E+00	0.00E+00	0.00E+00	2.25E-03
train3_MSH6_real.2	7.89E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
train3_PMS1_real	7.17E-02	0.00E+00	2.43E-02	2.18E-02	8.27E-02
train3_PMS2_real	1.60E-03	0.00E+00	0.00E+00	1.60E-03	0.00E+00
