NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.423	42.266	0.086	43.216	428.649	0.909	105000.0
2	0.399	39.917	0.082	40.374	142.971	0.909	105000.0
3	0.373	37.286	0.065	30.975	142.96	0.916	105000.0
4	0.394	39.363	0.068	33.632	143.006	0.915	105000.0
5	0.421	42.066	0.085	43.054	142.971	0.909	105000.0
6	0.421	42.066	0.085	43.054	171.536	0.909	105000.0
7	0.421	42.069	0.085	43.08	142.972	0.909	105000.0
8	0.399	39.917	0.082	40.374	142.971	0.909	105000.0
9	0.378	37.789	0.062	30.826	485.786	0.912	105000.0
10	0.372	37.22	0.061	30.311	228.804	0.915	15000.0
