Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot	1.57E-01	5.49E-02	2.67E-02	4.46E-02	0.00E+00	1.71E-01
OGG1_boot.1	6.66E-02	5.39E-02	2.80E-02	1.46E-02	3.51E-02	1.14E-01
OGG1_boot.2	6.73E-02	5.38E-02	2.73E-02	1.52E-02	3.45E-02	1.15E-01
OGG1_boot.3	1.53E-01	5.53E-02	2.82E-02	4.59E-02	1.90E-33	1.68E-01
OGG1_boot.4	6.16E-02	5.60E-02	3.12E-02	1.88E-02	3.66E-02	1.06E-01
OGG1_boot.5	6.78E-02	5.32E-02	2.66E-02	1.42E-02	3.39E-02	1.15E-01
OGG1_boot.6	6.37E-02	5.32E-02	2.88E-02	1.59E-02	3.44E-02	1.09E-01
OGG1_boot.7	6.51E-02	5.32E-02	2.81E-02	1.55E-02	3.45E-02	1.11E-01
OGG1_boot.8	6.50E-02	5.43E-02	2.88E-02	1.66E-02	3.47E-02	1.11E-01
OGG1_boot.9	6.08E-02	5.53E-02	3.11E-02	1.84E-02	3.59E-02	1.05E-01
OGG1_boot.10	6.94E-02	5.45E-02	2.61E-02	1.47E-02	3.47E-02	1.17E-01
OGG1_boot.11	1.47E-01	5.52E-02	2.77E-02	4.77E-02	1.01E-54	1.62E-01
OGG1_boot.12	1.51E-01	5.43E-02	2.75E-02	4.57E-02	5.87E-160	1.66E-01
OGG1_boot.13	6.50E-02	5.36E-02	2.83E-02	1.52E-02	3.48E-02	1.11E-01
OGG1_boot.14	1.43E-01	5.49E-02	2.84E-02	4.79E-02	2.91E-53	1.58E-01
OGG1_boot.15	1.40E-01	5.52E-02	2.87E-02	4.78E-02	2.74E-03	1.55E-01
OGG1_boot.16	1.59E-01	5.51E-02	2.68E-02	4.50E-02	0.00E+00	1.73E-01
OGG1_boot.17	1.50E-01	5.58E-02	2.87E-02	4.79E-02	2.58E-25	1.66E-01
OGG1_boot.18	1.49E-01	5.60E-02	2.84E-02	4.84E-02	3.31E-42	1.65E-01
OGG1_boot.19	6.22E-02	5.56E-02	3.05E-02	1.86E-02	3.59E-02	1.07E-01
OGG1_boot.20	1.47E-01	5.49E-02	2.79E-02	4.77E-02	2.05E-110	1.62E-01
OGG1_boot.21	6.75E-02	5.25E-02	2.64E-02	1.44E-02	3.37E-02	1.15E-01
OGG1_boot.22	5.88E-02	5.62E-02	3.23E-02	1.92E-02	3.66E-02	1.02E-01
OGG1_boot.23	1.51E-01	5.49E-02	2.78E-02	4.67E-02	2.78E-96	1.66E-01
OGG1_boot.24	1.39E-01	5.45E-02	2.88E-02	4.91E-02	1.78E-114	1.54E-01
OGG1_boot.25	6.24E-02	5.45E-02	3.07E-02	1.73E-02	3.58E-02	1.07E-01
OGG1_boot.26	6.26E-02	5.45E-02	3.04E-02	1.75E-02	3.60E-02	1.08E-01
