	0	1	2	3	4	5	6	7	8	9
0	[284.14944373744515, 8.15755521581126, 2759.918885216339, 0.24833333492279053, 0.0]	[284.1723989010638, 8.160378013493842, 2760.120208875699, 0.25, 0.0]	[284.10280368338005, 8.15493936126961, 2759.478643221104, 0.25, 0.0]	[284.1290678386514, 8.155362286473617, 2759.7370555217776, 0.24500000476837158, 0.0]	[284.10588080972036, 8.154257847459638, 2759.516229622607, 0.2549999952316284, 0.0]	[284.1257293292084, 8.154945375614092, 2759.707839535943, 0.25, 0.0]	[284.13599979986316, 8.154940374136862, 2759.810594257263, 0.2475000023841858, 0.0]	[284.141301014143, 8.161037212199796, 2759.8026380194315, 0.25083333253860474, 0.0]	[284.1488656780085, 8.161023656372407, 2759.8784202163606, 0.25, 0.0]	[284.12472601967943, 8.158798023103913, 2759.659279965755, 0.25083333253860474, 0.0]
100	[53.363169422434424, 6.731900965644794, 466.3126845678963, 0.9641666412353516, 0.0]	[47.971654086017125, 6.888321522761166, 410.83332563255954, 0.8758333325386047, 0.0]	[33.23067014062516, 10.033919011763286, 231.9675112886187, 0.965833306312561, 0.0]	[56.54732803700905, 6.736624158446034, 498.10703878563015, 0.8933333158493042, 0.0]	[65.80311280455109, 8.617990089940562, 571.8512271461052, 0.8924999833106995, 0.0]	[60.179660058461415, 7.392230181361559, 527.8742987709985, 0.8916666507720947, 0.0]	[38.08571930529802, 4.5943480214522365, 334.91371283845785, 0.9900000095367432, 0.0]	[42.355994972078676, 6.15196959442352, 362.04025377655154, 0.9566666483879089, 0.0]	[36.279109095136256, 13.163850882661093, 231.15258212475163, 0.9333333373069763, 0.0]	[70.46410751874183, 8.291658195926523, 621.7244932281529, 0.9083333611488342, 0.0]
200	[47.081645966413554, 5.360520693677169, 417.21125272736384, 0.934166669845581, 0.0]	[40.4332963208335, 8.263610640140913, 321.6968568069259, 0.9616666436195374, 0.0]	[25.16530701564151, 8.933992136317183, 162.31314879324327, 0.9883333444595337, 0.0]	[21.434022582320807, 6.723045501006863, 147.10977081313945, 0.9916666746139526, 0.0]	[51.46222980479436, 7.3014299692743325, 441.60799835520027, 0.9158333539962769, 0.0]	[105.77778966497313, 8.783357939220442, 969.9443172575268, 0.7250000238418579, 0.0]	[34.78944394307254, 4.141493297880778, 306.47950645191764, 0.9766666889190674, 0.0]	[38.41001626139133, 5.562254326096771, 328.47761935294557, 0.9750000238418579, 0.0]	[30.125989206774207, 12.284535761057672, 178.41453445716536, 0.9808333516120911, 0.0]	[45.57929903978996, 6.8257138313863175, 387.5358520840364, 0.9483333230018616, 0.0]
300	[45.65649932528224, 6.341430339075312, 393.15068986206927, 0.9708333611488342, 0.0]	[20.200614251419296, 5.877482644480367, 143.23131606938927, 0.9883333444595337, 0.0]	[22.613961829944103, 8.034047150686723, 145.79914679257377, 0.9908333420753479, 0.0]	[16.917383830654927, 6.538358267429793, 103.79025563225132, 0.9950000047683716, 0.0]	[29.53397445796522, 4.643884145198045, 248.90090312767174, 0.987500011920929, 0.0]	[42.033977910324886, 8.710517309046834, 333.2346060127805, 0.9416666626930237, 0.0]	[32.473342650318195, 4.190858296964923, 282.82484353353266, 0.987500011920929, 0.0]	[42.962046663739244, 7.009775808037236, 359.5227085570201, 0.9708333611488342, 0.0]	[28.90938652111735, 12.31983286874561, 165.8955365237174, 0.9825000166893005, 0.0]	[36.327532039575885, 5.0332386500018345, 312.9429338957405, 0.9691666960716248, 0.0]
400	[42.1263459625782, 4.830367772932845, 372.95978189645353, 0.9775000214576721, 0.0]	[19.570401629209062, 5.916937829585887, 136.53463799623174, 0.9891666769981384, 0.0]	[17.645770677038094, 8.183685460221586, 94.62085216816509, 0.9933333396911621, 0.0]	[16.707032279776428, 5.780927890700152, 109.26104389076274, 0.9908333420753479, 0.0]	[31.891056181625903, 4.6041495481532015, 272.869066334727, 0.9908333420753479, 0.0]	[35.75190408875696, 4.051101719461084, 317.0080236929587, 0.9058333039283752, 0.0]	[29.93809294948391, 4.129154816844994, 258.0893813263891, 0.987500011920929, 0.0]	[38.623438668589515, 5.009702305821881, 336.13736362767634, 0.9641666412353516, 0.0]	[29.62886031856543, 11.566958287735593, 180.61902030829833, 0.9825000166893005, 0.0]	[31.812865726005555, 4.835457101552266, 269.7740862445329, 0.9833333492279053, 0.0]
500	[23.413878761139323, 4.333148698883145, 190.8073006225618, 1.0, 0.0]	[18.62251845621898, 5.887265343572353, 127.35253112646626, 0.9891666769981384, 0.0]	[12.538694451181012, 8.471276535411869, 40.67417915769143, 0.9983333349227905, 0.0]	[15.683163610953144, 5.447525911109581, 102.35637699843562, 0.9925000071525574, 0.0]	[24.22996464295679, 4.185398026641156, 200.44566616315632, 0.9958333373069763, 0.0]	[37.25327680938793, 4.592990536601324, 326.602862727866, 0.9791666865348816, 0.0]	[27.82992397611994, 4.356189854276313, 234.73734121843626, 0.9908333420753479, 0.0]	[31.538905311035016, 6.944240397719811, 245.94664913315205, 0.9825000166893005, 0.0]	[26.648304102853544, 10.311849616983709, 163.3645448586983, 0.9858333468437195, 0.0]	[25.71153457356295, 4.445861543965462, 212.65673029597485, 0.9891666769981384, 0.0]
600	[20.87849535925213, 4.35165943283508, 165.2683592641705, 0.9991666674613953, 0.0]	[18.400305661023943, 6.503092514641193, 118.9721314638275, 0.9891666769981384, 0.0]	[12.196278309942034, 8.005119416120976, 41.91158893821057, 0.9983333349227905, 0.0]	[14.739675536884747, 5.286396547351078, 94.53278989533668, 0.9916666746139526, 0.0]	[22.74866202271497, 4.169303734673455, 185.79358288041513, 0.9950000047683716, 0.0]	[28.000807738305376, 4.5435034331757365, 234.5730430512964, 0.9933333396911621, 0.0]	[27.003848847759826, 4.458274359799069, 225.45574487960755, 0.9933333396911621, 0.0]	[26.258402382751704, 7.497151972288945, 187.61250410462756, 0.9908333420753479, 0.0]	[19.86065491037261, 10.640020209584916, 92.20634700787693, 0.9950000047683716, 0.0]	[25.996463768986093, 4.456505811892245, 215.39957957093847, 0.9925000071525574, 0.0]
700	[19.13828051672292, 4.332972995543597, 148.0530752117932, 0.9983333349227905, 0.0]	[18.467530996416073, 6.302655450213487, 121.64875546202585, 0.987500011920929, 0.0]	[10.645833221186932, 6.998544589405157, 36.472886317817746, 0.9975000023841858, 0.0]	[15.904865807523663, 4.873259077097824, 110.31606730425838, 0.9883333444595337, 0.0]	[23.85198515241232, 4.45771407913194, 193.9427107328038, 0.9958333373069763, 0.0]	[26.18682713159104, 4.605915658762494, 215.80911472828544, 0.9933333396911621, 0.0]	[27.18311604029781, 4.523621129548808, 226.59494910749004, 0.9933333396911621, 0.0]	[23.648388343541924, 8.134207482794592, 155.1418086074733, 0.9933333396911621, 0.0]	[22.652726255923934, 10.15831073877101, 124.94415517152923, 0.9908333420753479, 0.0]	[30.48658041409349, 4.587228003679648, 258.9935241041384, 0.9891666769981384, 0.0]
800	[17.7251632271955, 4.304011509300822, 134.2115171789468, 1.0, 0.0]	[18.288102273538836, 6.382114198715573, 119.05988074823262, 0.987500011920929, 0.0]	[12.163887245100135, 6.401943292013858, 57.619439530862756, 0.9933333396911621, 0.0]	[14.39044680751741, 5.068342789445856, 93.22104018071553, 0.9925000071525574, 0.0]	[21.092930516065337, 4.165098144989807, 169.27832371075527, 0.9958333373069763, 0.0]	[26.3254873119854, 4.686597098021165, 216.3889021396423, 0.9941666722297668, 0.0]	[25.35168949500859, 4.470208874070114, 208.81480620938476, 0.9933333396911621, 0.0]	[21.620800650083297, 8.276515569365205, 133.44285080718092, 0.9925000071525574, 0.0]	[16.895252140004274, 9.788822850904387, 71.06429289099886, 0.9908333420753479, 0.0]	[33.397409918607494, 5.11372148890267, 282.8368842970482, 0.9825000166893005, 0.0]
900	[16.847502770019616, 4.262689723022463, 125.84813046997152, 0.9983333349227905, 0.0]	[18.72118216436674, 6.513897971667663, 122.07284192699076, 0.9858333468437195, 0.0]	[12.448695108813354, 6.237713166650145, 62.109819421632075, 0.9908333420753479, 0.0]	[15.459627748372771, 5.048077472917172, 104.11550275455598, 0.9891666769981384, 0.0]	[20.261010335406905, 4.181003309364114, 160.8000702604279, 0.9950000047683716, 0.0]	[23.25161234079144, 4.528175141204715, 187.23437199586726, 0.996666669845581, 0.0]	[25.613155119878705, 4.549200254651287, 210.6395486522742, 0.9925000071525574, 0.0]	[22.208132017692527, 9.341630692028302, 128.66501325664223, 0.9925000071525574, 0.0]	[12.548226608467395, 9.175424393426722, 33.72802215040673, 0.9975000023841858, 0.0]	[29.57794888108217, 4.667687761258908, 249.10261119823258, 0.9891666769981384, 0.0]
1000	[16.108399898128912, 4.23808229019606, 118.70317607932851, 1.0, 0.0]	[16.681513644621916, 5.96339624626913, 107.18117398352784, 0.987500011920929, 0.0]	[11.984489360099156, 5.983194087901332, 60.01295272197824, 0.9916666746139526, 0.0]	[14.93771927652963, 4.68574566954873, 102.519736069809, 0.9900000095367432, 0.0]	[20.13471916622481, 4.387378432382145, 157.47340733842663, 0.9950000047683716, 0.0]	[23.05676675007345, 4.54219409272033, 185.1457265735312, 0.996666669845581, 0.0]	[25.733632513400625, 4.619163116344872, 211.1446939705575, 0.9933333396911621, 0.0]	[21.451823046980238, 9.641320911249379, 118.10502135730857, 0.9941666722297668, 0.0]	[26.38533421762454, 10.85312613759979, 155.32208080024748, 0.9908333420753479, 0.0]	[26.06313184555927, 4.295999486204239, 217.67132359355028, 0.9833333492279053, 0.0]
2000	[12.180093329102121, 4.0837974674770345, 80.96295861625086, 1.0, 0.0]	[16.363091717384098, 5.2194417654392, 111.43649951944897, 0.9891666769981384, 0.0]	[11.626253813368702, 5.344722165926953, 62.815316474417486, 0.9916666746139526, 0.0]	[13.106126208838745, 4.016354468790676, 90.89771740048069, 0.9891666769981384, 0.0]	[16.231935532995255, 4.088254351144508, 121.43681181850746, 0.9958333373069763, 0.0]	[18.293872799756574, 4.294752386470728, 139.99120413285846, 0.996666669845581, 0.0]	[23.016025795417633, 4.481974883220742, 185.34050912196892, 0.9916666746139526, 0.0]	[16.909819635480034, 6.369177340660556, 105.40642294819477, 0.9941666722297668, 0.0]	[20.41240195720684, 9.525474541563401, 108.86927415643436, 0.9925000071525574, 0.0]	[16.715814061296072, 3.9204512406291796, 127.95362820666892, 0.9916666746139526, 0.0]
3000	[11.35332647905472, 3.978544599144085, 73.74781879910635, 0.9983333349227905, 0.0]	[9.82464676841252, 4.231594281024251, 55.9305248738827, 0.9983333349227905, 0.0]	[5.959682506702099, 5.28191082028393, 6.777716864181684, 1.0, 0.0]	[10.190056552625432, 3.766014858247461, 64.2404169437797, 0.9950000047683716, 0.0]	[12.76001439451501, 4.011994757506275, 87.48019637008736, 0.9991666674613953, 0.0]	[15.298951965142702, 4.033256101917576, 112.65695863225125, 0.9958333373069763, 0.0]	[21.464205626735016, 4.4814433326039405, 169.82762294131075, 0.9925000071525574, 0.0]	[20.38318167467869, 7.602719916790299, 127.80461757888389, 0.9941666722297668, 0.0]	[13.449223877914402, 8.844611940261494, 46.04611937652909, 0.9975000023841858, 0.0]	[15.127188033684206, 3.9148502156666325, 112.12337818017573, 0.996666669845581, 0.0]
4000	[11.278950377907602, 3.946813619263592, 73.32136758644009, 0.9983333349227905, 0.0]	[9.306784615593404, 4.18589086925296, 51.20893746340443, 0.9983333349227905, 0.0]	[5.8033616604429605, 5.232702972372045, 5.706586880709155, 1.0, 0.0]	[10.163062618934616, 3.763636006032815, 63.994266129018, 0.9925000071525574, 0.0]	[12.246340400567671, 4.15831256612604, 80.88027834441631, 0.9983333349227905, 0.0]	[14.33907896193696, 3.9231795205106827, 104.15899441426276, 0.9958333373069763, 0.0]	[21.777996493395875, 4.329681825268552, 174.48314668127324, 0.996666669845581, 0.0]	[18.707113702448716, 8.151963250209716, 105.55150452238996, 0.9916666746139526, 0.0]	[10.1367101892244, 8.609669886204623, 15.270403030197778, 0.9991666674613953, 0.0]	[12.632487227370776, 3.7547858454084846, 88.77701381962291, 0.9991666674613953, 0.0]
