Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999963	0.981	0.376	37.6%	0.099	23.229%	0.17464	0.981
OGG1_boot.1	0.9999999999999964	0.986	0.377	37.7%	0.086	20.521%	0.19472	0.986
OGG1_boot.2	0.9999999999999964	0.991	0.356	35.6%	0.075	17.945%	0.1879	0.992
OGG1_boot.3	0.999999999999997	0.992	0.358	35.8%	0.07	17.01%	0.19119	0.992
OGG1_boot.4	0.9999999999999968	0.992	0.296	29.6%	0.06	15.642%	0.14688	0.991
OGG1_boot.5	0.9999999999999962	0.988	0.357	35.7%	0.084	19.932%	0.17405	0.988
OGG1_boot.6	0.9999999999999967	0.99	0.324	32.4%	0.063	15.846%	0.15716	0.99
OGG1_boot.7	0.9999999999999969	0.99	0.335	33.5%	0.068	16.762%	0.19772	0.99
OGG1_boot.8	0.9999999999999968	0.986	0.375	37.5%	0.079	19.435%	0.21202	0.985
OGG1_boot.9	0.9999999999999969	0.993	0.332	33.2%	0.053	13.991%	0.19088	0.992
OGG1_boot.10	0.9999999999999967	0.992	0.305	30.5%	0.083	19.34%	0.1422	0.993
OGG1_boot.11	0.9999999999999967	0.996	0.26	26.0%	0.045	11.448%	0.138	0.996
OGG1_boot.12	0.9999999999999967	0.992	0.322	32.2%	0.065	15.978%	0.17823	0.992
OGG1_boot.13	0.9999999999999964	0.989	0.349	34.9%	0.073	17.917%	0.17526	0.989
OGG1_boot.14	0.999999999999997	0.994	0.281	28.1%	0.05	13.031%	0.16188	0.994
OGG1_boot.15	0.9999999999999973	0.994	0.305	30.5%	0.048	12.807%	0.16912	0.994
OGG1_boot.16	0.9999999999999962	0.985	0.354	35.4%	0.095	22.138%	0.18666	0.985
OGG1_boot.17	0.9999999999999969	0.989	0.383	38.3%	0.078	19.317%	0.19519	0.989
OGG1_boot.18	0.999999999999997	0.993	0.327	32.7%	0.065	16.263%	0.18008	0.993
OGG1_boot.19	0.999999999999997	0.994	0.296	29.6%	0.051	13.259%	0.15882	0.994
OGG1_boot.20	0.9999999999999966	0.994	0.3	30.0%	0.053	13.443%	0.15638	0.994
OGG1_boot.21	0.9999999999999964	0.989	0.376	37.6%	0.081	19.315%	0.19743	0.989
OGG1_boot.22	0.999999999999997	0.994	0.297	29.7%	0.053	14.153%	0.16757	0.994
OGG1_boot.23	0.9999999999999962	0.992	0.322	32.2%	0.065	16.049%	0.17725	0.991
OGG1_boot.24	0.9999999999999966	0.989	0.349	34.9%	0.06	16.069%	0.18663	0.989
OGG1_boot.25	0.9999999999999969	0.991	0.362	36.2%	0.064	16.41%	0.20184	0.991
OGG1_boot.26	0.9999999999999964	0.987	0.361	36.1%	0.073	18.591%	0.18575	0.986
OGG1_boot.27	0.9999999999999968	0.993	0.302	30.2%	0.079	18.525%	0.17849	0.994
OGG1_boot.28	0.9999999999999967	0.986	0.338	33.8%	0.07	17.696%	0.17837	0.986
OGG1_boot.29	0.9999999999999967	0.991	0.348	34.8%	0.067	16.549%	0.19291	0.991
OGG1_boot.30	0.9999999999999964	0.988	0.368	36.8%	0.092	21.299%	0.18508	0.988
OGG1_boot.31	0.9999999999999968	0.992	0.355	35.5%	0.074	17.732%	0.17922	0.992
