Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999963	0.993	0.294	29.4%	0.053	12.436%	0.18366	0.992
OGG1_boot.1	0.9999999999999964	0.992	0.305	30.5%	0.057	13.601%	0.15293	0.991
OGG1_boot.2	0.9999999999999964	0.995	0.274	27.4%	0.044	10.528%	0.15097	0.995
OGG1_boot.3	0.999999999999997	0.994	0.261	26.1%	0.046	11.178%	0.14639	0.994
OGG1_boot.4	0.9999999999999968	0.993	0.261	26.1%	0.05	13.035%	0.13033	0.992
OGG1_boot.5	0.9999999999999962	0.994	0.259	25.9%	0.045	10.678%	0.15112	0.994
OGG1_boot.6	0.9999999999999967	0.994	0.276	27.6%	0.043	10.815%	0.15888	0.994
OGG1_boot.7	0.9999999999999969	0.995	0.278	27.8%	0.041	10.107%	0.17645	0.994
OGG1_boot.8	0.9999999999999968	0.989	0.343	34.3%	0.064	15.745%	0.20101	0.988
OGG1_boot.9	0.9999999999999969	0.994	0.28	28.0%	0.042	11.087%	0.17831	0.994
OGG1_boot.10	0.9999999999999967	0.995	0.251	25.1%	0.045	10.486%	0.12719	0.995
OGG1_boot.11	0.9999999999999967	0.997	0.234	23.4%	0.037	9.412%	0.13082	0.996
OGG1_boot.12	0.9999999999999967	0.997	0.219	21.9%	0.031	7.62%	0.14053	0.997
OGG1_boot.13	0.9999999999999964	0.993	0.295	29.5%	0.047	11.536%	0.17034	0.993
OGG1_boot.14	0.999999999999997	0.995	0.279	27.9%	0.042	10.946%	0.17044	0.994
OGG1_boot.15	0.9999999999999973	0.995	0.281	28.1%	0.04	10.673%	0.16408	0.995
OGG1_boot.16	0.9999999999999962	0.994	0.268	26.8%	0.046	10.719%	0.15809	0.994
OGG1_boot.17	0.9999999999999969	0.991	0.344	34.4%	0.063	15.602%	0.17929	0.991
OGG1_boot.18	0.999999999999997	0.994	0.294	29.4%	0.053	13.26%	0.15358	0.994
OGG1_boot.19	0.999999999999997	0.996	0.253	25.3%	0.04	10.399%	0.13432	0.995
OGG1_boot.20	0.9999999999999966	0.996	0.245	24.5%	0.035	8.878%	0.14284	0.996
OGG1_boot.21	0.9999999999999964	0.996	0.23	23.0%	0.04	9.538%	0.14926	0.995
OGG1_boot.22	0.999999999999997	0.995	0.29	29.0%	0.045	12.017%	0.16802	0.994
OGG1_boot.23	0.9999999999999962	0.995	0.251	25.1%	0.041	10.123%	0.14264	0.995
OGG1_boot.24	0.9999999999999966	0.993	0.315	31.5%	0.046	12.319%	0.18448	0.992
OGG1_boot.25	0.9999999999999969	0.993	0.297	29.7%	0.047	12.051%	0.17352	0.993
OGG1_boot.26	0.9999999999999964	0.989	0.304	30.4%	0.06	15.28%	0.14991	0.988
OGG1_boot.27	0.9999999999999968	0.996	0.254	25.4%	0.045	10.552%	0.13422	0.996
OGG1_boot.28	0.9999999999999967	0.99	0.304	30.4%	0.056	14.157%	0.17053	0.989
OGG1_boot.29	0.9999999999999967	0.995	0.252	25.2%	0.04	9.88%	0.15604	0.995
OGG1_boot.30	0.9999999999999964	0.996	0.246	24.6%	0.042	9.723%	0.12757	0.996
OGG1_boot.31	0.9999999999999968	0.994	0.286	28.6%	0.045	10.783%	0.15494	0.994
OGG1_boot.32	0.9999999999999967	0.994	0.26	26.0%	0.044	11.169%	0.13203	0.994
OGG1_boot.33	0.9999999999999968	0.993	0.306	30.6%	0.052	12.707%	0.16091	0.993
OGG1_boot.34	0.9999999999999969	0.994	0.255	25.5%	0.044	11.188%	0.14091	0.993
OGG1_boot.35	0.9999999999999968	0.996	0.264	26.4%	0.037	9.426%	0.15466	0.995
OGG1_boot.36	0.9999999999999969	0.996	0.23	23.0%	0.035	8.653%	0.13638	0.996
OGG1_boot.37	0.9999999999999967	0.996	0.236	23.6%	0.036	8.879%	0.16246	0.996
OGG1_boot.38	0.9999999999999961	0.995	0.25	25.0%	0.041	9.834%	0.14851	0.995
OGG1_boot.39	0.999999999999997	0.992	0.321	32.1%	0.06	14.745%	0.15985	0.992
OGG1_boot.40	0.9999999999999966	0.994	0.279	27.9%	0.043	10.645%	0.15732	0.994
OGG1_boot.41	0.9999999999999964	0.996	0.254	25.4%	0.038	9.275%	0.15412	0.996
OGG1_boot.42	0.9999999999999969	0.994	0.259	25.9%	0.042	10.692%	0.16373	0.994
OGG1_boot.43	0.9999999999999968	0.992	0.296	29.6%	0.053	12.998%	0.16357	0.992
OGG1_boot.44	0.9999999999999964	0.996	0.227	22.7%	0.042	10.103%	0.1358	0.996
OGG1_boot.45	0.9999999999999969	0.994	0.278	27.8%	0.043	10.656%	0.18122	0.994
OGG1_boot.46	0.9999999999999967	0.993	0.273	27.3%	0.043	11.282%	0.15555	0.993
OGG1_boot.47	0.9999999999999977	0.995	0.217	21.7%	0.039	9.878%	0.10792	0.995
OGG1_boot.48	0.9999999999999978	0.996	0.22	22.0%	0.034	8.731%	0.10183	0.996
