Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
OGG1_boot	3.82E-02	1.70E-02	9.33E-02	2.32E-02	7.85E-02	2.53E-02	1.34E-01	0.00E+00
OGG1_boot.1	0.00E+00	4.33E-03	5.36E-02	5.69E-02	9.88E-02	1.41E-02	1.00E-01	0.00E+00
OGG1_boot.2	0.00E+00	1.41E-03	4.77E-02	5.79E-02	9.42E-02	1.39E-02	1.00E-01	0.00E+00
OGG1_boot.3	3.65E-02	1.76E-02	8.78E-02	2.70E-02	7.92E-02	2.69E-02	1.22E-01	7.49E-123
OGG1_boot.4	2.94E-03	2.96E-03	4.55E-02	6.43E-02	9.02E-02	2.58E-02	9.45E-02	6.35E-64
OGG1_boot.5	0.00E+00	2.97E-03	4.83E-02	5.43E-02	9.50E-02	1.07E-02	9.97E-02	0.00E+00
OGG1_boot.6	0.00E+00	3.61E-03	5.05E-02	5.77E-02	9.19E-02	1.54E-02	9.39E-02	0.00E+00
OGG1_boot.7	0.00E+00	3.06E-03	4.84E-02	5.70E-02	9.32E-02	1.43E-02	9.76E-02	0.00E+00
OGG1_boot.8	0.00E+00	4.31E-03	4.73E-02	5.93E-02	9.24E-02	1.66E-02	9.78E-02	0.00E+00
OGG1_boot.9	1.54E-136	4.22E-03	5.01E-02	6.24E-02	9.13E-02	2.18E-02	9.49E-02	3.06E-162
OGG1_boot.10	0.00E+00	0.00E+00	5.04E-02	5.81E-02	9.67E-02	1.43E-02	1.03E-01	0.00E+00
OGG1_boot.11	3.67E-02	1.55E-02	8.18E-02	2.82E-02	7.68E-02	2.68E-02	1.15E-01	1.58E-58
OGG1_boot.12	3.75E-02	1.69E-02	8.71E-02	2.53E-02	7.75E-02	2.62E-02	1.22E-01	0.00E+00
OGG1_boot.13	0.00E+00	2.66E-03	5.10E-02	5.76E-02	9.57E-02	1.46E-02	9.82E-02	0.00E+00
OGG1_boot.14	3.88E-02	1.78E-02	6.95E-02	2.63E-02	7.53E-02	2.71E-02	9.98E-02	2.95E-31
OGG1_boot.15	3.87E-02	1.84E-02	7.64E-02	2.72E-02	7.38E-02	2.81E-02	1.09E-01	2.07E-03
OGG1_boot.16	3.86E-02	1.58E-02	8.25E-02	2.31E-02	7.98E-02	2.44E-02	1.22E-01	0.00E+00
OGG1_boot.17	3.83E-02	1.85E-02	8.43E-02	2.66E-02	7.79E-02	2.79E-02	1.19E-01	3.42E-124
