NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.517	51.715	0.082	40.508	24.565	0.853	15000.0
2	0.603	60.288	0.099	49.059	5.479	0.829	15000.0
3	0.626	62.57	0.103	49.142	7.936	0.803	25000.0
4	0.583	58.329	0.092	45.927	34.836	0.831	15000.0
5	0.631	63.109	0.103	53.659	36.362	0.817	15000.0
6	0.6	60.044	0.099	51.654	52.93	0.826	15000.0
7	0.666	66.64	0.121	63.473	25.639	0.807	15000.0
8	0.623	62.342	0.106	56.504	24.687	0.822	15000.0
9	0.654	65.431	0.114	59.358	4.95	0.806	15000.0
10	0.629	62.894	0.107	55.385	42.916	0.835	15000.0
