	0	1	2	3	4	5	6	7	8	9
0	[284.1779185809899, 8.161623580716768, 2760.162950002731, 0.25, 0.0]	[284.12265364324804, 8.154201458727696, 2759.6845218452036, 0.2524999976158142, 0.0]	[284.1705956741856, 8.154324743881437, 2760.162709303042, 0.2516666650772095, 0.0]	[284.11611498695294, 8.150495013435725, 2759.6561997351723, 0.25083333253860474, 0.0]	[284.14475133889397, 8.159286926127965, 2759.85464412766, 0.24666666984558105, 0.0]	[284.1180126196245, 8.15243471340329, 2759.655779062212, 0.2516666650772095, 0.0]	[284.12365732015587, 8.15163803221306, 2759.7201928794284, 0.25083333253860474, 0.0]	[284.1227851535766, 8.157424753635032, 2759.6536039994157, 0.25, 0.0]	[284.1779473644401, 8.14972681958985, 2760.2822054485027, 0.2316666692495346, 0.0]	[284.10890919176165, 8.155520157843698, 2759.5338903391794, 0.25, 0.0]
100	[57.56477769849479, 7.315889164044075, 502.4888853445071, 0.9524999856948853, 0.0]	[34.6123935214424, 4.982831647744396, 296.29561873698003, 0.9583333134651184, 0.0]	[36.02180152723986, 5.214196442097592, 308.0760508514227, 0.9750000238418579, 0.0]	[30.858261619504525, 6.501903480533933, 243.56358138970592, 0.9816666841506958, 0.0]	[50.26767654722303, 5.578684388678425, 446.889921585446, 0.9333333373069763, 0.0]	[39.232730757625276, 9.173209655291478, 300.595211023338, 0.9466666579246521, 0.0]	[27.219663573661933, 9.877044457804827, 173.42619115857107, 0.9674999713897705, 0.0]	[20.797963044569045, 8.540748359557453, 122.57214685011591, 0.9825000166893005, 0.0]	[36.65460477185497, 8.829192980885068, 278.254117909699, 0.9725000262260437, 0.0]	[36.227588813738855, 7.92654493728169, 283.01043876457163, 0.9058333039283752, 0.0]
200	[30.878609998189482, 4.377354193382203, 265.0125580480728, 0.971666693687439, 0.0]	[18.566236560512422, 4.985263699233672, 135.80972861278752, 0.9908333420753479, 0.0]	[41.60483702876795, 5.905078923709651, 356.997581050583, 0.9725000262260437, 0.0]	[22.940190063194315, 5.449476813997832, 174.9071324919648, 0.987500011920929, 0.0]	[31.319990610029286, 5.819856545621223, 255.00134064408064, 0.971666693687439, 0.0]	[25.164303550644146, 7.860422699317997, 173.03880851326147, 0.9750000238418579, 0.0]	[26.18644836684139, 8.374624248534975, 178.11824118306416, 0.9916666746139526, 0.0]	[15.185472401491774, 7.329832837586579, 78.55639563905194, 0.9850000143051147, 0.0]	[23.99136025594729, 7.357565079352615, 166.33795176594674, 0.98416668176651, 0.0]	[26.624175395959476, 6.297349475691381, 203.26825920268095, 0.98416668176651, 0.0]
300	[27.530377626833378, 4.191682472967438, 233.3869515386594, 0.9808333516120911, 0.0]	[13.584750318713205, 5.274449390234099, 83.10300928479106, 0.9941666722297668, 0.0]	[28.834753517596248, 5.156551581928661, 236.78201935667587, 0.98416668176651, 0.0]	[17.683155675627994, 4.962443509755743, 127.20712165872251, 0.9991666674613953, 0.0]	[24.032381123839645, 5.724526926078063, 183.0785419776158, 0.9916666746139526, 0.0]	[30.482697277922888, 6.544226008542313, 239.38471269380574, 0.971666693687439, 0.0]	[21.58768802806228, 8.067199928597459, 135.20488099464822, 0.9933333396911621, 0.0]	[22.346515641040874, 6.177832269176488, 161.68683371864387, 0.9891666769981384, 0.0]	[25.906026375145217, 6.545391309538116, 193.60635065607096, 0.9941666722297668, 0.0]	[22.982277473497376, 7.006088831568848, 159.7618864192853, 0.987500011920929, 0.0]
400	[24.883737160214526, 4.325580742863553, 205.58156417350972, 0.987500011920929, 0.0]	[16.281249491474853, 5.433516190356855, 108.47733301117995, 0.9950000047683716, 0.0]	[25.50754520876195, 4.436614665159941, 210.7093054360201, 0.9850000143051147, 0.0]	[15.225952021278577, 4.605024424333462, 106.20927596945116, 0.9941666722297668, 0.0]	[21.00069639888936, 5.411216709146272, 155.8947968974309, 0.9950000047683716, 0.0]	[16.17094786541707, 5.137080514622171, 110.33867350794897, 0.9925000071525574, 0.0]	[17.741085627209294, 7.84103275289867, 99.00052874310622, 0.996666669845581, 0.0]	[14.850283625231985, 6.2156789611158105, 86.34604664116173, 0.9958333373069763, 0.0]	[24.891688174090113, 7.911736457809551, 169.79951716280564, 0.9908333420753479, 0.0]	[16.928088387642777, 6.5207744814959, 104.07313906146877, 0.996666669845581, 0.0]
500	[20.035473105567036, 3.6673507894954076, 163.68122316071626, 0.9958333373069763, 0.0]	[12.064664175961074, 6.041139857838992, 60.235243181220824, 0.9983333349227905, 0.0]	[24.590246847841637, 4.658799795568714, 199.3144705227292, 0.9850000143051147, 0.0]	[14.412636343090043, 4.331044514293824, 100.81591828796218, 0.9908333420753479, 0.0]	[22.17939226573491, 5.381549944822843, 167.97842320912068, 0.9933333396911621, 0.0]	[14.292947648358547, 4.7403173135393395, 95.52630334819207, 0.9958333373069763, 0.0]	[16.88963039930893, 6.890460963563789, 99.99169435745142, 0.996666669845581, 0.0]	[11.285403451574826, 6.034439480196019, 52.509639713788076, 0.996666669845581, 0.0]	[19.414288686623127, 7.930349102100661, 114.83939584522466, 0.9925000071525574, 0.0]	[11.895781643737376, 6.366658425093213, 55.29123218644162, 0.9975000023841858, 0.0]
600	[17.453475953566645, 3.475013020539549, 139.78462933027097, 0.9950000047683716, 0.0]	[11.334757121555755, 5.757216650074101, 55.775404714816545, 0.9975000023841858, 0.0]	[24.1052486727476, 4.750232494264748, 193.5501617848285, 0.9900000095367432, 0.0]	[14.976358039578134, 4.291361998724778, 106.84996040853356, 0.9908333420753479, 0.0]	[16.280810176447357, 4.88329787360142, 113.97512302845936, 0.9950000047683716, 0.0]	[13.038083615854902, 4.869471951480963, 81.6861166437394, 0.9958333373069763, 0.0]	[20.938079144219593, 7.485585932974481, 134.5249321124511, 0.996666669845581, 0.0]	[10.838132210690897, 6.002764367966143, 48.353678427247544, 0.9975000023841858, 0.0]	[20.8900533263512, 8.111337490569591, 127.78715835781608, 0.9916666746139526, 0.0]	[10.547721350860604, 5.779257991878148, 47.68463358982456, 0.9958333373069763, 0.0]
700	[18.12108152693925, 3.745570711193812, 143.75510815745434, 0.9933333396911621, 0.0]	[11.313405260501167, 6.1182611556387885, 51.951441048623785, 0.9991666674613953, 0.0]	[17.548155448317388, 4.44605376650456, 131.02101681812826, 0.9958333373069763, 0.0]	[13.540832286933664, 4.338315823315532, 92.02516463618133, 0.9900000095367432, 0.0]	[16.2880025869272, 4.535689228667906, 117.52313358259293, 0.9941666722297668, 0.0]	[13.057146709776275, 4.316766736019851, 87.40379973756424, 0.996666669845581, 0.0]	[15.029769094685799, 6.336514178186219, 86.93254916499579, 0.996666669845581, 0.0]	[12.046618110599365, 6.0516404586531705, 59.94977651946194, 0.9958333373069763, 0.0]	[18.13123590990535, 7.375734206118196, 107.55501703787155, 0.9933333396911621, 0.0]	[10.760268860026475, 5.55591932577717, 52.04349534249304, 0.9933333396911621, 0.0]
800	[15.522101160973088, 3.64774181259517, 118.74359348377918, 0.996666669845581, 0.0]	[10.618653666351243, 5.9781449097451755, 46.40508756606066, 0.9991666674613953, 0.0]	[15.162449024758718, 4.244773815052603, 109.17675209706115, 0.9975000023841858, 0.0]	[22.492927134722525, 5.042238856967946, 174.5068827775458, 0.9958333373069763, 0.0]	[14.089589342914781, 4.566581545743408, 95.23007797171374, 0.996666669845581, 0.0]	[14.043807603304977, 4.315520524885168, 97.28287078419808, 0.9958333373069763, 0.0]	[16.750412754844973, 6.682910200104728, 100.67502554740244, 0.9950000047683716, 0.0]	[11.518263062416928, 6.144571596705232, 53.73691465711696, 0.996666669845581, 0.0]	[16.940657524639093, 7.064608808613485, 98.76048716025605, 0.9941666722297668, 0.0]	[8.151767151661364, 5.182617678020205, 29.6914947364116, 0.9991666674613953, 0.0]
900	[11.636469616566483, 3.2791279999490928, 83.5734161661739, 0.9983333349227905, 0.0]	[10.417621891470652, 5.986583107011591, 44.31038784459062, 1.0, 0.0]	[13.491894722177602, 4.2709014762556805, 92.2099324592192, 1.0, 0.0]	[10.199496390796806, 4.279263868279055, 59.20232522517752, 0.9983333349227905, 0.0]	[11.910385962319483, 4.470368790713346, 74.40017171606137, 0.996666669845581, 0.0]	[8.334468312645688, 3.9934292762603616, 43.41039036385326, 0.996666669845581, 0.0]	[17.437298265406817, 5.97560927822816, 114.61688987178657, 0.9958333373069763, 0.0]	[16.753609901505897, 6.139649982864738, 106.13959918641157, 0.9975000023841858, 0.0]	[18.606439620064112, 7.720753874376397, 108.85685745687714, 0.9950000047683716, 0.0]	[8.765999320328945, 4.807958581982302, 39.58040738346642, 0.9975000023841858, 0.0]
