Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
OGG1_boot	9.45E-02	5.99E-03	1.08E-02	3.96E-02	5.21E-02	2.25E-02	1.64E-01	4.90E-02	0.00E+00
OGG1_boot.1	1.90E-02	6.60E-03	2.10E-02	9.39E-02	1.46E-02	0.00E+00	8.12E-02	0.00E+00	0.00E+00
OGG1_boot.2	1.86E-02	4.53E-03	2.52E-02	9.04E-02	1.30E-02	0.00E+00	7.90E-02	0.00E+00	3.32E-03
OGG1_boot.3	9.32E-02	7.70E-03	1.36E-02	4.42E-02	4.85E-02	3.00E-02	1.61E-01	5.26E-02	0.00E+00
OGG1_boot.4	2.30E-02	6.23E-03	3.10E-02	8.99E-02	1.28E-02	1.97E-03	8.01E-02	1.28E-133	1.29E-02
OGG1_boot.5	1.87E-02	6.01E-03	1.54E-02	8.98E-02	1.33E-02	0.00E+00	7.85E-02	0.00E+00	5.60E-12
OGG1_boot.6	2.05E-02	6.36E-03	2.31E-02	9.02E-02	1.30E-02	0.00E+00	7.79E-02	0.00E+00	3.73E-03
OGG1_boot.7	1.96E-02	5.96E-03	2.21E-02	8.96E-02	1.30E-02	0.00E+00	7.83E-02	0.00E+00	2.74E-03
OGG1_boot.8	1.97E-02	6.61E-03	2.48E-02	9.02E-02	1.25E-02	0.00E+00	7.83E-02	0.00E+00	7.19E-03
OGG1_boot.9	2.25E-02	6.86E-03	2.88E-02	9.02E-02	1.27E-02	0.00E+00	7.97E-02	0.00E+00	1.02E-02
OGG1_boot.10	1.92E-02	0.00E+00	1.98E-02	9.27E-02	1.35E-02	0.00E+00	8.24E-02	0.00E+00	2.05E-04
OGG1_boot.11	9.24E-02	6.96E-03	1.38E-02	4.69E-02	4.62E-02	3.05E-02	1.58E-01	5.29E-02	0.00E+00
OGG1_boot.12	9.35E-02	7.38E-03	1.26E-02	4.23E-02	4.94E-02	2.70E-02	1.60E-01	5.06E-02	0.00E+00
OGG1_boot.13	1.95E-02	5.65E-03	2.41E-02	9.19E-02	1.39E-02	0.00E+00	7.98E-02	0.00E+00	3.28E-04
OGG1_boot.14	9.31E-02	9.73E-03	1.47E-02	4.63E-02	4.61E-02	2.93E-02	1.56E-01	5.32E-02	0.00E+00
OGG1_boot.15	9.23E-02	1.05E-02	1.63E-02	4.84E-02	4.45E-02	3.00E-02	1.54E-01	5.41E-02	0.00E+00
OGG1_boot.16	9.48E-02	6.16E-03	1.04E-02	3.90E-02	5.23E-02	2.19E-02	1.65E-01	4.91E-02	0.00E+00
OGG1_boot.17	9.37E-02	1.00E-02	1.52E-02	4.57E-02	4.79E-02	2.96E-02	1.61E-01	5.60E-02	0.00E+00
OGG1_boot.18	9.23E-02	8.72E-03	1.42E-02	4.27E-02	4.65E-02	3.06E-02	1.60E-01	5.40E-02	0.00E+00
OGG1_boot.19	2.32E-02	5.69E-03	2.69E-02	8.96E-02	1.24E-02	2.86E-117	8.03E-02	1.55E-136	1.20E-02
OGG1_boot.20	9.36E-02	8.44E-03	1.41E-02	4.53E-02	4.74E-02	2.82E-02	1.58E-01	5.28E-02	0.00E+00
OGG1_boot.21	1.79E-02	4.01E-03	2.13E-02	8.93E-02	1.31E-02	0.00E+00	7.78E-02	0.00E+00	1.84E-04
OGG1_boot.22	2.40E-02	8.59E-03	3.01E-02	9.00E-02	1.24E-02	6.76E-100	8.01E-02	1.88E-148	1.32E-02
OGG1_boot.23	9.41E-02	8.02E-03	1.34E-02	4.37E-02	4.90E-02	2.81E-02	1.61E-01	5.27E-02	0.00E+00
OGG1_boot.24	9.46E-02	1.31E-02	1.61E-02	4.58E-02	4.63E-02	2.65E-02	1.54E-01	5.35E-02	0.00E+00
OGG1_boot.25	2.10E-02	8.50E-03	2.67E-02	8.96E-02	1.26E-02	0.00E+00	7.85E-02	0.00E+00	8.52E-03
OGG1_boot.26	2.10E-02	7.50E-03	2.87E-02	8.88E-02	1.26E-02	4.71E-79	7.85E-02	0.00E+00	9.28E-03
OGG1_boot.27	1.92E-02	3.30E-03	2.20E-02	9.28E-02	1.38E-02	0.00E+00	8.29E-02	0.00E+00	1.64E-03
OGG1_boot.28	2.11E-02	5.50E-03	2.46E-02	8.74E-02	1.20E-02	0.00E+00	7.58E-02	0.00E+00	7.65E-03
OGG1_boot.29	9.36E-02	7.89E-03	1.33E-02	4.33E-02	4.93E-02	2.74E-02	1.60E-01	5.14E-02	0.00E+00
OGG1_boot.30	1.64E-02	6.06E-03	2.35E-02	9.20E-02	1.43E-02	0.00E+00	7.96E-02	0.00E+00	0.00E+00
OGG1_boot.31	9.43E-02	5.46E-03	1.18E-02	4.29E-02	5.01E-02	2.80E-02	1.64E-01	5.20E-02	0.00E+00
OGG1_boot.32	2.17E-02	3.66E-03	2.65E-02	9.09E-02	1.32E-02	0.00E+00	8.19E-02	0.00E+00	5.38E-03
OGG1_boot.33	9.36E-02	6.99E-03	1.35E-02	4.49E-02	4.85E-02	2.91E-02	1.61E-01	5.22E-02	0.00E+00
