Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
OGG1_boot	6.97E-03	0.00E+00	2.56E-01	1.22E-01	1.47E-01	1.10E-01	9.94E-03	1.19E-01	1.19E-01
OGG1_boot.1	6.37E-02	0.00E+00	1.32E-01	9.14E-02	1.42E-01	9.94E-02	9.21E-02	1.27E-01	1.13E-01
OGG1_boot.2	5.78E-02	5.53E-03	1.32E-01	9.20E-02	1.36E-01	9.85E-02	8.82E-02	1.30E-01	1.14E-01
OGG1_boot.3	1.46E-02	5.42E-115	2.50E-01	1.24E-01	1.43E-01	1.02E-01	1.29E-02	1.16E-01	1.15E-01
OGG1_boot.4	6.29E-02	2.16E-02	1.24E-01	9.18E-02	1.28E-01	8.27E-02	9.07E-02	1.16E-01	1.00E-01
OGG1_boot.5	6.85E-02	9.34E-12	1.32E-01	8.98E-02	1.38E-01	1.02E-01	8.75E-02	1.31E-01	1.14E-01
OGG1_boot.6	6.28E-02	6.22E-03	1.27E-01	8.95E-02	1.34E-01	9.32E-02	8.67E-02	1.20E-01	1.07E-01
OGG1_boot.7	6.20E-02	4.56E-03	1.28E-01	9.00E-02	1.35E-01	9.56E-02	8.75E-02	1.25E-01	1.10E-01
OGG1_boot.8	6.17E-02	1.20E-02	1.28E-01	9.10E-02	1.34E-01	9.30E-02	8.75E-02	1.24E-01	1.08E-01
OGG1_boot.9	6.32E-02	1.69E-02	1.23E-01	9.02E-02	1.29E-01	8.36E-02	9.01E-02	1.13E-01	9.94E-02
OGG1_boot.10	6.67E-02	3.41E-04	1.35E-01	9.32E-02	1.41E-01	1.01E-01	9.31E-02	1.34E-01	1.16E-01
OGG1_boot.11	2.35E-02	9.97E-31	2.44E-01	1.15E-01	1.37E-01	9.18E-02	1.16E-02	1.12E-01	1.08E-01
OGG1_boot.12	1.41E-02	0.00E+00	2.49E-01	1.22E-01	1.43E-01	1.03E-01	1.24E-02	1.17E-01	1.14E-01
OGG1_boot.13	6.00E-02	5.47E-04	1.29E-01	9.08E-02	1.38E-01	9.61E-02	9.06E-02	1.23E-01	1.10E-01
OGG1_boot.14	2.34E-02	2.43E-130	2.42E-01	1.19E-01	1.34E-01	9.18E-02	1.59E-02	1.13E-01	1.05E-01
