NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.658	65.844	0.122	64.15	3.736	0.81	15000.0
2	0.611	61.092	0.103	53.181	19.878	0.822	20000.0
3	0.509	50.922	0.078	38.965	107.85	0.861	25000.0
4	0.51	50.968	0.079	38.795	59.49	0.861	15000.0
5	0.518	51.768	0.082	40.758	2.041	0.856	45000.0
6	0.523	52.265	0.085	42.487	27.117	0.856	15000.0
7	0.568	56.805	0.092	46.058	14.281	0.838	15000.0
8	0.516	51.616	0.085	42.468	18.789	0.861	30000.0
9	0.573	57.256	0.092	47.489	11.192	0.836	15000.0
10	0.58	57.955	0.092	47.108	28.627	0.844	25000.0
