Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999963	0.971	0.439	43.9%	0.128	30.033%	0.19175	0.971
OGG1_boot.1	0.9999999999999964	0.981	0.401	40.1%	0.11	26.248%	0.18552	0.981
OGG1_boot.2	0.9999999999999964	0.985	0.416	41.6%	0.103	24.644%	0.19838	0.986
OGG1_boot.3	0.999999999999997	0.988	0.41	41.0%	0.094	22.841%	0.19761	0.989
OGG1_boot.4	0.9999999999999968	0.989	0.316	31.6%	0.07	18.249%	0.14967	0.989
OGG1_boot.5	0.9999999999999962	0.981	0.423	42.3%	0.112	26.576%	0.18803	0.981
OGG1_boot.6	0.9999999999999967	0.984	0.369	36.9%	0.089	22.385%	0.16402	0.984
OGG1_boot.7	0.9999999999999969	0.984	0.399	39.9%	0.095	23.418%	0.2049	0.984
OGG1_boot.8	0.9999999999999968	0.98	0.421	42.1%	0.101	24.847%	0.22388	0.98
OGG1_boot.9	0.9999999999999969	0.99	0.372	37.2%	0.066	17.423%	0.19646	0.989
OGG1_boot.10	0.9999999999999967	0.987	0.358	35.8%	0.111	25.865%	0.16519	0.988
OGG1_boot.11	0.9999999999999967	0.993	0.316	31.6%	0.07	17.807%	0.1544	0.994
OGG1_boot.12	0.9999999999999967	0.986	0.382	38.2%	0.093	22.861%	0.18236	0.987
OGG1_boot.13	0.9999999999999964	0.983	0.389	38.9%	0.098	24.053%	0.17886	0.983
OGG1_boot.14	0.999999999999997	0.992	0.325	32.5%	0.066	17.201%	0.1731	0.992
OGG1_boot.15	0.9999999999999973	0.992	0.323	32.3%	0.059	15.742%	0.16877	0.992
OGG1_boot.16	0.9999999999999962	0.977	0.419	41.9%	0.123	28.663%	0.19161	0.977
OGG1_boot.17	0.9999999999999969	0.985	0.408	40.8%	0.092	22.784%	0.20059	0.986
OGG1_boot.18	0.999999999999997	0.991	0.353	35.3%	0.079	19.765%	0.18166	0.992
OGG1_boot.19	0.999999999999997	0.992	0.319	31.9%	0.066	17.159%	0.15747	0.992
OGG1_boot.20	0.9999999999999966	0.99	0.357	35.7%	0.078	19.785%	0.1647	0.99
OGG1_boot.21	0.9999999999999964	0.981	0.426	42.6%	0.11	26.23%	0.20772	0.982
OGG1_boot.22	0.999999999999997	0.991	0.326	32.6%	0.061	16.289%	0.16862	0.99
OGG1_boot.23	0.9999999999999962	0.986	0.368	36.8%	0.092	22.716%	0.1735	0.986
OGG1_boot.24	0.9999999999999966	0.984	0.386	38.6%	0.073	19.55%	0.19463	0.983
OGG1_boot.25	0.9999999999999969	0.987	0.395	39.5%	0.079	20.256%	0.20715	0.987
OGG1_boot.26	0.9999999999999964	0.983	0.395	39.5%	0.087	22.156%	0.19076	0.983
OGG1_boot.27	0.9999999999999968	0.989	0.345	34.5%	0.105	24.622%	0.17639	0.991
OGG1_boot.28	0.9999999999999967	0.98	0.411	41.1%	0.094	23.763%	0.19823	0.979
OGG1_boot.29	0.9999999999999967	0.985	0.408	40.8%	0.093	22.972%	0.19026	0.985
OGG1_boot.30	0.9999999999999964	0.981	0.412	41.2%	0.12	27.781%	0.17656	0.982
OGG1_boot.31	0.9999999999999968	0.986	0.396	39.6%	0.101	24.202%	0.18511	0.987
OGG1_boot.32	0.9999999999999967	0.991	0.359	35.9%	0.076	19.292%	0.16165	0.991
OGG1_boot.33	0.9999999999999968	0.988	0.405	40.5%	0.093	22.726%	0.18337	0.988
OGG1_boot.34	0.9999999999999969	0.987	0.385	38.5%	0.081	20.596%	0.1937	0.987
OGG1_boot.35	0.9999999999999968	0.988	0.38	38.0%	0.079	20.125%	0.19041	0.988
OGG1_boot.36	0.9999999999999969	0.988	0.364	36.4%	0.089	22.004%	0.1675	0.988
OGG1_boot.37	0.9999999999999967	0.99	0.353	35.3%	0.086	21.211%	0.20098	0.991
OGG1_boot.38	0.9999999999999961	0.984	0.382	38.2%	0.105	25.185%	0.17752	0.984
OGG1_boot.39	0.999999999999997	0.989	0.393	39.3%	0.089	21.872%	0.20292	0.99
OGG1_boot.40	0.9999999999999966	0.985	0.371	37.1%	0.093	23.022%	0.17723	0.985
OGG1_boot.41	0.9999999999999964	0.985	0.403	40.3%	0.096	23.433%	0.17675	0.986
OGG1_boot.42	0.9999999999999969	0.989	0.373	37.3%	0.078	19.856%	0.18425	0.989
OGG1_boot.43	0.9999999999999968	0.986	0.396	39.6%	0.094	23.053%	0.1928	0.987
OGG1_boot.44	0.9999999999999964	0.99	0.311	31.1%	0.095	22.852%	0.15595	0.991
OGG1_boot.45	0.9999999999999969	0.986	0.384	38.4%	0.09	22.303%	0.20351	0.987
OGG1_boot.46	0.9999999999999967	0.989	0.35	35.0%	0.07	18.365%	0.17474	0.988
OGG1_boot.47	0.9999999999999977	0.99	0.327	32.7%	0.077	19.503%	0.13322	0.99
OGG1_boot.48	0.9999999999999978	0.989	0.292	29.2%	0.076	19.517%	0.116	0.989
OGG1_boot.49	0.999999999999998	0.992	0.291	29.1%	0.062	16.377%	0.12491	0.992
OGG1_boot.50	0.9999999999999978	0.985	0.363	36.3%	0.096	23.482%	0.1457	0.985
OGG1_boot.51	0.9999999999999977	0.986	0.36	36.0%	0.101	24.286%	0.13633	0.987
OGG1_boot.52	0.9999999999999978	0.983	0.408	40.8%	0.105	25.253%	0.16122	0.984
OGG1_boot.53	0.999999999999998	0.991	0.293	29.3%	0.067	17.436%	0.12874	0.991
OGG1_boot.54	0.9999999999999978	0.992	0.322	32.2%	0.078	19.559%	0.13698	0.992
OGG1_boot.55	0.9999999999999981	0.987	0.331	33.1%	0.076	19.744%	0.1431	0.986
OGG1_boot.56	0.999999999999998	0.986	0.386	38.6%	0.087	21.779%	0.15572	0.986
OGG1_boot.57	0.9999999999999976	0.99	0.318	31.8%	0.084	20.793%	0.12107	0.991
OGG1_boot.58	0.9999999999999981	0.985	0.357	35.7%	0.095	23.351%	0.14006	0.985
OGG1_boot.59	0.9999999999999978	0.99	0.324	32.4%	0.078	19.695%	0.13556	0.991
OGG1_boot.60	0.9999999999999982	0.991	0.283	28.3%	0.063	16.628%	0.13261	0.991
OGG1_boot.61	0.9999999999999978	0.992	0.301	30.1%	0.071	18.12%	0.13492	0.992
OGG1_boot.62	0.9999999999999981	0.991	0.31	31.0%	0.063	16.677%	0.12577	0.991
OGG1_boot.63	0.9999999999999973	0.987	0.358	35.8%	0.084	21.196%	0.15102	0.987
OGG1_boot.64	0.999999999999998	0.987	0.325	32.5%	0.086	21.454%	0.12988	0.988
OGG1_boot.65	0.9999999999999984	0.989	0.334	33.4%	0.07	18.358%	0.14077	0.988
OGG1_boot.66	0.999999999999998	0.984	0.374	37.4%	0.091	22.709%	0.1571	0.984
OGG1_boot.67	0.9999999999999977	0.984	0.371	37.1%	0.095	23.409%	0.14187	0.985
OGG1_boot.68	0.9999999999999982	0.983	0.342	34.2%	0.084	21.727%	0.1234	0.982
OGG1_boot.69	0.9999999999999976	0.988	0.333	33.3%	0.082	20.621%	0.12204	0.989
OGG1_boot.70	0.9999999999999976	0.988	0.294	29.4%	0.082	20.697%	0.11656	0.988
OGG1_boot.71	0.9999999999999977	0.991	0.305	30.5%	0.077	19.426%	0.1087	0.992
OGG1_boot.72	0.9999999999999978	0.99	0.337	33.7%	0.072	18.603%	0.13487	0.99
OGG1_boot.73	0.9999999999999976	0.988	0.337	33.7%	0.083	20.819%	0.13385	0.989
OGG1_boot.74	0.9999999999999981	0.983	0.353	35.3%	0.083	21.431%	0.15048	0.983
OGG1_boot.75	0.9999999999999974	0.989	0.324	32.4%	0.082	20.6%	0.13754	0.989
