	0	1	2	3	4	5	6	7	8	9
0	[8.157032216692793, 8.157032216692793, 2760.007147420265, 0.2475000023841858, 0.0]	[8.159498922668632, 8.159498922668632, 2760.1670853734718, 0.25, 0.0]	[8.154433279840834, 8.154433279840834, 2759.627669689223, 0.25, 0.0]	[8.154793259174417, 8.154793259174417, 2759.901131894244, 0.24166665971279144, 0.0]	[8.153986802349944, 8.153986802349944, 2759.707518230416, 0.2433333396911621, 0.0]	[8.154622213574529, 8.154622213574529, 2759.860560131541, 0.25, 0.0]	[8.154634764003884, 8.154634764003884, 2759.9689412812813, 0.24666666984558105, 0.0]	[8.16028842519365, 8.16028842519365, 2759.88235106415, 0.25083333253860474, 0.0]	[8.160800946308719, 8.160800946308719, 2760.0129373726804, 0.24916666746139526, 0.0]	[8.157945781076425, 8.157945781076425, 2759.72743560026, 0.24916666746139526, 0.0]
100	[2.1042658219055648, 2.1042658219055648, 2038.3724863021898, 0.4000000059604645, 0.0]	[2.1190041679455405, 2.1190041679455405, 2075.4601341307502, 0.3725000023841858, 0.0]	[2.064402169772121, 2.064402169772121, 1939.290921393526, 0.41583332419395447, 0.0]	[1.9942440267080006, 1.9942440267080006, 2031.2310716364216, 0.4050000011920929, 0.0]	[2.0638822353326343, 2.0638822353326343, 2064.3520674983347, 0.36916667222976685, 0.0]	[2.1220426713123914, 2.1220426713123914, 2000.0999776535855, 0.3933333456516266, 0.0]	[2.012197959297183, 2.012197959297183, 2010.5554707944098, 0.3908333480358124, 0.0]	[2.0782115876805087, 2.0782115876805087, 2044.0954519881448, 0.375, 0.0]	[2.0794894982325562, 2.0794894982325562, 2003.801116095658, 0.40416666865348816, 0.0]	[2.059027685186342, 2.059027685186342, 2020.4872733788607, 0.38999998569488525, 0.0]
200	[2.064787234806365, 2.064787234806365, 1954.90496186036, 0.40166667103767395, 0.0]	[2.0747044589092205, 2.0747044589092205, 2003.6658120198178, 0.39250001311302185, 0.0]	[2.0367885744593712, 2.0367885744593712, 1839.0114906578387, 0.4449999928474426, 0.0]	[1.9784926543240788, 1.9784926543240788, 1965.8533473033199, 0.4091666638851166, 0.0]	[1.9799592157864359, 1.9799592157864359, 1967.9647008645193, 0.4000000059604645, 0.0]	[2.078015955224406, 2.078015955224406, 1919.593788895072, 0.41333332657814026, 0.0]	[1.9884166572069188, 1.9884166572069188, 1954.7412374020269, 0.4050000011920929, 0.0]	[2.0517394953304113, 2.0517394953304113, 1961.7537676393672, 0.4025000035762787, 0.0]	[2.0403833989860134, 2.0403833989860134, 1949.8827602040635, 0.4099999964237213, 0.0]	[2.041988467904521, 2.041988467904521, 1937.771469578221, 0.4116666615009308, 0.0]
300	[2.0537693046824157, 2.0537693046824157, 1919.2202444940215, 0.4124999940395355, 0.0]	[2.0538791353902757, 2.0538791353902757, 1969.7141076303997, 0.3941666781902313, 0.0]	[2.0288374829008617, 2.0288374829008617, 1820.6806079374255, 0.4466666579246521, 0.0]	[1.9752793053931883, 1.9752793053931883, 1948.4463519948683, 0.40166667103767395, 0.0]	[1.9729507861548663, 1.9729507861548663, 1948.81126759577, 0.4000000059604645, 0.0]	[2.062247861264272, 2.062247861264272, 1882.6006214210786, 0.4233333468437195, 0.0]	[1.9823245614901006, 1.9823245614901006, 1940.9451258756053, 0.4025000035762787, 0.0]	[2.046846322618668, 2.046846322618668, 1927.3647571852007, 0.40583333373069763, 0.0]	[2.0322319699072176, 2.0322319699072176, 1939.289125438705, 0.40833333134651184, 0.0]	[2.031165230786532, 2.031165230786532, 1917.1097830755202, 0.41333332657814026, 0.0]
400	[2.048320675231643, 2.048320675231643, 1901.3795165498168, 0.4091666638851166, 0.0]	[2.044720871370389, 2.044720871370389, 1954.8992731916821, 0.4050000011920929, 0.0]	[2.024719731498499, 2.024719731498499, 1826.89189906697, 0.43416666984558105, 0.0]	[1.97343925250518, 1.97343925250518, 1939.5097787287928, 0.39750000834465027, 0.0]	[1.9711653021448254, 1.9711653021448254, 1941.150062515479, 0.398333340883255, 0.0]	[2.0569265015522045, 2.0569265015522045, 1872.785586038371, 0.4266666769981384, 0.0]	[1.9787235730069201, 1.9787235730069201, 1936.0310167698683, 0.4008333384990692, 0.0]	[2.0435093038928382, 2.0435093038928382, 1905.7863675446017, 0.4033333361148834, 0.0]	[2.0276952292205173, 2.0276952292205173, 1933.17348999345, 0.4091666638851166, 0.0]	[2.0251100112602423, 2.0251100112602423, 1908.4091236922316, 0.41749998927116394, 0.0]
500	[2.0451360008644817, 2.0451360008644817, 1892.9996847283282, 0.41083332896232605, 0.0]	[2.0389957633931144, 2.0389957633931144, 1951.124298803279, 0.4050000011920929, 0.0]	[2.021421472589729, 2.021421472589729, 1845.606697413189, 0.4308333396911621, 0.0]	[1.9724964885531224, 1.9724964885531224, 1934.286621754822, 0.3958333432674408, 0.0]	[1.9703010738794313, 1.9703010738794313, 1936.4745001164583, 0.4008333384990692, 0.0]	[2.0540362643728582, 2.0540362643728582, 1868.0323457136415, 0.4241666793823242, 0.0]	[1.976556125621039, 1.976556125621039, 1932.688903990472, 0.4000000059604645, 0.0]	[2.0408686893699635, 2.0408686893699635, 1887.965858519343, 0.41333332657814026, 0.0]	[2.0238066151430862, 2.0238066151430862, 1932.44202687656, 0.40666666626930237, 0.0]	[2.0222650548359287, 2.0222650548359287, 1907.2607719308915, 0.41583332419395447, 0.0]
600	[2.042520917286178, 2.042520917286178, 1886.8728951778553, 0.40666666626930237, 0.0]	[2.0334205272288894, 2.0334205272288894, 1949.8289105545007, 0.39666667580604553, 0.0]	[2.0184522095328994, 2.0184522095328994, 1868.5760323104273, 0.4208333194255829, 0.0]	[1.9720647202820365, 1.9720647202820365, 1932.0536619776656, 0.39500001072883606, 0.0]	[1.9698607680663434, 1.9698607680663434, 1933.5788443946285, 0.39916667342185974, 0.0]	[2.0520060055866134, 2.0520060055866134, 1864.5306341799942, 0.4208333194255829, 0.0]	[1.9750862236150732, 1.9750862236150732, 1929.943160843687, 0.4033333361148834, 0.0]	[2.0384330286895627, 2.0384330286895627, 1871.293773433551, 0.4166666567325592, 0.0]	[2.020817267664881, 2.020817267664881, 1932.3747696384496, 0.40833333134651184, 0.0]	[2.019739592764436, 2.019739592764436, 1909.021726740421, 0.4050000011920929, 0.0]
700	[2.0404234739470963, 2.0404234739470963, 1882.7844976726262, 0.4099999964237213, 0.0]	[2.028718716986644, 2.028718716986644, 1947.7455073347996, 0.3891666531562805, 0.0]	[2.0164620146635004, 2.0164620146635004, 1885.6219443512273, 0.4116666615009308, 0.0]	[1.971861223207612, 1.971861223207612, 1930.497405620857, 0.3908333480358124, 0.0]	[1.9695270461002545, 1.9695270461002545, 1931.4427315396254, 0.4008333384990692, 0.0]	[2.0500367799074546, 2.0500367799074546, 1863.7219665188827, 0.4208333194255829, 0.0]	[1.9740532070283796, 1.9740532070283796, 1928.6739082462832, 0.40416666865348816, 0.0]	[2.0365316274763043, 2.0365316274763043, 1857.8215290885182, 0.4183333218097687, 0.0]	[2.0186774914996684, 2.0186774914996684, 1931.4163030160053, 0.4116666615009308, 0.0]	[2.0184008433748835, 2.0184008433748835, 1908.6574592624731, 0.40583333373069763, 0.0]
800	[2.038806616116326, 2.038806616116326, 1879.6116850252658, 0.4025000035762787, 0.0]	[2.026197152602624, 2.026197152602624, 1943.133081537887, 0.3858333230018616, 0.0]	[2.0150074818994663, 2.0150074818994663, 1895.9598884910604, 0.4116666615009308, 0.0]	[1.971717635622389, 1.971717635622389, 1929.286185556748, 0.38999998569488525, 0.0]	[1.969267921638682, 1.969267921638682, 1930.294926551464, 0.40166667103767395, 0.0]	[2.048697528626278, 2.048697528626278, 1864.936020706948, 0.4208333194255829, 0.0]	[1.973145707852254, 1.973145707852254, 1928.2828086963802, 0.40416666865348816, 0.0]	[2.034677262157553, 2.034677262157553, 1845.8845140549083, 0.41583332419395447, 0.0]	[2.016035072511215, 2.016035072511215, 1933.8597810497645, 0.4166666567325592, 0.0]	[2.0172049256209816, 2.0172049256209816, 1909.3672216748207, 0.4000000059604645, 0.0]
900	[2.0375141842063704, 2.0375141842063704, 1877.314467650352, 0.40583333373069763, 0.0]	[2.024499679610772, 2.024499679610772, 1939.5537524205965, 0.3866666555404663, 0.0]	[2.0138815561279673, 2.0138815561279673, 1902.6267431087877, 0.41499999165534973, 0.0]	[1.9715970656906734, 1.9715970656906734, 1928.2611149052957, 0.3891666531562805, 0.0]	[1.9690551806769665, 1.9690551806769665, 1929.3772503389005, 0.40166667103767395, 0.0]	[2.0478216666922946, 2.0478216666922946, 1865.859039646342, 0.4191666543483734, 0.0]	[1.9723419762456704, 1.9723419762456704, 1928.2322986669635, 0.4050000011920929, 0.0]	[2.0333773673868127, 2.0333773673868127, 1831.412481354325, 0.41999998688697815, 0.0]	[2.0143462807891224, 2.0143462807891224, 1933.1856134009881, 0.4074999988079071, 0.0]	[2.0164224519927516, 2.0164224519927516, 1911.9766835859928, 0.4000000059604645, 0.0]
