NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.356	35.589	0.054	26.007	0.208	0.935	20000.0
2	0.355	35.536	0.053	25.946	0.205	0.936	90000.0
3	0.355	35.546	0.053	25.946	0.198	0.936	25000.0
4	0.355	35.505	0.054	25.941	0.194	0.936	25000.0
5	0.355	35.541	0.053	25.946	0.191	0.936	15000.0
6	0.356	35.595	0.054	26.063	0.231	0.935	25000.0
7	0.355	35.54	0.053	25.947	0.193	0.936	20000.0
8	0.356	35.559	0.054	26.0	0.214	0.935	25000.0
9	0.355	35.543	0.053	25.947	0.198	0.936	30000.0
10	0.355	35.545	0.053	25.95	0.198	0.936	25000.0
