Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
OGG1_boot	0.0395440678138914	0.8239220472113717	3.705e-321	0.05483259092647316	0.05989812706889263	0.021803166979371083	1.14e-321	3.003306199843086e-243
OGG1_boot.1	6.03e-321	0.545665451073865	0.023845228113539577	0.3529734973059704	0.03687407469041778	0.04012795225618124	0.0005137965600259905	1.8514224997432675e-175
OGG1_boot.2	5.687e-321	0.7714819190422831	0.01670959842572659	0.0496390563533214	0.026577442408246537	0.025747310769273852	0.10984467300114852	2.1242179457015382e-209
OGG1_boot.3	2.663e-321	0.6510643065305244	5.804885371737644e-147	0.15766595958042276	0.05988914180177754	4.900740827253453e-295	0.039190328416160776	0.09219026367111449
OGG1_boot.4	2.136559525743087e-64	0.6899193841519331	0.018029342571698817	0.027490762302530093	0.050318541144751296	0.004452617485883973	0.10448565962324834	0.1053036927199542
OGG1_boot.5	0.044374623021853556	0.667361796699624	0.009717889635091239	0.21539821684882626	0.0516141322221348	1.556e-321	8.421736303305117e-131	0.011533341572469952
OGG1_boot.6	0.03689641920303908	0.6941077876168098	0.006469480865291897	0.13369669559545933	0.042962957144572905	0.04217758989123155	0.043689069683595566	8.721208505632675e-86
OGG1_boot.7	0.018999960915340227	0.6792029213851085	0.006179011728730936	0.1781050751546603	0.04923568963858882	0.017122482526841603	0.047988275916662854	0.003166582734066827
OGG1_boot.8	6.817546009752694e-70	0.7413716687570705	2.49106310097196e-11	0.060736273336771944	0.06397568086659593	2.867483911568027e-172	0.13391637701465098	7.46e-322
OGG1_boot.9	2.0092791443693123e-175	0.622899342048991	0.03347900368893666	0.1538004940448496	0.04063703706544836	0.02260335159148705	0.10413351226584117	0.022447259294446145
OGG1_boot.10	0.0014061742261203805	0.6008559615127809	6.586e-321	0.29838800355717726	0.013668771194728223	0.006939659145515194	0.07874143036367812	9.44e-322
OGG1_boot.11	1.87093751807901e-79	0.6575520441795952	0.0050056679783589495	0.13134722622311512	0.008816413324905579	0.021122686674659243	0.134917752961559	0.04123820865780686
OGG1_boot.12	0.00414346806169939	0.7008771651238448	0.014129783357862719	0.15650027775446315	0.0428703010727701	0.017301908475344414	0.0433695763825959	0.02080751977141964
OGG1_boot.13	0.0011434301285240117	0.6182492778756276	0.006294385760600735	0.25796868125593536	0.03149508451396228	0.05963703666929356	0.025212103796056363	2.6750562008072067e-136
OGG1_boot.14	0.02565777368617348	0.5778509974196572	3.903e-321	0.2204334827949176	0.052459439182602235	0.0042924215083526415	0.07682579007878786	0.042480095329509075
OGG1_boot.15	7.810794915608988e-204	0.6643112135118697	0.01509802592643522	0.08561082403713477	0.04343978098839778	0.012194017137423824	0.15036594948661003	0.02898018891212875
OGG1_boot.16	0.0252408929407128	0.6589138714640814	0.03951930440698615	0.24344245185982433	0.03288347932839539	5.1e-321	2.770740731255927e-289	6.87e-322
OGG1_boot.17	2.554e-321	0.683961879622913	0.03522507290866777	0.08313330544970145	0.058753017801178906	0.001971274366186315	0.13695544985135263	9.04e-322
OGG1_boot.18	3.854e-321	0.5837376307185962	0.024720393919920498	0.2054298502735128	0.0382221272719335	1.23e-321	0.1478899978160369	2.5745885448306993e-21
OGG1_boot.19	5.559680357527171e-34	0.6453979432587457	0.039888961261933156	0.11186537485882121	0.032245071027804266	6.63e-321	0.1329587223272819	0.03764392726541372
OGG1_boot.20	0.039162989810806965	0.6594235763807806	2.0974875027733975e-105	0.14176504154097713	0.03755064512232888	0.009147121294333262	0.10587598147286503	0.007074644377908142
OGG1_boot.21	1.1054788575497099e-14	0.8000417543653661	0.015443290423114646	0.06546091786727562	0.02515239508627692	0.029447213908367725	0.06445442834958791	1.4327988414100701e-202
OGG1_boot.22	0.041200424442096546	0.630554040133192	8.161690928257008e-228	0.09338001661878961	0.07162743952095528	2.4770895340503934e-19	0.09784599186177274	0.06539208742319373
OGG1_boot.23	1.1105450512339082e-52	0.7309602554472249	0.014831392842847894	0.08789310081350496	0.05867509881800564	0.009981892405264675	0.06970575861005822	0.02795250106309375
OGG1_boot.24	0.07668757394302497	0.6436624292621906	0.022740480280565658	0.0983559003708892	0.07043444315488145	4.427e-321	0.04652675790528629	0.04159241508316183
OGG1_boot.25	2.500357877355751e-218	0.6942838321926377	0.020029793003472348	0.08341841539526554	0.07364922763419525	0.005421070204835392	0.08800556697014457	0.03519209459944916
OGG1_boot.26	4.046e-321	0.7278229243622155	4.79e-321	8.372771202251262e-14	0.07994415906938976	1.13e-321	0.07239915678151669	0.11983375978679447
OGG1_boot.27	3.28e-321	0.5896788402613755	0.01625024913038697	0.27786457666629333	0.017726161720396427	0.007343095295527267	0.09113707692602038	5.57835425305781e-93
OGG1_boot.28	0.06932243225943956	0.7548672275635204	4.83e-321	2.4366585625268373e-54	0.04597169183439639	7.219375587216461e-63	0.02778471345605885	0.10205393488658474
OGG1_boot.29	5.736e-321	0.7142895570969179	0.024779054717149245	0.11640527794045052	0.04189426356650414	0.03673440316870392	0.0398978841790791	0.025999559331195132
OGG1_boot.30	2.08e-321	0.6756409012105327	2.716850226057296e-140	0.21684806805012638	0.041575110886190154	0.05832879679813413	0.0034652444561987304	0.004141878598817921
OGG1_boot.31	5.857902953077904e-305	0.6616960892238013	0.026542711471853678	0.1953757767421874	0.012125636610208525	0.02442929816898381	0.07983048778296543	1.9285867789337943e-140
OGG1_boot.32	4.224e-321	0.6307707021811846	0.02043743958490389	0.17156305090945828	0.031420763971833465	4.265365458443302e-118	0.09339446813710015	0.052413575215519606
OGG1_boot.33	4.817e-321	0.6808081047847072	0.020527671252646405	0.13713424538369945	0.029902254621081422	0.021645528150035686	0.08529318828552818	0.024689007522301583
OGG1_boot.34	4.85e-321	0.6712732111655872	0.011208755252451675	0.10269675552191816	0.03613113697363537	0.012049686879729836	0.019739787706700727	0.1469006664999769
OGG1_boot.35	0.014101962578873018	0.7083878312938809	0.036470351222065156	0.0909222825687889	0.028555213257721413	3.103e-321	0.12156235907867066	1.998673861346756e-81
OGG1_boot.36	0.02455452198827521	0.693234092789045	0.0028258180697486156	0.14595453960368313	0.017966609361909254	0.021935389132674586	0.05087376836409632	0.04265526069056781
OGG1_boot.37	2.095e-321	0.6073140816848368	0.0019126410739214604	0.22973712721589723	0.03853873258029614	0.017820321349980635	0.09331336866160052	0.01136372743346706
OGG1_boot.38	3.03e-321	0.6536817796114932	0.008323638744627364	0.2456985118829266	0.00895400334485491	0.03989748502225126	0.04344450100816263	8.038568390582101e-08
OGG1_boot.39	1.26e-321	0.6395180021122077	0.020297002700060823	0.12900108786842876	0.04009260554754554	1.176e-321	0.17109130177175735	4.146471006395631e-49
OGG1_boot.40	2.75e-321	0.5828344197709686	0.024293052928151673	0.27746427110867455	0.04273542024835186	0.03516648479169701	3.435534685641345e-14	0.037506351152122
OGG1_boot.41	0.0053682747341227055	0.7091391934056327	0.02436148658781309	0.12480433277094502	0.06267096337881756	0.015410848365647257	0.05798887642343169	0.00025602433358995106
OGG1_boot.42	0.001704683097362426	0.5942098228688999	3.394e-321	0.23364732457765602	0.04285171031014195	0.000760088263190089	0.04397679534173712	0.08284957554101267
OGG1_boot.43	2.796e-321	0.736445598810703	0.039498867222193326	0.06144747700785586	0.015141182032393596	0.0016168355503434373	0.13507907250167728	0.01077096687483352
OGG1_boot.44	2.5574194180444548e-229	0.5974052290059448	6.361859422426295e-32	0.26672636959772417	0.025533814528252582	0.005343842002827187	0.1049907448652512	3.636253632937953e-138
OGG1_boot.45	1.0659908507137234e-279	0.6453198588383939	0.008149910000289447	0.2227990071344328	0.04642481847702967	0.009206646196365352	0.06809975935348898	4.663990868351546e-156
OGG1_boot.46	7.05852840443263e-198	0.6571007440016801	0.02688808305996538	0.10600739027411828	0.01891049818602888	0.05335090005107089	0.05082932297167437	0.08691306145546211
OGG1_boot.47	0.004911992854870927	0.6928016534334697	0.031096338297363996	0.10724200717141634	3.731932036827927e-127	0.03982060163084623	0.09657602087981373	0.027551385732219293
OGG1_boot.48	0.04031636327746729	0.686803797401965	0.013969642663814105	0.10808871728352404	0.009286390677655762	0.057385085214331985	0.054182952823475794	0.029967050657766083
OGG1_boot.49	0.03789359243274056	0.674740338601878	0.02135040579964786	0.07526193372505666	8.26843777678205e-257	0.020561068813890596	0.0946427172994789	0.07554994332730731
OGG1_boot.50	0.03419228280260945	0.7195368681564004	0.020968759666327264	0.13983850876597134	0.00558228823024661	0.02415165307101347	0.02174115084149939	0.03398848846593209
OGG1_boot.51	0.05617222671976243	0.7846071244828179	0.006784119230090614	0.03443013394854624	1.57e-321	0.017996208875661005	0.10001018674312175	2.192948946798511e-56
OGG1_boot.52	0.015250403962336215	0.7683074477859324	0.025660816104986103	0.0866201336214547	0.010331203845488806	0.02599596531595139	0.010392929841817753	0.057441099522032794
OGG1_boot.53	0.03245557433265271	0.6897608486038267	0.009511873779370985	0.07326104655853383	0.0013178733928548593	0.03502130914099518	0.12652609330315273	0.03214538088861313
OGG1_boot.54	4.397e-321	0.6318828403324779	0.022249893580196644	0.20488133754612686	0.0020213795956448366	0.014210000887779276	0.12475454805777438	1.1096609125867307e-129
OGG1_boot.55	0.04515835639613114	0.6907175891794504	0.01599177067424515	0.08743052334761793	0.004588792924182414	0.06227739839992077	0.03822115732553133	0.05561441175292101
OGG1_boot.56	0.025966809344809477	0.689714428795662	0.022189753508197057	0.10904860083097452	0.005724043240707096	0.05206181571654528	0.04315681360778408	0.05213773495532041
OGG1_boot.57	0.0055536957464163055	0.696984512401131	0.027658146348239498	0.13512637879403755	0.0010311601010718925	0.02743160232946179	0.08254505065616734	0.023669453623474564
OGG1_boot.58	0.033133722678269605	0.7548099582517231	0.008329906724443972	0.07754435435133673	1.635e-321	0.012147215173018179	0.1140348428212084	2.8188055592880335e-176
OGG1_boot.59	0.021980766221544653	0.6985011235376178	0.025737635732987752	0.08172016319338876	1.95e-321	0.004785003519659303	0.15474046753461249	0.012534840260189003
OGG1_boot.60	0.020974444070989917	0.6855002158114304	0.038462955842075534	0.05462616109351472	0.0041997781741875085	0.005926580060366662	0.1086493107515263	0.08166055419590888
OGG1_boot.61	0.05069493527257224	0.6547212113833092	0.005348954286839969	0.1527431230655175	0.006472403119752569	0.0025024014931632798	0.07013146543567536	0.05738550594316981
OGG1_boot.62	0.018889818805093172	0.6901981126157718	0.03231151187079576	0.060750868816879924	2.95e-321	0.03920786605716525	0.0742223606483168	0.08441946118597735
OGG1_boot.63	0.015931397024716114	0.6589760196427681	0.04888165303142963	0.1919505701504815	0.004754538431438333	0.030851756364768827	0.04865406535439757	1.8504742204500963e-56
OGG1_boot.64	0.049330155054619296	0.7097850235510315	0.026767884517359595	0.12027001327478536	3.84167162806048e-104	0.011948781596902875	0.07435731294753586	0.007540829057765487
OGG1_boot.65	0.03880163799897858	0.7060332289047281	0.01681675791177526	0.029118686673755015	0.0053623552019922355	0.04439525266281859	0.07960531787512612	0.07986676277082597
OGG1_boot.66	0.0021550147274285027	0.7886490171340578	0.036854568656768776	0.015212308193095513	5.494e-321	0.03349244343818221	0.047603590235131714	0.07603305761533562
OGG1_boot.67	0.0573717864761006	0.7501363516030592	0.017927062678779804	0.06907975968156789	2.0547695840378843e-269	0.03856271944163391	0.04882685593105246	0.018095464187805915
OGG1_boot.68	0.08734754432715697	0.7561160627398882	0.01780577194286107	0.0001485562892532259	0.013276473037719224	0.03790029040512986	0.04710368553703979	0.04030161572095167
OGG1_boot.69	0.015175872486654652	0.6339148076913598	0.012936755959908565	0.23085426625302605	4.62e-321	0.03964239460103109	0.04761962948021926	0.01985627352780075
