Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
OGG1_boot	2.76E-03	6.51E-03	0.00E+00	1.07E-02	6.42E-04	4.06E-04	0.00E+00	1.38E-70
OGG1_boot.1	0.00E+00	7.03E-03	2.39E-04	2.62E-03	3.82E-04	6.31E-04	5.04E-04	3.38E-03
OGG1_boot.2	0.00E+00	7.93E-03	8.56E-04	1.22E-02	3.80E-04	6.70E-04	9.74E-04	1.16E-53
OGG1_boot.3	0.00E+00	2.21E-03	1.82E-113	2.15E-03	3.09E-04	0.00E+00	7.43E-04	2.36E-03
OGG1_boot.4	8.22E-57	1.27E-03	2.72E-04	4.85E-03	6.14E-04	6.67E-04	1.32E-03	4.06E-03
OGG1_boot.5	1.78E-03	5.57E-03	2.35E-04	4.53E-03	2.85E-04	0.00E+00	5.05E-54	3.53E-03
OGG1_boot.6	1.84E-03	6.28E-03	1.58E-04	7.86E-03	2.24E-04	4.39E-04	3.56E-04	1.60E-36
OGG1_boot.7	1.93E-03	6.31E-03	1.53E-04	6.50E-03	1.20E-04	3.09E-04	8.09E-04	2.87E-03
OGG1_boot.8	9.95E-04	9.52E-03	2.64E-04	1.39E-02	5.47E-04	1.24E-05	1.17E-03	0.00E+00
OGG1_boot.9	3.18E-85	5.41E-03	5.26E-04	5.73E-03	1.05E-04	3.14E-04	9.03E-04	2.39E-03
OGG1_boot.10	8.37E-04	9.21E-03	0.00E+00	6.97E-03	2.85E-04	6.09E-04	1.99E-03	4.54E-155
OGG1_boot.11	1.74E-04	5.39E-03	8.11E-04	6.52E-03	1.72E-04	3.94E-04	2.04E-04	7.42E-04
OGG1_boot.12	1.34E-03	5.27E-03	1.82E-04	5.95E-03	2.21E-04	2.94E-04	4.67E-04	1.95E-03
OGG1_boot.13	8.59E-04	6.85E-03	2.24E-04	5.03E-03	1.24E-04	5.27E-04	5.61E-04	1.83E-03
OGG1_boot.14	1.48E-03	5.03E-03	0.00E+00	3.38E-03	1.39E-04	2.84E-04	8.06E-04	4.23E-03
OGG1_boot.15	1.37E-86	5.66E-03	4.23E-04	8.06E-03	2.59E-04	4.20E-04	3.63E-04	8.45E-04
OGG1_boot.16	8.80E-04	8.07E-03	1.88E-04	7.61E-03	2.76E-04	0.00E+00	2.08E-46	0.00E+00
OGG1_boot.17	0.00E+00	9.93E-03	7.53E-04	1.39E-02	4.16E-04	7.50E-04	8.11E-04	0.00E+00
OGG1_boot.18	0.00E+00	7.87E-03	3.92E-04	7.03E-03	1.36E-04	0.00E+00	6.05E-04	3.01E-03
OGG1_boot.19	4.44E-04	5.27E-03	3.44E-04	6.94E-03	2.53E-04	1.91E-155	4.64E-04	8.10E-04
OGG1_boot.20	1.84E-03	6.65E-03	3.51E-77	7.72E-03	1.06E-04	3.77E-04	6.43E-04	1.77E-03
OGG1_boot.21	1.25E-03	7.88E-03	6.79E-04	1.21E-02	4.41E-04	4.92E-04	8.18E-04	7.28E-71
OGG1_boot.22	1.42E-03	3.39E-03	0.00E+00	5.12E-03	1.64E-04	2.43E-04	4.25E-04	6.40E-04
OGG1_boot.23	5.14E-04	4.74E-03	3.80E-04	7.38E-03	4.80E-04	3.63E-04	2.77E-04	1.01E-03
OGG1_boot.24	1.57E-03	3.58E-03	4.12E-04	5.28E-03	3.12E-04	0.00E+00	1.84E-04	4.68E-04
OGG1_boot.25	1.37E-100	4.34E-03	3.83E-04	6.76E-03	4.64E-04	3.43E-04	3.34E-04	7.35E-04
OGG1_boot.26	0.00E+00	1.55E-03	0.00E+00	2.51E-03	4.20E-04	0.00E+00	1.79E-03	5.22E-03
OGG1_boot.27	0.00E+00	7.72E-03	3.62E-04	5.12E-03	2.02E-04	3.72E-04	5.41E-04	2.96E-03
OGG1_boot.28	6.03E-04	3.74E-03	0.00E+00	2.46E-05	3.48E-04	4.60E-04	2.84E-03	6.99E-03
OGG1_boot.29	0.00E+00	4.91E-03	4.64E-04	6.70E-03	4.81E-04	3.56E-04	4.90E-04	8.75E-04
OGG1_boot.30	0.00E+00	6.37E-03	1.69E-27	5.34E-03	3.19E-04	2.74E-04	7.60E-04	4.08E-03
OGG1_boot.31	8.10E-101	7.65E-03	5.35E-04	7.84E-03	1.62E-04	5.24E-04	8.30E-04	1.79E-65
OGG1_boot.32	0.00E+00	4.93E-03	4.37E-04	4.76E-03	2.05E-04	1.51E-30	1.07E-03	3.14E-03
OGG1_boot.33	0.00E+00	5.78E-03	5.11E-04	6.81E-03	2.87E-04	3.29E-04	1.40E-03	2.78E-03
OGG1_boot.34	0.00E+00	1.03E-03	2.12E-04	6.94E-04	7.49E-04	9.00E-04	1.21E-03	1.78E-03
OGG1_boot.35	1.97E-03	7.15E-03	1.58E-04	9.96E-03	3.11E-04	0.00E+00	4.36E-04	8.97E-22
OGG1_boot.36	1.59E-03	4.35E-03	7.32E-05	5.20E-03	3.19E-04	4.97E-04	2.58E-04	9.36E-04
OGG1_boot.37	0.00E+00	6.93E-03	4.83E-04	5.31E-03	1.11E-04	3.35E-04	1.41E-03	5.26E-03
OGG1_boot.38	0.00E+00	6.87E-03	4.90E-04	5.30E-03	2.37E-04	2.90E-04	6.22E-04	3.83E-03
OGG1_boot.39	0.00E+00	8.17E-03	3.16E-04	9.83E-03	3.39E-04	0.00E+00	2.72E-04	6.54E-06
OGG1_boot.40	0.00E+00	4.82E-03	5.04E-04	1.81E-03	2.57E-04	2.34E-04	4.05E-04	5.59E-03
OGG1_boot.41	1.77E-03	5.84E-03	4.23E-04	7.47E-03	2.57E-04	3.57E-04	6.56E-04	1.42E-03
OGG1_boot.42	8.00E-04	3.21E-03	0.00E+00	1.46E-03	1.16E-04	3.58E-04	5.35E-04	3.89E-03
OGG1_boot.43	0.00E+00	7.13E-03	6.35E-04	1.11E-02	4.33E-04	5.49E-04	5.17E-04	1.27E-03
OGG1_boot.44	4.98E-49	7.99E-03	1.42E-04	6.05E-03	3.51E-04	7.91E-04	1.10E-03	1.07E-03
OGG1_boot.45	2.42E-84	7.20E-03	3.31E-04	6.62E-03	1.08E-04	4.92E-04	8.98E-04	2.10E-04
OGG1_boot.46	4.46E-124	2.24E-03	3.50E-04	3.60E-03	5.57E-04	6.88E-04	5.95E-04	9.08E-04
OGG1_boot.47	1.35E-03	5.11E-03	4.33E-04	7.00E-03	1.09E-78	3.44E-04	3.66E-04	6.07E-04
OGG1_boot.48	1.55E-03	4.49E-03	2.02E-04	6.26E-03	2.75E-04	3.97E-04	6.23E-04	7.09E-04
OGG1_boot.49	1.20E-03	2.77E-03	3.35E-04	5.17E-03	0.00E+00	4.78E-04	9.97E-04	2.29E-03
OGG1_boot.50	1.61E-03	4.28E-03	1.22E-04	5.41E-03	4.20E-04	4.98E-04	3.09E-04	7.61E-04
OGG1_boot.51	2.27E-03	6.52E-03	1.34E-03	1.08E-02	0.00E+00	4.25E-04	9.97E-04	9.32E-04
OGG1_boot.52	1.65E-03	2.75E-03	1.54E-04	5.31E-03	6.44E-04	5.35E-04	1.17E-03	1.49E-03
OGG1_boot.53	1.58E-03	5.29E-03	3.87E-04	8.14E-03	2.55E-04	4.96E-04	6.60E-04	1.76E-03
OGG1_boot.54	0.00E+00	7.66E-03	4.68E-04	7.41E-03	1.33E-04	4.63E-04	1.01E-03	5.44E-10
OGG1_boot.55	1.42E-03	3.05E-03	6.03E-05	5.19E-03	4.69E-04	5.28E-04	1.14E-03	1.81E-03
OGG1_boot.56	1.46E-03	3.31E-03	2.11E-04	4.91E-03	3.47E-04	4.69E-04	6.04E-04	7.27E-04
OGG1_boot.57	1.45E-03	5.48E-03	2.81E-04	6.75E-03	2.76E-04	4.00E-04	2.22E-04	8.06E-04
OGG1_boot.58	2.29E-03	8.81E-03	1.46E-03	1.28E-02	0.00E+00	5.77E-04	5.24E-04	2.06E-56
OGG1_boot.59	1.69E-03	6.49E-03	5.92E-04	9.35E-03	0.00E+00	4.40E-04	4.46E-04	1.21E-03
OGG1_boot.60	1.12E-03	2.52E-03	2.18E-04	5.49E-03	5.32E-04	6.45E-04	1.32E-03	3.24E-03
OGG1_boot.61	1.37E-03	3.85E-03	2.91E-04	4.24E-03	3.02E-04	5.25E-04	2.67E-04	1.00E-03
OGG1_boot.62	1.29E-03	2.14E-03	3.49E-04	4.82E-03	0.00E+00	4.22E-04	9.16E-04	2.30E-03
OGG1_boot.63	1.44E-03	6.20E-03	2.09E-04	6.04E-03	1.58E-04	3.62E-04	5.79E-04	1.23E-03
OGG1_boot.64	1.66E-03	5.82E-03	3.44E-04	7.62E-03	1.31E-34	3.10E-04	4.79E-04	5.30E-04
OGG1_boot.65	1.24E-03	2.25E-03	1.95E-04	6.01E-03	5.56E-04	6.72E-04	1.51E-03	4.01E-03
OGG1_boot.66	8.25E-04	1.69E-03	5.29E-04	5.98E-03	0.00E+00	3.62E-04	1.46E-03	4.41E-03
OGG1_boot.67	1.77E-03	4.77E-03	2.61E-04	8.00E-03	1.21E-159	3.18E-04	6.65E-04	1.84E-03
OGG1_boot.68	1.40E-03	1.63E-03	2.95E-04	5.63E-03	4.81E-04	6.39E-04	1.73E-03	4.71E-03
OGG1_boot.69	1.62E-03	5.84E-03	2.57E-04	4.30E-03	0.00E+00	2.25E-04	8.15E-04	4.54E-03
OGG1_boot.70	1.53E-03	5.48E-03	1.07E-04	2.99E-03	8.43E-05	2.36E-04	8.24E-04	5.41E-03
OGG1_boot.71	1.76E-03	6.58E-03	3.62E-04	6.94E-03	0.00E+00	3.08E-04	6.65E-04	2.57E-03
OGG1_boot.72	1.38E-03	5.31E-03	4.17E-04	6.03E-03	0.00E+00	3.30E-04	3.66E-04	8.37E-04
OGG1_boot.73	1.47E-03	4.38E-03	2.06E-04	4.86E-03	2.76E-04	3.67E-04	2.13E-04	1.35E-03
OGG1_boot.74	9.85E-04	1.75E-03	3.03E-04	2.11E-03	4.36E-04	7.97E-04	2.69E-03	6.46E-03
OGG1_boot.75	3.81E-80	4.75E-03	5.63E-04	2.10E-03	0.00E+00	1.89E-04	6.48E-04	5.19E-03
OGG1_boot.76	4.45E-12	8.19E-03	6.66E-04	7.46E-03	0.00E+00	4.48E-04	1.40E-03	2.50E-120
OGG1_boot.77	1.14E-03	4.18E-03	2.91E-04	2.86E-03	0.00E+00	3.46E-04	1.87E-04	2.72E-03
OGG1_boot.78	1.45E-03	5.32E-03	2.66E-04	4.45E-03	1.13E-151	2.82E-04	2.51E-04	2.77E-03
OGG1_boot.79	5.56E-04	3.73E-03	2.61E-04	7.36E-24	1.62E-04	9.61E-04	4.00E-03	8.83E-03
OGG1_boot.80	1.53E-03	6.35E-03	4.28E-04	9.35E-03	9.60E-147	3.61E-04	4.29E-04	1.12E-03
OGG1_boot.81	1.83E-03	6.29E-03	4.14E-04	8.89E-03	0.00E+00	3.78E-04	4.15E-04	8.25E-04
OGG1_boot.82	1.68E-03	5.17E-03	4.60E-04	6.89E-03	2.40E-131	3.68E-04	3.18E-04	7.03E-04
OGG1_boot.83	1.49E-03	4.58E-03	3.68E-04	6.26E-03	0.00E+00	3.44E-04	5.42E-04	6.84E-04
OGG1_boot.84	6.92E-45	6.67E-03	6.05E-04	5.27E-03	7.60E-05	3.05E-04	8.74E-04	4.38E-03
OGG1_boot.85	7.18E-04	6.78E-03	4.23E-04	5.23E-03	1.46E-04	3.05E-04	4.60E-04	3.72E-03
OGG1_boot.86	4.20E-05	5.77E-03	6.83E-04	7.24E-03	1.12E-119	3.27E-04	3.81E-04	8.63E-04
OGG1_boot.87	9.90E-04	1.85E-03	7.20E-05	1.17E-03	3.70E-04	6.32E-04	5.29E-04	1.66E-03
OGG1_boot.88	1.66E-03	6.08E-03	3.67E-04	7.25E-03	1.53E-60	3.52E-04	2.55E-04	9.70E-04
OGG1_boot.89	6.77E-04	3.22E-03	1.72E-04	7.91E-04	2.02E-04	5.29E-31	2.57E-03	6.29E-03
OGG1_boot.90	0.00E+00	2.41E-03	0.00E+00	1.93E-03	5.72E-06	0.00E+00	8.16E-04	3.30E-03
OGG1_boot.91	5.44E-73	5.03E-04	0.00E+00	2.77E-03	3.62E-04	5.71E-04	8.51E-44	3.36E-03
OGG1_boot.92	9.52E-53	4.39E-04	0.00E+00	2.55E-03	2.02E-04	0.00E+00	7.94E-04	1.88E-03
OGG1_boot.93	0.00E+00	2.32E-03	0.00E+00	3.63E-03	1.97E-04	1.04E-121	1.97E-03	1.11E-03
OGG1_boot.94	0.00E+00	5.03E-03	4.10E-04	2.66E-03	7.28E-155	0.00E+00	3.10E-04	3.60E-03
OGG1_boot.95	6.57E-39	1.29E-03	0.00E+00	4.26E-03	1.26E-04	0.00E+00	1.21E-03	1.80E-03
OGG1_boot.96	0.00E+00	1.22E-03	0.00E+00	1.34E-03	3.16E-04	0.00E+00	2.05E-03	2.48E-03
OGG1_boot.97	1.28E-78	1.81E-03	0.00E+00	4.99E-03	1.87E-04	0.00E+00	1.76E-69	3.48E-03
OGG1_boot.98	0.00E+00	1.08E-03	0.00E+00	6.36E-03	1.95E-04	0.00E+00	7.77E-04	7.75E-03
OGG1_boot.99	0.00E+00	2.70E-03	0.00E+00	1.85E-03	0.00E+00	0.00E+00	6.68E-04	1.14E-03
OGG1_boot.100	2.36E-04	1.23E-03	6.20E-146	9.93E-04	2.17E-04	0.00E+00	1.00E-03	7.40E-04
OGG1_boot.101	7.63E-04	6.84E-04	0.00E+00	4.78E-03	1.04E-04	0.00E+00	0.00E+00	5.02E-03
OGG1_boot.102	0.00E+00	4.10E-03	0.00E+00	7.38E-03	6.84E-04	1.52E-03	0.00E+00	2.47E-03
OGG1_boot.103	1.16E-50	4.69E-03	0.00E+00	5.23E-03	2.02E-04	4.54E-154	1.85E-05	3.47E-04
OGG1_boot.104	0.00E+00	4.68E-03	0.00E+00	4.33E-03	0.00E+00	2.62E-04	5.26E-04	1.45E-03
OGG1_boot.105	3.10E-94	4.86E-04	0.00E+00	3.85E-03	1.74E-04	9.61E-111	1.21E-03	1.97E-03
OGG1_boot.106	0.00E+00	1.04E-03	0.00E+00	5.90E-03	1.67E-04	0.00E+00	1.07E-03	3.56E-03
OGG1_boot.107	0.00E+00	9.51E-04	0.00E+00	2.03E-03	4.43E-04	8.63E-04	6.40E-04	2.32E-03
OGG1_boot.108	8.86E-162	3.87E-03	0.00E+00	6.89E-03	2.23E-04	0.00E+00	2.05E-03	1.04E-03
OGG1_boot.109	0.00E+00	4.12E-03	0.00E+00	1.70E-03	1.08E-04	1.77E-126	5.13E-04	4.52E-03
OGG1_boot.110	0.00E+00	3.35E-03	0.00E+00	1.04E-02	1.48E-04	0.00E+00	1.21E-03	5.37E-03
OGG1_boot.111	0.00E+00	8.87E-04	2.77E-04	2.23E-03	1.79E-04	0.00E+00	1.27E-03	1.73E-03
OGG1_boot.112	1.30E-42	2.58E-03	0.00E+00	3.38E-03	7.05E-04	1.24E-03	2.46E-03	2.39E-03
OGG1_boot.113	0.00E+00	1.07E-03	0.00E+00	4.98E-03	9.21E-05	0.00E+00	1.02E-03	3.02E-03
OGG1_boot.114	0.00E+00	1.27E-03	0.00E+00	1.58E-03	3.33E-04	0.00E+00	7.96E-04	4.11E-04
OGG1_boot.115	0.00E+00	8.67E-04	3.87E-04	1.67E-03	1.18E-160	0.00E+00	1.48E-03	8.16E-04
OGG1_boot.116	9.76E-04	5.19E-03	7.34E-108	2.24E-03	7.05E-04	0.00E+00	3.46E-03	7.32E-03
OGG1_boot.117	0.00E+00	3.56E-03	0.00E+00	6.33E-03	2.76E-04	2.46E-04	1.11E-43	2.35E-03
OGG1_boot.118	0.00E+00	1.48E-03	0.00E+00	4.62E-03	3.39E-04	4.57E-04	1.19E-03	1.99E-03
