Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_boot	0.9999999999999963	0.993	0.265	26.5%	0.049	11.497%	0.12357	0.993
OGG1_boot.1	0.9999999999999964	0.994	0.246	24.6%	0.049	11.692%	0.12897	0.993
OGG1_boot.2	0.9999999999999964	0.994	0.272	27.2%	0.048	11.485%	0.1478	0.994
OGG1_boot.3	0.999999999999997	0.995	0.257	25.7%	0.045	10.935%	0.13742	0.995
OGG1_boot.4	0.9999999999999968	0.992	0.228	22.8%	0.052	13.556%	0.11688	0.991
OGG1_boot.5	0.9999999999999962	0.997	0.217	21.7%	0.037	8.78%	0.11596	0.997
OGG1_boot.6	0.9999999999999967	0.996	0.237	23.7%	0.038	9.558%	0.12875	0.995
OGG1_boot.7	0.9999999999999969	0.996	0.245	24.5%	0.038	9.367%	0.15199	0.995
OGG1_boot.8	0.9999999999999968	0.987	0.306	30.6%	0.067	16.483%	0.18666	0.986
OGG1_boot.9	0.9999999999999969	0.994	0.27	27.0%	0.041	10.823%	0.16055	0.994
OGG1_boot.10	0.9999999999999967	0.995	0.237	23.7%	0.047	10.952%	0.1228	0.995
OGG1_boot.11	0.9999999999999967	0.996	0.221	22.1%	0.037	9.412%	0.12568	0.996
OGG1_boot.12	0.9999999999999967	0.997	0.203	20.3%	0.031	7.62%	0.12952	0.997
OGG1_boot.13	0.9999999999999964	0.995	0.25	25.0%	0.042	10.308%	0.14453	0.995
OGG1_boot.14	0.999999999999997	0.996	0.231	23.1%	0.036	9.382%	0.15121	0.995
OGG1_boot.15	0.9999999999999973	0.994	0.246	24.6%	0.041	10.939%	0.13612	0.994
OGG1_boot.16	0.9999999999999962	0.996	0.245	24.5%	0.044	10.253%	0.12279	0.995
OGG1_boot.17	0.9999999999999969	0.991	0.328	32.8%	0.06	14.859%	0.15791	0.99
OGG1_boot.18	0.999999999999997	0.995	0.267	26.7%	0.048	12.009%	0.41445	0.994
OGG1_boot.19	0.999999999999997	0.995	0.231	23.1%	0.04	10.399%	0.11557	0.995
OGG1_boot.20	0.9999999999999966	0.995	0.262	26.2%	0.041	10.4%	0.135	0.995
