run,seed,accuracy,f1_score,recall,best_C
1,36269,0.9685,0.9684808994271394,0.9684999999999999,0.01
2,180134,0.96875,0.9687314512242988,0.96875,0.01
3,110496,0.96875,0.9687314512242988,0.96875,0.01
4,222249,0.96875,0.9687314512242988,0.96875,0.01
5,499657,0.96875,0.9687314512242988,0.96875,0.01
6,177732,0.9685,0.9684808994271394,0.9684999999999999,0.01
7,55924,0.96875,0.9687314512242988,0.96875,0.01
8,374248,0.9685,0.9684808994271394,0.9684999999999999,0.01
9,616930,0.96875,0.9687314512242988,0.96875,0.01
10,20073,0.96875,0.9687314512242988,0.96875,0.01
