Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	1.94E-04	1.22E-07	8.00E-04	4.57E-04	3.32E-04
OGG1_0_real_train1	3.17E-144	3.63E-48	2.33E-03	1.60E-03	7.49E-04
RNF168_0_real_train1	1.98E-04	0.00E+00	2.30E-04	3.44E-04	1.17E-04
UNG_0_real_train1	5.11E-04	1.47E-137	1.52E-03	2.21E-03	2.72E-03
ATP2B4_0_real_train1	6.01E-04	2.89E-39	5.80E-04	3.87E-04	2.72E-04
ATP2B4_1_real_train1	0.00E+00	3.27E-04	6.32E-04	0.00E+00	8.62E-04
MLH1_0_real_train1	0.00E+00	1.65E-03	0.00E+00	2.75E-04	3.38E-05
MSH2_0_real_train1	0.00E+00	1.28E-03	0.00E+00	2.34E-04	1.81E-04
MSH6_0_real_train1	0.00E+00	1.49E-03	0.00E+00	2.94E-04	1.20E-04
MSH6_1_real_train1	0.00E+00	1.34E-03	0.00E+00	2.49E-59	2.10E-04
PMS1_0_real_train1	0.00E+00	5.72E-02	3.26E-03	1.05E-03	3.06E-04
PMS2_0_real_train1	2.53E-04	1.65E-03	8.20E-39	0.00E+00	1.86E-04
EXO1_0_dirichlet_train1	8.03E-05	0.00E+00	0.00E+00	0.00E+00	2.29E-04
RNF168_0_dirichlet_train1	3.44E-04	0.00E+00	2.46E-04	5.46E-04	0.00E+00
RNF168_0_dirichlet_train1.1	8.67E-05	0.00E+00	2.45E-124	0.00E+00	2.37E-04
EXO1_0_dirichlet_train1.1	2.38E-04	6.79E-04	2.05E-04	4.10E-04	1.58E-157
RNF168_0_dirichlet_train1.2	1.72E-04	0.00E+00	0.00E+00	0.00E+00	2.45E-04
RNF168_0_dirichlet_train1.3	6.08E-05	0.00E+00	0.00E+00	1.30E-136	2.00E-04
RNF168_0_dirichlet_train1.4	1.89E-04	0.00E+00	3.79E-04	4.13E-04	3.72E-04
RNF168_0_dirichlet_train1.5	2.73E-04	0.00E+00	0.00E+00	2.98E-04	0.00E+00
RNF168_0_dirichlet_train1.6	1.92E-04	0.00E+00	3.09E-04	5.60E-04	3.29E-04
RNF168_0_dirichlet_train1.7	9.26E-05	9.12E-05	2.36E-04	0.00E+00	3.64E-04
RNF168_0_dirichlet_train1.8	1.61E-04	0.00E+00	0.00E+00	2.70E-04	1.67E-04
EXO1_0_dirichlet_train1.2	1.65E-04	1.67E-04	0.00E+00	3.38E-04	2.16E-04
EXO1_0_dirichlet_train1.3	2.52E-04	2.62E-04	0.00E+00	4.70E-04	3.60E-04
RNF168_0_dirichlet_train1.9	1.30E-04	0.00E+00	2.72E-04	3.73E-04	1.45E-04
EXO1_0_dirichlet_train1.4	2.91E-04	0.00E+00	0.00E+00	3.16E-04	0.00E+00
EXO1_0_dirichlet_train1.5	2.00E-04	0.00E+00	0.00E+00	2.37E-04	0.00E+00
EXO1_0_dirichlet_train1.6	2.71E-04	0.00E+00	0.00E+00	2.70E-04	0.00E+00
EXO1_0_dirichlet_train1.7	2.31E-04	1.52E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_dirichlet_train1.8	5.53E-04	4.59E-04	0.00E+00	1.02E-03	0.00E+00
RNF168_0_dirichlet_train1.10	1.87E-04	1.58E-04	1.93E-04	3.44E-04	5.28E-31
EXO1_0_dirichlet_train1.9	4.56E-04	1.59E-04	0.00E+00	0.00E+00	2.26E-04
RNF168_0_dirichlet_train1.11	1.32E-04	1.36E-04	2.68E-04	3.49E-04	1.40E-04
RNF168_0_dirichlet_train1.12	3.95E-04	0.00E+00	8.76E-04	5.80E-04	6.41E-04
EXO1_0_dirichlet_train1.10	1.13E-04	1.37E-04	2.87E-04	0.00E+00	3.38E-04
EXO1_0_dirichlet_train1.11	1.81E-04	0.00E+00	2.39E-04	4.15E-04	2.02E-04
RNF168_0_dirichlet_train1.13	2.31E-04	2.26E-04	0.00E+00	3.09E-04	0.00E+00
RNF168_0_dirichlet_train1.14	1.18E-04	1.53E-04	4.24E-04	0.00E+00	0.00E+00
RNF168_0_dirichlet_train1.15	5.42E-04	0.00E+00	3.40E-04	8.50E-04	0.00E+00
RNF168_0_dirichlet_train1.16	4.78E-04	0.00E+00	2.51E-04	4.68E-04	0.00E+00
