NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.667	66.738	0.109	49.86	0.513	0.779	15000.0
2	0.667	66.717	0.109	49.858	0.504	0.779	15000.0
3	0.661	66.144	0.108	49.568	0.558	0.781	35000.0
4	0.66	65.988	0.108	49.521	0.554	0.782	35000.0
5	0.66	65.985	0.108	49.526	0.556	0.782	50000.0
6	0.668	66.832	0.109	49.917	0.518	0.779	15000.0
7	0.66	65.995	0.108	49.525	0.563	0.782	35000.0
8	0.667	66.743	0.109	49.873	0.514	0.779	15000.0
9	0.668	66.799	0.109	49.9	0.52	0.779	20000.0
10	0.667	66.746	0.109	49.871	0.509	0.779	15000.0
