Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	0.8251961588688115	0.021318287362124152	0.02342514201955234	0.11437957402661042	0.01568083772290168
OGG1_0_real_train1	1.146908921936046e-123	0.015520754614590203	0.07900681501485739	0.11688897231199226	0.7885834580585601
RNF168_0_real_train1	0.7946313461389045	4.6049741065269845e-150	0.1096465854975123	0.06960397188109288	0.026118096482490184
UNG_0_real_train1	0.04448986883315206	2.9683423164223375e-110	0.03969888186601634	0.832752069401771	0.08305917989906059
ATP2B4_0_real_train1	0.13609310309190625	7.002537280568079e-15	0.5656985279913603	0.18354369327851408	0.11466467563821242
ATP2B4_1_real_train1	4.289472146879553e-166	0.1039516529819168	0.751414257468925	4.304278813636692e-177	0.1446340895491583
MLH1_0_real_train1	2.495e-321	0.94090104944803	1.36e-321	0.056197548232514605	0.002901402319455287
MSH2_0_real_train1	2.07e-321	0.872437096251319	3.434826835408752e-207	0.11978532063349079	0.007777583115190136
MSH6_0_real_train1	1.612955032626252e-308	0.947015413740665	2.2853502997607793e-204	0.03442821020743804	0.01855637605189711
MSH6_1_real_train1	3.597412527979069e-264	0.9684047522208311	1.0096367909168512e-307	0.0013907242478410054	0.03020452353132789
PMS1_0_real_train1	1.2243797625377848e-229	0.2113983494393615	0.5626146207697481	0.18183919926343356	0.04414783052745677
PMS2_0_real_train1	0.4556995885442594	0.5308672339256539	2.42831703828767e-310	6.23e-322	0.013433177530086835
EXO1_0_dirichlet_train1	0.819619388012228	1.9926141159469354e-146	1.873e-321	0.014383571593958975	0.16599704039381305
RNF168_0_dirichlet_train1	0.769848401903521	6.4125e-320	0.09114692722303723	0.13900467087344162	4.5e-322
RNF168_0_dirichlet_train1.1	0.8643428302143831	3.113e-321	1.9951402218185968e-50	3.420677425356555e-259	0.13565716978561693
EXO1_0_dirichlet_train1.1	0.6568802622850443	0.05548541141946076	0.1602269522044876	0.12740737409100739	1.15e-321
RNF168_0_dirichlet_train1.2	0.9093289146992967	6.67e-322	2.160616476856705e-140	7.76e-322	0.09067108530070328
RNF168_0_dirichlet_train1.3	0.8763408676116691	8.75371962678535e-309	2.4e-321	0.0311371970039174	0.0925219353844134
RNF168_0_dirichlet_train1.4	0.8804711046265109	6.583e-320	0.09623261430418777	0.0004712313764852374	0.022825049692816117
RNF168_0_dirichlet_train1.5	0.7641479844235095	2.1833710026663862e-95	1.04e-321	0.23585201557649052	1.245e-321
RNF168_0_dirichlet_train1.6	0.6722967380857123	3.36e-322	0.005566649274300667	0.26537766285798653	0.05675894978200046
RNF168_0_dirichlet_train1.7	0.7846112030948644	0.08366418856387206	0.05344665174451766	2.416e-321	0.07827795659674594
RNF168_0_dirichlet_train1.8	0.8371647852564374	4.561484166815664e-182	1.843e-321	0.05140215302167737	0.11143306172188536
EXO1_0_dirichlet_train1.2	0.631369326869385	0.1076858641959106	1.0090324803624584e-252	0.24119138521710579	0.019753423717598726
EXO1_0_dirichlet_train1.3	0.8916474058709042	0.025449263094333055	1.24e-321	0.0782358778913682	0.004667453143394531
RNF168_0_dirichlet_train1.9	0.6806148476739056	1.556e-321	0.0564195356337939	0.12465468378480157	0.1383109329074991
EXO1_0_dirichlet_train1.4	0.6692034566764947	0.028261925726283603	2.5639093291776078e-198	0.3025346175972216	1.16e-321
EXO1_0_dirichlet_train1.5	0.9203985015146161	4.46e-321	9.8e-322	0.0796014984853838	1.459510424974736e-37
EXO1_0_dirichlet_train1.6	0.8772841516214543	6.97e-322	1.8218884991055562e-281	0.1227158483785457	2.1e-321
EXO1_0_dirichlet_train1.7	0.7682921277918542	0.23170787220814584	3.52e-321	8.476372755269501e-104	8.6e-322
EXO1_0_dirichlet_train1.8	0.7853404030945559	0.14157790388011887	1.477e-321	0.07308169302532537	2.87e-322
RNF168_0_dirichlet_train1.10	0.6675534176821679	0.09606049024434836	0.11342966564842881	0.12295642642505478	2.9086649761317694e-282
EXO1_0_dirichlet_train1.9	0.6558402159739649	0.1980364136757754	1.3812928644468416e-297	0.020423753974111135	0.12569961637614868
RNF168_0_dirichlet_train1.11	0.7524591358783481	0.06732743364827765	0.1201723797408657	0.060041050732508525	9.999515105332261e-26
RNF168_0_dirichlet_train1.12	0.7254183463647892	8.94e-322	0.24003227382751258	0.03454937980769832	9.83e-322
EXO1_0_dirichlet_train1.10	0.8981747071968033	0.018866659880925916	0.08237076796363343	2.2772301433917655e-293	0.00058786495863739
EXO1_0_dirichlet_train1.11	0.7507996673224409	1.255e-321	0.03404683564123964	0.199843214174571	0.015310282861748455
RNF168_0_dirichlet_train1.13	0.8081003895957255	0.11152627260999591	2.5019754771866927e-133	0.08037333779427867	8.78306592348295e-95
RNF168_0_dirichlet_train1.14	0.8280282935085479	0.06996481223515644	0.10200689425629575	1.74e-321	2.9e-322
RNF168_0_dirichlet_train1.15	0.7464522493509345	9.24e-322	0.120326268860915	0.13322148178815052	2.9e-322
RNF168_0_dirichlet_train1.16	0.5995304092419574	0.04207082849665438	0.19833300973820425	0.16006575252318403	3.06e-322
EXO1_0_dirichlet_train1.12	0.8360797156122677	2.945e-321	1.4677134070583773e-157	0.07607316416256155	0.08784712022517079
RNF168_0_dirichlet_train1.17	0.659839792411143	0.19203115494239403	0.04050816954592168	2.485e-321	0.10762088310054131
EXO1_0_dirichlet_train1.13	0.9557857458125567	0.005126416044434925	0.039087838143008466	3.315e-321	4.683170622156171e-295
RNF168_0_dirichlet_train1.18	0.8638231913244263	2.5e-321	0.039497364860389246	6.874548020539383e-05	0.09661069833497903
EXO1_0_dirichlet_train1.14	0.6700196008453728	0.1193969020143936	0.0938933143698182	0.03126623361077624	0.08542394915963925
RNF168_0_dirichlet_train1.19	0.7034488208802151	0.10919346522206087	0.10436289360690434	0.011475360690891185	0.07151945959992864
RNF168_0_dirichlet_train1.20	0.5066979756041662	9.12133475315431e-83	0.06931697208857585	0.280294136333482	0.14369091597377598
EXO1_0_dirichlet_train1.15	0.5940701177788854	0.1081324963753834	0.02698346120354143	0.27081392464218995	6.2e-322
RNF168_0_dirichlet_train1.21	0.9782873483647816	2.56e-321	1.1870968493534069e-94	3.3215748927085044e-276	0.021712651635218485
RNF168_0_dirichlet_train1.22	0.7946648981274459	2.13e-321	0.14880740348047564	0.056527698392078475	9.005582657083734e-241
EXO1_0_dirichlet_train1.16	0.9453911852772579	0.01930814396067677	5.100383940226704e-301	4.373468994919941e-196	0.035300670762065445
EXO1_0_dirichlet_train1.17	0.6827166447948474	0.05617505105271431	5.9e-322	0.2611083041524383	2.87e-322
RNF168_0_dirichlet_train1.23	0.8282184900458046	1.21e-321	2.249534850725652e-86	0.10218828104575026	0.06959322890844499
EXO1_0_dirichlet_train1.18	0.7100057074987367	1.5404801457484177e-254	2.797824592823486e-60	0.24418944448036112	0.04580484802090212
RNF168_0_dirichlet_train1.24	0.7525135382135161	0.019778910837563342	0.08303314604147106	0.11692088608749315	0.027753518819956444
RNF168_0_dirichlet_train1.25	0.7624666308315362	9.5e-322	0.23753336916846393	1.294e-321	1.690455960190555e-152
RNF168_0_dirichlet_train1.26	0.7312218255683597	0.11012765178261788	3.8366958591791634e-282	0.10829142196214332	0.050359100686879245
RNF168_0_dirichlet_train1.27	0.7218551892305656	0.06718414651607359	0.1674769028610308	0.043483761392330025	3.3e-322
RNF168_0_dirichlet_train1.28	0.6957777207350442	1.47e-321	0.29193113967752976	0.012291139587426135	2.96e-322
EXO1_0_dirichlet_train1.19	0.7292731261157264	0.043655926780824035	0.029437996912431416	0.1976329501910181	9.44e-322
RNF168_0_dirichlet_train1.29	0.904668674337077	1.067e-321	0.0792251771310099	9.35501512632611e-306	0.016106148531913122
EXO1_0_dirichlet_train1.20	0.627289742508429	0.22708424485866377	2.33e-321	0.14562601263290728	6.67e-322
RNF168_0_dirichlet_train1.30	0.6721922530337203	0.09632844649853761	0.23147930046774193	1.2838587281634264e-108	1.4e-322
RNF168_0_dirichlet_train1.31	0.9841613814676877	1.25e-321	0.006572105798273614	1.774e-321	0.009266512734038602
RNF168_0_dirichlet_train1.32	0.6508821113126896	7.979860297955561e-10	0.23835009421131018	0.11076779367801429	2.683721481938645e-292
RNF168_0_dirichlet_train1.33	0.7639283524550424	5.553899769590333e-99	2.864283526533143e-93	0.17411932726991194	0.06195232027504563
EXO1_0_dirichlet_train1.21	0.6191126185604028	0.028415879822724886	0.2576840276934092	0.0390634028444197	0.05572407107904335
RNF168_0_dirichlet_train1.34	0.785774642469761	0.09852593117981605	0.11569942635042313	1.51e-321	1.206e-321
EXO1_0_dirichlet_train1.22	0.774630049948639	0.17245228391933698	2.773250337669574e-94	0.037452509850331495	0.015465156281692502
EXO1_0_dirichlet_train1.23	0.7868236511925432	0.08086573764067395	8.851919627820954e-87	0.1323106111667829	1.003e-321
RNF168_0_dirichlet_train1.35	0.41546629431419513	0.04452643942488165	0.27120161523684677	0.24168281211774545	0.027122838906330993
RNF168_0_dirichlet_train1.36	0.7908096977784336	0.06887047293636978	0.014637588921467529	1.186e-321	0.12568224036372921
EXO1_0_dirichlet_train1.24	0.9950079562976198	6.8e-322	8.847288632236797e-153	6.745964970402679e-125	0.004992043702380126
RNF168_0_dirichlet_train1.37	0.8883667431848814	0.04141234979601185	0.04064607102331772	6.251491104402493e-87	0.029574835995789205
EXO1_0_dirichlet_train1.25	0.9946573564572752	2.41e-321	1.433e-321	8.064457589193798e-215	0.005342643542724786
RNF168_0_dirichlet_train1.38	0.6638848545416205	2.481622702e-314	3.61622344617636e-101	0.23269340789381762	0.103421737564562
EXO1_0_dirichlet_train1.26	0.9726553775806663	9.4e-322	1.586e-321	3.93e-321	0.027344622419333803
EXO1_0_dirichlet_train1.27	0.8278701074362207	1.5249458463297378e-273	0.0807091013218739	0.09142079124190546	2.3e-322
EXO1_0_dirichlet_train1.28	0.8864082440180306	0.05054560475736793	0.045094921169141856	1.517e-321	0.017951230055459552
EXO1_0_dirichlet_train1.29	0.8343709084805127	2.67e-321	0.08195995953384111	0.06514822605039994	0.018520905935246374
EXO1_0_dirichlet_train1.30	0.9830980678863973	0.016901932068880108	2.253e-321	4.472263492364747e-11	1.764e-321
RNF168_0_dirichlet_train1.39	0.4695921876847803	0.32303732477432756	1.83e-321	0.17231344391881895	0.03505704362207316
RNF168_0_dirichlet_train1.40	0.7950254512596798	0.05635920278106943	0.13517241621337947	1.9e-321	0.013442929745871237
EXO1_0_dirichlet_train1.31	0.780394560856805	1.900402723885752e-81	6.486538272424497e-22	0.08694543477091486	0.1326600043722801
EXO1_0_dirichlet_train1.32	0.7090173251420729	0.15734063241126003	8.021540907106446e-30	0.1258195620714191	0.007822480375247794
EXO1_0_dirichlet_train1.33	0.8346312491927896	1.947e-321	1.043949606753869e-89	0.056245668447415034	0.10912308235979522
RNF168_0_dirichlet_train1.41	0.7748712373823312	0.10562817059434625	0.013520631039191426	0.06034219531704159	0.04563776566708955
RNF168_0_dirichlet_train1.42	0.8787013068043668	0.0010629051164618034	0.032299176876946264	0.02308752862131495	0.06484908258091025
EXO1_0_dirichlet_train1.34	0.8162062909602764	0.14735788284321516	4.035708805630762e-195	0.03643582619650842	3.7e-322
RNF168_0_dirichlet_train1.43	0.9050937813784594	6.67e-322	6.308789189401789e-238	0.03521586404978503	0.05969035457175561
EXO1_0_dirichlet_train1.35	0.8302770436513478	0.049308232082870156	6.940451668539893e-221	0.12041472426578197	1.72e-321
EXO1_0_dirichlet_train1.36	0.641761368769546	0.004250692128202557	0.27240196391218213	0.05052084892764023	0.03106512626242901
RNF168_0_dirichlet_train1.44	0.7598344566127054	3.7389283367223475e-253	0.23902680426888648	0.0011387391184080684	4.55e-322
EXO1_0_dirichlet_train1.37	0.8602462600062164	2.204e-321	3.9390356549521165e-14	0.08481384341212356	0.054939896581620684
RNF168_0_dirichlet_train1.45	0.88326439438369	2.8244809813890652e-282	1.74e-321	0.10767784838043552	0.009057757235874514
RNF168_0_dirichlet_train1.46	0.6695036176391307	1.937e-321	0.09093825595463116	0.23955812640623822	4.2e-322
RNF168_0_dirichlet_train1.47	0.7575345927489412	0.06810454586545679	1.13e-321	8e-322	0.1743608613856022
RNF168_0_dirichlet_train1.48	0.6964424902798807	1.93e-321	0.22753861899540498	7.4e-322	0.0760188907247145
RNF168_0_dirichlet_train1.49	0.9769837213593062	1.606e-321	5.675685980354157e-131	0.023016278640693628	6.9723506335447e-310
RNF168_0_dirichlet_train1.50	0.6917436036527445	0.09784190469438785	0.12895335853828926	0.08146113311457838	2.17e-322
EXO1_0_dirichlet_train1.38	0.6082226003677417	1.96e-321	0.12509174999686337	0.17129202544638206	0.09539362418901307
RNF168_0_dirichlet_train1.51	0.6814372445109405	0.1561358400036727	0.03404092521108926	0.008688384096711048	0.11969760617758651
RNF168_0_dirichlet_train1.52	0.3345281027026239	0.30864266829679154	0.03006222773016123	0.10554450477406765	0.2212224964963557
EXO1_0_dirichlet_train1.39	0.9999999999999999	8.981440389090861e-31	1.586e-321	4.71379679992106e-179	3.6e-322
EXO1_0_dirichlet_train1.40	0.9824735236340244	4.007e-321	1.255e-321	7.979534126960389e-87	0.01752647636597555
