gene_KO	SBS96A_HR	SBS96B_MMR	SBS96C_Control	SBS96D_BER_UNG	SBS96E_BER_OGG1
ATP2B4	0.09687189554487119	0.05954692326807181	0.5708895502940574	0.1120038153629231	0.16068781553007636
EXO1	0.7868111991320237	0.05612813952832673	0.039890735796875736	0.08377803436138798	0.03339189118138586
RNF168	0.7780085703351568	0.06245916913071397	0.05246196991457798	0.06831695719303271	0.038753333426518446
UNG	0.05375494871940368	0.0721633809683319	0.06549184061302452	0.7333460058648317	0.07524382383440806
OGG1	0.034945352046612276	0.027148635105195777	0.19028926083886608	0.07021166933608937	0.6774050826732364
MLH1	0.04856173901571986	0.8689862157990113	0.004258805216169663	0.07250473868883996	0.0056885012802591756
MSH2	0.01960781725867782	0.8515177745318816	0.008837124770030987	0.10677197926646716	0.013265304172942383
MSH6	0.04062693737218886	0.8887475091446414	0.011083452159734762	0.04432736918593988	0.01521473213749505
PMS1	0.0470164549824101	0.20191723908175813	0.4718706750306991	0.21029935604716182	0.06889627485797072
PMS2	0.44799383455413605	0.522602344895372	0.01606863817310262	0.0029626141960718364	0.010372568181317343
