	0	1	2	3	4	5	6	7	8	9
0	[8.339625906081103, 8.339625906081103, 1663.5507982389863, 0.2291666716337204, 0.0]	[8.345696444080508, 8.345696444080508, 1663.5817188708202, 0.26750001311302185, 0.0]	[8.348158740785193, 8.348158740785193, 1663.500034862106, 0.25833332538604736, 0.0]	[8.344109407114418, 8.344109407114418, 1663.6148252146745, 0.23999999463558197, 0.0]	[8.345990150485195, 8.345990150485195, 1663.3379130604553, 0.30250000953674316, 0.0]	[8.342949630633896, 8.342949630633896, 1663.651698512916, 0.2266666740179062, 0.0]	[8.349159922381928, 8.349159922381928, 1663.612251803132, 0.24500000476837158, 0.0]	[8.341914954837707, 8.341914954837707, 1663.4865513756085, 0.24916666746139526, 0.0]	[8.331689999805532, 8.331689999805532, 1663.5146717361513, 0.2383333295583725, 0.0]	[8.333863005838097, 8.333863005838097, 1663.724954070935, 0.2316666692495346, 0.0]
100	[3.767683731228034, 3.767683731228034, 592.563855496682, 0.8016666769981384, 0.0]	[3.685955976358099, 3.685955976358099, 462.0352725753511, 0.8533333539962769, 0.0]	[3.7520028668855105, 3.7520028668855105, 596.1181236249882, 0.8133333325386047, 0.0]	[3.763768123008384, 3.763768123008384, 721.5519956589148, 0.8033333420753479, 0.0]	[3.699154092391315, 3.699154092391315, 519.5806612989459, 0.8441666960716248, 0.0]	[3.737079164231425, 3.737079164231425, 612.3551182652175, 0.7975000143051147, 0.0]	[3.711946237194106, 3.711946237194106, 490.38056538458255, 0.8725000023841858, 0.0]	[3.7166170301790626, 3.7166170301790626, 530.4680832610827, 0.8475000262260437, 0.0]	[3.7328506233318124, 3.7328506233318124, 651.455169342425, 0.7508333325386047, 0.0]	[3.7072477780820283, 3.7072477780820283, 513.111691527804, 0.8550000190734863, 0.0]
200	[3.702317955199122, 3.702317955199122, 521.5180390970515, 0.8324999809265137, 0.0]	[3.6820385840297924, 3.6820385840297924, 440.8836969663462, 0.8658333420753479, 0.0]	[3.7098783765856056, 3.7098783765856056, 455.6587177108163, 0.8566666841506958, 0.0]	[3.746899817747262, 3.746899817747262, 662.6134130667886, 0.7941666841506958, 0.0]	[3.682826658139914, 3.682826658139914, 455.2525785470259, 0.8541666865348816, 0.0]	[3.7195091330171994, 3.7195091330171994, 612.0369609648822, 0.7724999785423279, 0.0]	[3.69448096536408, 3.69448096536408, 428.7923563839159, 0.8758333325386047, 0.0]	[3.6930007046790596, 3.6930007046790596, 435.12912191447487, 0.8741666674613953, 0.0]	[3.716489029419271, 3.716489029419271, 544.4910899337797, 0.8424999713897705, 0.0]	[3.686349699347823, 3.686349699347823, 441.0240548219804, 0.8616666793823242, 0.0]
300	[3.6888118545622683, 3.6888118545622683, 481.8910480660961, 0.8491666913032532, 0.0]	[3.6813023256971737, 3.6813023256971737, 431.01107694324514, 0.8641666769981384, 0.0]	[3.6944962393258827, 3.6944962393258827, 406.82398846143735, 0.8733333349227905, 0.0]	[3.743499868738148, 3.743499868738148, 656.3816901810261, 0.7825000286102295, 0.0]	[3.681218161141668, 3.681218161141668, 440.6200281440016, 0.8575000166893005, 0.0]	[3.7150055906658634, 3.7150055906658634, 600.956772177319, 0.7733333110809326, 0.0]	[3.688288620082354, 3.688288620082354, 405.6810925110244, 0.8799999952316284, 0.0]	[3.685736164585802, 3.685736164585802, 413.09467641955666, 0.875, 0.0]	[3.702336350971915, 3.702336350971915, 464.2326687627656, 0.8700000047683716, 0.0]	[3.683102583997069, 3.683102583997069, 431.66603592357524, 0.8641666769981384, 0.0]
400	[3.6845627764525104, 3.6845627764525104, 456.2745493406249, 0.8566666841506958, 0.0]	[3.680814032301046, 3.680814032301046, 425.98244171290514, 0.8641666769981384, 0.0]	[3.688836801854767, 3.688836801854767, 403.87402497626147, 0.8691666722297668, 0.0]	[3.7411901852639935, 3.7411901852639935, 659.503394099087, 0.7691666483879089, 0.0]	[3.680685378572482, 3.680685378572482, 433.04907174703885, 0.85916668176651, 0.0]	[3.694920081053246, 3.694920081053246, 526.5167050126383, 0.8258333206176758, 0.0]	[3.6846979349575975, 3.6846979349575975, 404.7148042732506, 0.871666669845581, 0.0]	[3.6829538930807164, 3.6829538930807164, 412.9129678568398, 0.8708333373069763, 0.0]	[3.695487355272384, 3.695487355272384, 424.26987243362436, 0.8816666603088379, 0.0]	[3.6819699506089196, 3.6819699506089196, 427.7841852543052, 0.8633333444595337, 0.0]
500	[3.6827834125164216, 3.6827834125164216, 441.05365940761556, 0.8583333492279053, 0.0]	[3.680513997860074, 3.680513997860074, 422.39719202209636, 0.8658333420753479, 0.0]	[3.686047043359764, 3.686047043359764, 409.2851705388096, 0.8675000071525574, 0.0]	[3.738376898752082, 3.738376898752082, 657.0870782249485, 0.762499988079071, 0.0]	[3.6804101815196857, 3.6804101815196857, 427.77932917165094, 0.862500011920929, 0.0]	[3.687303291793752, 3.687303291793752, 477.89019645832315, 0.8450000286102295, 0.0]	[3.682863763325038, 3.682863763325038, 410.7084204654509, 0.8683333396911621, 0.0]	[3.681735678697364, 3.681735678697364, 415.81601647780093, 0.8641666769981384, 0.0]	[3.6906410310977615, 3.6906410310977615, 404.3572517238068, 0.8791666626930237, 0.0]	[3.6815142599706117, 3.6815142599706117, 424.5920672207551, 0.8650000095367432, 0.0]
600	[3.6821546251120547, 3.6821546251120547, 433.7354307259249, 0.8608333468437195, 0.0]	[3.6803259796012924, 3.6803259796012924, 420.03855164333504, 0.8683333396911621, 0.0]	[3.683762143735799, 3.683762143735799, 415.5514117131692, 0.8708333373069763, 0.0]	[3.735996252800198, 3.735996252800198, 640.454900434897, 0.7633333206176758, 0.0]	[3.6802027265791044, 3.6802027265791044, 423.7612989480867, 0.8650000095367432, 0.0]	[3.685018724800689, 3.685018724800689, 462.31666551834087, 0.8516666889190674, 0.0]	[3.682158988790059, 3.682158988790059, 414.3345047974732, 0.8641666769981384, 0.0]	[3.681195866241258, 3.681195866241258, 417.4742204581993, 0.862500011920929, 0.0]	[3.6885133833962906, 3.6885133833962906, 399.04018788529686, 0.8766666650772095, 0.0]	[3.6812141768078024, 3.6812141768078024, 422.35968819983816, 0.8633333444595337, 0.0]
700	[3.6817873437316107, 3.6817873437316107, 429.8354139561902, 0.8641666769981384, 0.0]	[3.6802001559521784, 3.6802001559521784, 418.54138674268313, 0.8666666746139526, 0.0]	[3.6822565613342784, 3.6822565613342784, 415.8996780967429, 0.8650000095367432, 0.0]	[3.731364871740981, 3.731364871740981, 619.5027551857067, 0.7708333134651184, 0.0]	[3.6800839213280336, 3.6800839213280336, 420.75684731605065, 0.8650000095367432, 0.0]	[3.6832667236419785, 3.6832667236419785, 447.772990487044, 0.8566666841506958, 0.0]	[3.6817522989089064, 3.6817522989089064, 416.2550899331503, 0.8658333420753479, 0.0]	[3.680897520624114, 3.680897520624114, 417.8795249123719, 0.8658333420753479, 0.0]	[3.6861577211793803, 3.6861577211793803, 402.1876957701958, 0.8758333325386047, 0.0]	[3.6808819737234595, 3.6808819737234595, 420.5907993962759, 0.8650000095367432, 0.0]
800	[3.68149502897547, 3.68149502897547, 427.3698512491221, 0.8675000071525574, 0.0]	[3.680115465586007, 3.680115465586007, 417.45318112041514, 0.8675000071525574, 0.0]	[3.6818917155355844, 3.6818917155355844, 416.90909370375584, 0.862500011920929, 0.0]	[3.7263781547970183, 3.7263781547970183, 626.3909878034611, 0.7649999856948853, 0.0]	[3.680003533311489, 3.680003533311489, 418.6433407011386, 0.8658333420753479, 0.0]	[3.6826771421118165, 3.6826771421118165, 439.18887452084635, 0.8583333492279053, 0.0]	[3.681510856403058, 3.681510856403058, 416.3645152786677, 0.8666666746139526, 0.0]	[3.6806998206940755, 3.6806998206940755, 417.9610119791512, 0.8683333396911621, 0.0]	[3.6847127470295766, 3.6847127470295766, 408.4291132052397, 0.8708333373069763, 0.0]	[3.680646521987409, 3.680646521987409, 418.97925469879357, 0.8666666746139526, 0.0]
900	[3.6813015658932593, 3.6813015658932593, 425.1786392724755, 0.8683333396911621, 0.0]	[3.680050813161367, 3.680050813161367, 416.6405109924525, 0.8675000071525574, 0.0]	[3.681451184074611, 3.681451184074611, 417.5363045605488, 0.8666666746139526, 0.0]	[3.7204123255629087, 3.7204123255629087, 612.5867907743936, 0.7791666388511658, 0.0]	[3.679932159359838, 3.679932159359838, 417.17087390137226, 0.8666666746139526, 0.0]	[3.6824913102835106, 3.6824913102835106, 434.60738047520016, 0.85916668176651, 0.0]	[3.6812408419791502, 3.6812408419791502, 416.77017287317017, 0.8675000071525574, 0.0]	[3.6805888268563547, 3.6805888268563547, 417.5290225694394, 0.8683333396911621, 0.0]	[3.6831257372010318, 3.6831257372010318, 408.96551808552636, 0.8683333396911621, 0.0]	[3.6805094433504095, 3.6805094433504095, 417.9069499191289, 0.8675000071525574, 0.0]
1000	[3.6811314528506762, 3.6811314528506762, 423.8859072570551, 0.8683333396911621, 0.0]	[3.680007941730668, 3.680007941730668, 416.0509238265729, 0.8675000071525574, 0.0]	[3.6811885847159864, 3.6811885847159864, 417.39311453601067, 0.8683333396911621, 0.0]	[3.7187585609107514, 3.7187585609107514, 590.8737559265007, 0.800000011920929, 0.0]	[3.679871320754649, 3.679871320754649, 416.056923347969, 0.8675000071525574, 0.0]	[3.682179172329642, 3.682179172329642, 432.33635572567744, 0.862500011920929, 0.0]	[3.6809920381377976, 3.6809920381377976, 416.9680168007736, 0.8675000071525574, 0.0]	[3.6805084759837094, 3.6805084759837094, 417.11789669107134, 0.8683333396911621, 0.0]	[3.6824009865073, 3.6824009865073, 411.08169819169996, 0.8666666746139526, 0.0]	[3.680412740101415, 3.680412740101415, 417.02685454808875, 0.8683333396911621, 0.0]
2000	[3.6801433223896862, 3.6801433223896862, 416.2388808749247, 0.8666666746139526, 0.0]	[3.679760761507169, 3.679760761507169, 413.48572941244225, 0.8700000047683716, 0.0]	[3.6801677860449002, 3.6801677860449002, 414.0764967695832, 0.8683333396911621, 0.0]	[3.715580264094227, 3.715580264094227, 560.2536105291281, 0.82833331823349, 0.0]	[3.6796478557631294, 3.6796478557631294, 412.82067189696215, 0.8700000047683716, 0.0]	[3.680694361186768, 3.680694361186768, 420.3485755961294, 0.8675000071525574, 0.0]	[3.6802293195676925, 3.6802293195676925, 415.6286820580799, 0.8683333396911621, 0.0]	[3.6799083049272516, 3.6799083049272516, 413.58627856961886, 0.8700000047683716, 0.0]	[3.6807104864232056, 3.6807104864232056, 415.4192351953011, 0.8700000047683716, 0.0]	[3.679856412802647, 3.679856412802647, 413.8630848380066, 0.8700000047683716, 0.0]
3000	[3.6799733582769423, 3.6799733582769423, 414.72635069751, 0.8683333396911621, 0.0]	[3.679627757549188, 3.679627757549188, 412.3295179103728, 0.8708333373069763, 0.0]	[3.679851890117787, 3.679851890117787, 413.5886121208632, 0.8691666722297668, 0.0]	[3.715073246394967, 3.715073246394967, 555.5402964127483, 0.8349999785423279, 0.0]	[3.679594021413601, 3.679594021413601, 412.1644637730509, 0.8708333373069763, 0.0]	[3.680194100465086, 3.680194100465086, 416.8349886578375, 0.8666666746139526, 0.0]	[3.679844807927295, 3.679844807927295, 413.34449204170437, 0.8691666722297668, 0.0]	[3.6796674832006357, 3.6796674832006357, 412.4794703522648, 0.8700000047683716, 0.0]	[3.680308594136279, 3.680308594136279, 415.30172679011673, 0.8691666722297668, 0.0]	[3.6796685717312463, 3.6796685717312463, 412.5838734886462, 0.8700000047683716, 0.0]
4000	[3.6797928969063487, 3.6797928969063487, 413.7899739601213, 0.8691666722297668, 0.0]	[3.679587225837886, 3.679587225837886, 411.97395528351086, 0.8708333373069763, 0.0]	[3.6797063110953694, 3.6797063110953694, 413.1929579890905, 0.8700000047683716, 0.0]	[3.7150205261654294, 3.7150205261654294, 554.8765935440676, 0.8324999809265137, 0.0]	[3.6795727890518575, 3.6795727890518575, 411.95279189933495, 0.8708333373069763, 0.0]	[3.679969224652094, 3.679969224652094, 415.58823252340983, 0.8675000071525574, 0.0]	[3.67969565530452, 3.67969565530452, 412.5888716091839, 0.8700000047683716, 0.0]	[3.679600106579905, 3.679600106579905, 412.051083703517, 0.8708333373069763, 0.0]	[3.680012128411227, 3.680012128411227, 414.86530834219457, 0.8700000047683716, 0.0]	[3.6796015722777575, 3.6796015722777575, 412.0961936956262, 0.8708333373069763, 0.0]
5000	[3.6796624169448937, 3.6796624169448937, 412.9272999008253, 0.8708333373069763, 0.0]	[3.6795698985208904, 3.6795698985208904, 411.83182740518396, 0.8708333373069763, 0.0]	[3.6795808846853495, 3.6795808846853495, 411.7567264486088, 0.8708333373069763, 0.0]	[3.71499897526823, 3.71499897526823, 554.6082314618482, 0.8333333134651184, 0.0]	[3.6795626201844507, 3.6795626201844507, 411.79960445148964, 0.8708333373069763, 0.0]	[3.6798200387017026, 3.6798200387017026, 414.1546256770851, 0.8700000047683716, 0.0]	[3.679626058331867, 3.679626058331867, 412.2564497872761, 0.8708333373069763, 0.0]	[3.6795758622902155, 3.6795758622902155, 411.8366279976136, 0.8708333373069763, 0.0]	[3.6798621573668595, 3.6798621573668595, 414.4644939549763, 0.8691666722297668, 0.0]	[3.679576560279708, 3.679576560279708, 411.86565118251133, 0.8708333373069763, 0.0]
6000	[3.6796053428832525, 3.6796053428832525, 412.36292166074577, 0.8708333373069763, 0.0]	[3.679561709128047, 3.679561709128047, 411.75734252769195, 0.8708333373069763, 0.0]	[3.6795717481006007, 3.6795717481006007, 411.6677490312557, 0.8708333373069763, 0.0]	[3.714992835890357, 3.714992835890357, 554.5091971182206, 0.8333333134651184, 0.0]	[3.679557622528509, 3.679557622528509, 411.74690032655695, 0.8708333373069763, 0.0]	[3.6797823652369552, 3.6797823652369552, 413.8901562787569, 0.8691666722297668, 0.0]	[3.6795895651745734, 3.6795895651745734, 411.8895730722518, 0.8708333373069763, 0.0]	[3.6795653574657003, 3.6795653574657003, 411.7266123174509, 0.8708333373069763, 0.0]	[3.6797503125361906, 3.6797503125361906, 413.0553614314043, 0.8700000047683716, 0.0]	[3.6795656033068496, 3.6795656033068496, 411.7625276889306, 0.8708333373069763, 0.0]
7000	[3.6795776607902733, 3.6795776607902733, 412.060064207972, 0.8708333373069763, 0.0]	[3.6795573852412877, 3.6795573852412877, 411.7219657280076, 0.8708333373069763, 0.0]	[3.679566489553962, 3.679566489553962, 411.6250416110734, 0.8708333373069763, 0.0]	[3.7149877404971146, 3.7149877404971146, 554.3961477083978, 0.8333333134651184, 0.0]	[3.6795550853387926, 3.6795550853387926, 411.7216568112507, 0.8708333373069763, 0.0]	[3.6797534594155388, 3.6797534594155388, 413.4422955629919, 0.8700000047683716, 0.0]	[3.6795741282877192, 3.6795741282877192, 411.696699623333, 0.8708333373069763, 0.0]	[3.679559793249765, 3.679559793249765, 411.69648597468233, 0.8708333373069763, 0.0]	[3.679714583413928, 3.679714583413928, 412.78010029829557, 0.8700000047683716, 0.0]	[3.679559680745406, 3.679559680745406, 411.71426717115696, 0.8708333373069763, 0.0]
