Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	0.8260066874011237	0.021414374933290445	0.018159633155070503	0.11690495138453529	0.017514353125980077
OGG1_0_real_train1	6.895519001690389e-130	0.015265770387629891	0.07706733603215273	0.10060282015142985	0.8070640734287874
RNF168_0_real_train1	0.7946224833279368	6.571958731914911e-159	0.10507981788334646	0.07308171193894959	0.02721598684976704
UNG_0_real_train1	0.05963083046958225	0.0024822219213527646	0.019904526023155508	0.8214421588054146	0.09654026278049474
ATP2B4_0_real_train1	0.13803765768816972	3.5294247431429604e-09	0.5596095034709718	0.18612937137588384	0.11622346393555
ATP2B4_1_real_train1	3.614171494448249e-160	0.10199199125584504	0.7577247905621318	6.369176857567241e-169	0.1402832181820233
MLH1_0_real_train1	2.5e-321	0.9467070780846245	1.37e-321	0.05089432100612402	0.002398600909251421
MSH2_0_real_train1	2.065e-321	0.878235541298407	8.102474119183156e-200	0.11412294030093445	0.00764151840065861
MSH6_0_real_train1	1.3591409690141848e-303	0.9505408801015991	1.597540387196401e-189	0.03139883043762104	0.018060289460779796
MSH6_1_real_train1	2.9402812364165197e-262	0.9703275846746022	5.5526918666469274e-297	2.7190332745287377e-17	0.029672415325397838
PMS1_0_real_train1	6.539389046296991e-230	0.2101002277179024	0.5567581517464797	0.18993424986376567	0.04320737067185244
PMS2_0_real_train1	0.4580865635079747	0.5298752708665089	2.10385375302937e-283	3.16e-322	0.012038165625516479
EXO1_0_dirichlet_train1	0.8203661500419911	2.1808670160509878e-147	1.86e-321	0.01012112637708915	0.16951272358091987
RNF168_0_dirichlet_train1	0.7662229910034422	3.91e-321	0.0831626602614375	0.15061434873512022	4.55e-322
RNF168_0_dirichlet_train1.1	0.8620434512389116	3.093e-321	3.711106266943901e-54	2.0952481176937535e-276	0.1379565487610884
EXO1_0_dirichlet_train1.1	0.6576438603678286	0.05503109931331184	0.15463610564652028	0.13268893467233928	1.166e-321
RNF168_0_dirichlet_train1.2	0.9082392016629384	6.67e-322	9.264647575555303e-136	1.033e-321	0.09176079833706155
RNF168_0_dirichlet_train1.3	0.8762052641280536	5.387624678e-314	2.39e-321	0.029607632341732994	0.09418710353021326
RNF168_0_dirichlet_train1.4	0.881386498137262	3.295e-321	0.09664452763620486	5.003417712713819e-12	0.021968974221529793
RNF168_0_dirichlet_train1.5	0.7627589268763899	1.0221314545622565e-78	7.76e-322	0.23724107312361	1.245e-321
RNF168_0_dirichlet_train1.6	0.6737161095055846	3.4e-322	1.4873887896234612e-25	0.2655473379318752	0.06073655256254034
RNF168_0_dirichlet_train1.7	0.7850028060030756	0.08222335288060513	0.05430673059364862	2.17e-321	0.07846711052267061
RNF168_0_dirichlet_train1.8	0.8404524337388966	1.399524222925933e-172	1.833e-321	0.045541200053103345	0.11400636620800024
EXO1_0_dirichlet_train1.2	0.6288739486646546	0.10965591969311103	3.7205472985871e-291	0.24118738184285832	0.020282749799376047
EXO1_0_dirichlet_train1.3	0.8931833035513234	0.02625627960491843	1.24e-321	0.07622615639566949	0.004334260448088793
RNF168_0_dirichlet_train1.9	0.6842698396555319	1.556e-321	0.05712035339609237	0.11743988055765807	0.14116992639071782
EXO1_0_dirichlet_train1.4	0.6693298461499757	0.03302226803185225	6.297373584715516e-221	0.29764788581817203	1.46e-321
EXO1_0_dirichlet_train1.5	0.9249175750436734	2.8270606934437e-310	9.8e-322	0.07508242495632651	7.72697110002393e-42
EXO1_0_dirichlet_train1.6	0.8769836501576002	6.97e-322	4.63271192e-315	0.12301634984239972	2.1e-321
EXO1_0_dirichlet_train1.7	0.7692108041603796	0.23078919583962038	3.073e-321	5.2087041587042665e-48	8.55e-322
EXO1_0_dirichlet_train1.8	0.7860881042596783	0.14220090765110968	1.18e-321	0.07171098808921199	2.87e-322
RNF168_0_dirichlet_train1.10	0.6695754105665342	0.09715874090245843	0.11058516179859416	0.12268068673241327	2.9203380438618133e-269
EXO1_0_dirichlet_train1.9	0.653859979118752	0.19670373089814872	9.19604471823127e-305	0.021631319434456477	0.12780497054864265
RNF168_0_dirichlet_train1.11	0.7561324423323391	0.06906725558049498	0.119627638111458	0.05517266397570789	1.755672049543801e-45
RNF168_0_dirichlet_train1.12	0.7266433303307166	8.9e-322	0.2354387517037712	0.03791791796551231	9.93e-322
EXO1_0_dirichlet_train1.10	0.8998436780768528	0.01813187333943455	0.08202444858371245	3.473e-321	5.29485851724134e-31
EXO1_0_dirichlet_train1.11	0.752422492630041	1.255e-321	0.024018716832771538	0.20427129912107392	0.019287491416113547
RNF168_0_dirichlet_train1.13	0.8093152545141535	0.1128484017229154	1.636238228744247e-148	0.077836343762931	6.432865428838261e-116
RNF168_0_dirichlet_train1.14	0.8319615737637283	0.06843103019508126	0.09960739604119057	1.9018e-319	2.9e-322
RNF168_0_dirichlet_train1.15	0.7470638109997205	9.2e-322	0.11454673188617229	0.13838945711410724	2.96e-322
RNF168_0_dirichlet_train1.16	0.5988057443032465	0.03976334329563299	0.18927237867896507	0.17215853372215537	3.1e-322
EXO1_0_dirichlet_train1.12	0.8386300157411204	2.94e-321	1.184768966105944e-155	0.07164272977188474	0.08972725448699492
RNF168_0_dirichlet_train1.17	0.6606813899493851	0.18989453845682164	0.04070468331915895	2.485e-321	0.10871938827463433
EXO1_0_dirichlet_train1.13	0.958437966131502	0.0033698330175580354	0.03819220085093997	2.7804330031147204e-303	2.18e-321
RNF168_0_dirichlet_train1.18	0.8613327581803977	2.48e-321	0.036463060097872195	0.003403558478780263	0.09880062324294983
EXO1_0_dirichlet_train1.14	0.6722917879046053	0.12115971665862144	0.1002373881557452	0.02212579029807836	0.08418531698294976
RNF168_0_dirichlet_train1.19	0.7041375067860414	0.10722004219131984	0.1012904046727173	0.01452621516059786	0.07282583118932362
RNF168_0_dirichlet_train1.20	0.5122215055112839	2.4991233120724046e-42	0.06432888298815802	0.27401911229144776	0.1494304992091102
EXO1_0_dirichlet_train1.15	0.5936121097104086	0.10955716024605636	0.020963222493289753	0.2758675075502454	6.27e-322
RNF168_0_dirichlet_train1.21	0.9786300247426919	2.55e-321	2.2262869780685067e-91	3.0866470126953687e-246	0.02136997525730811
RNF168_0_dirichlet_train1.22	0.7927231850661167	2.124e-321	0.14378353835842078	0.06349327657546243	5.437979291597181e-232
EXO1_0_dirichlet_train1.16	0.9469444649939757	0.017836067881275456	7.922177294810435e-296	4.3403853690937613e-190	0.03521946712474887
EXO1_0_dirichlet_train1.17	0.6798487230155671	0.05842673373587786	5.83e-322	0.2617245432485551	2.9e-322
RNF168_0_dirichlet_train1.23	0.8263163538122907	1.206e-321	1.1052797170144242e-110	0.10284007403999035	0.07084357214771889
EXO1_0_dirichlet_train1.18	0.7107014595059591	2.114139692802168e-230	9.860996324906085e-88	0.24222076979964438	0.04707777069439653
RNF168_0_dirichlet_train1.24	0.7533391905402014	0.01996852096422971	0.07747562951986073	0.11951157059988919	0.029705088375818908
RNF168_0_dirichlet_train1.25	0.7650665421921203	9.44e-322	0.23493345780787983	1.29e-321	3.0684097965115114e-192
RNF168_0_dirichlet_train1.26	0.7331384574986114	0.11190655925262319	4.175419803883136e-279	0.10364249939882034	0.05131248384994503
RNF168_0_dirichlet_train1.27	0.7209516980492809	0.06159837879095908	0.15746534955941893	0.05998457360034111	3.36e-322
RNF168_0_dirichlet_train1.28	0.6896134622400254	1.457e-321	0.28147114398535755	0.02891539377461686	2.96e-322
EXO1_0_dirichlet_train1.19	0.7284326475645073	0.04212090584174669	0.022569240184539412	0.20687720640920662	1.19e-321
RNF168_0_dirichlet_train1.29	0.9050942388078838	1.06e-321	0.08005939055769612	5.531249210779191e-284	0.014846370634420236
EXO1_0_dirichlet_train1.20	0.6247972797744784	0.22850870142919597	1.99e-321	0.14669401879632563	6.67e-322
RNF168_0_dirichlet_train1.30	0.6775894206071145	0.09491447589800937	0.22749610265196	8.429160937988693e-10	1.4e-322
RNF168_0_dirichlet_train1.31	0.9844436452242519	1.25e-321	0.007331810376691009	2.12e-321	0.008224544399057098
RNF168_0_dirichlet_train1.32	0.6511365846907922	2.434306814687509e-19	0.23248570232639285	0.11637771298281492	1.954304414061205e-281
RNF168_0_dirichlet_train1.33	0.767545157462859	1.88936616997856e-73	9.818663210295697e-102	0.1689670599130196	0.06348778262412132
EXO1_0_dirichlet_train1.21	0.6213295852405588	0.028441811125783215	0.2628505288257222	0.03439530543448418	0.052982769373451734
RNF168_0_dirichlet_train1.34	0.7893986683294275	0.09699820103068171	0.1136031306398909	1.51e-321	1.01e-321
EXO1_0_dirichlet_train1.22	0.773753317888784	0.17121166820543976	5.865111109751316e-117	0.04006614246646692	0.014968871439309344
EXO1_0_dirichlet_train1.23	0.7858218747627831	0.08149447271009644	4.4675285911083025e-128	0.1326836525271205	1.003e-321
RNF168_0_dirichlet_train1.35	0.41606138133103154	0.04625807631172198	0.2584403400742338	0.24813604310532053	0.031104159177692263
RNF168_0_dirichlet_train1.36	0.7910209516287658	0.066614846676551	0.015079920392926079	1.186e-321	0.12728428130175706
EXO1_0_dirichlet_train1.24	0.9956973222399269	6.8e-322	3.809072361208392e-150	5.927300918236149e-82	0.004302677760073096
RNF168_0_dirichlet_train1.37	0.8896288101506127	0.03989126543378645	0.04178192513273821	4.892526339239433e-78	0.028697999282862614
EXO1_0_dirichlet_train1.25	0.9953357595271621	2.4e-321	1.433e-321	3.940060844930728e-226	0.004664240472837946
RNF168_0_dirichlet_train1.38	0.6644593139978814	1.236345268698277e-285	1.1146833553025042e-123	0.22925121278140084	0.10628947322071773
EXO1_0_dirichlet_train1.26	0.9728096859263368	9.34e-322	1.58e-321	3.523e-321	0.0271903140736631
EXO1_0_dirichlet_train1.27	0.8258813894680657	6.763987304718716e-295	0.0746854748599851	0.09943313567194939	2.37e-322
EXO1_0_dirichlet_train1.28	0.8875454946157696	0.04868234538716609	0.04804019808535464	1.507e-321	0.015731961911709672
EXO1_0_dirichlet_train1.29	0.830288269271664	2.213e-321	0.07178855607256318	0.07661146747744621	0.02131170717832675
EXO1_0_dirichlet_train1.30	0.9815337971053764	0.01476167079748175	1.917e-321	0.0037045320971418705	1.46e-321
RNF168_0_dirichlet_train1.39	0.46788090276007266	0.32485443044272977	1.82e-321	0.1716269408969992	0.03563772590019837
RNF168_0_dirichlet_train1.40	0.7966916951481755	0.05495332304127095	0.1371576894776278	1.89e-321	0.011197292332925666
EXO1_0_dirichlet_train1.31	0.7800164317805213	2.3621796068951954e-81	1.343128385313174e-32	0.0844918980385754	0.13549167018090327
EXO1_0_dirichlet_train1.32	0.7125577469629996	0.16095668740074642	7.758554995681227e-21	0.1183763399015168	0.008109225734736995
EXO1_0_dirichlet_train1.33	0.8336804448354272	1.94e-321	1.6202080941843898e-97	0.055034283940141156	0.1112852712244315
RNF168_0_dirichlet_train1.41	0.7748102186593745	0.10358123919258301	0.006882659386172836	0.0665430975391838	0.04818278522268584
RNF168_0_dirichlet_train1.42	0.8766369735101225	1.6534523294448615e-23	0.02514059202730232	0.03024464940518437	0.06797778505739085
EXO1_0_dirichlet_train1.34	0.8125395382707593	0.1456554838535137	4.1113960207564697e-268	0.04180497787572708	3.66e-322
RNF168_0_dirichlet_train1.43	0.9068111167730534	1.003e-321	1.6755812545636563e-239	0.032395271632588166	0.060793611594358504
EXO1_0_dirichlet_train1.35	0.82723508630002	0.048515514546267575	3.8147276289587077e-277	0.12424939915371246	1.714e-321
EXO1_0_dirichlet_train1.36	0.6433229968384249	0.0037481491265254556	0.2726582492623449	0.05084972680169569	0.029420877971009212
RNF168_0_dirichlet_train1.44	0.760002244610466	2.583183934941867e-271	0.23356426075191392	0.006433494637620268	4.6e-322
EXO1_0_dirichlet_train1.37	0.8613920905573386	2.194e-321	1.615368749261595e-25	0.08264941596119199	0.055958493481469446
RNF168_0_dirichlet_train1.45	0.883039109587721	1.6161462145848523e-281	1.734e-321	0.10823896353385785	0.008721926878421101
RNF168_0_dirichlet_train1.46	0.6750393832111681	1.94e-321	0.08749648414375019	0.2374641326450819	4.25e-322
RNF168_0_dirichlet_train1.47	0.7575895411410652	0.06522367295933415	1.126e-321	8e-322	0.1771867858996006
RNF168_0_dirichlet_train1.48	0.6953889366562126	1.92e-321	0.23069394265349097	7.36e-322	0.07391712069029632
RNF168_0_dirichlet_train1.49	0.9739674870768242	1.6e-321	3.941689208316333e-175	0.02603251292317568	1.98e-321
RNF168_0_dirichlet_train1.50	0.6926884949341436	0.09568392331615255	0.12228279992967608	0.08934478182002781	2.2e-322
EXO1_0_dirichlet_train1.38	0.609216782961821	1.956e-321	0.1172711356616013	0.1736460029528491	0.0998660784237285
RNF168_0_dirichlet_train1.51	0.6837786013152444	0.15707627929500478	0.03837795784432008	0.0004898124346244104	0.12027734911080631
