Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	0.8250431748179873	0.02095140491300633	0.02347441019500823	0.11469241662881187	0.015838593445186483
OGG1_0_real_train1	4.4688549760334854e-123	0.015432872196543532	0.07834509657557913	0.11635446207141383	0.7898675691564635
RNF168_0_real_train1	0.7942203680653543	2.008301618659504e-152	0.10961732862587634	0.07008972475817331	0.026072578550596057
UNG_0_real_train1	0.04377364932855232	6.55699299381262e-112	0.040089384979970145	0.8295469914733035	0.08658997421817419
ATP2B4_0_real_train1	0.13558259716896018	6.016657649540221e-18	0.5659803016014808	0.1836271433156162	0.11480995791394277
ATP2B4_1_real_train1	9.735973546842342e-165	0.10354406521728626	0.7529530040920478	9.335527264837592e-178	0.14350293069066603
MLH1_0_real_train1	2.495e-321	0.9403838983671333	1.36e-321	0.05671007641827737	0.0029060252145894187
MSH2_0_real_train1	2.07e-321	0.8719440439526898	3.2472828674405847e-205	0.11996870551785078	0.008087250529459368
MSH6_0_real_train1	3.461933289687654e-307	0.9465717391240449	1.3234740330979963e-201	0.034944163822200426	0.018484097053754665
MSH6_1_real_train1	4.066385677249777e-263	0.968063174864852	7.558986720164307e-306	0.0019431201553138581	0.029993704979833925
PMS1_0_real_train1	8.979918664667491e-228	0.20985946404709907	0.5639575775611236	0.18218751059449553	0.04399544779728168
PMS2_0_real_train1	0.4565076402093346	0.5303583863826987	2.6834387312710228e-304	6.23e-322	0.013133973407966678
EXO1_0_dirichlet_train1	0.8193960557942955	3.4766289169929003e-147	1.873e-321	0.014715703921889412	0.16588824028381524
RNF168_0_dirichlet_train1	0.7685221932166841	4.353e-321	0.09098867246082362	0.1404891343224923	4.5e-322
RNF168_0_dirichlet_train1.1	0.8645032137748236	3.11e-321	1.0953726782004044e-49	1.8213434948554815e-258	0.13549678622517625
EXO1_0_dirichlet_train1.1	0.6564736052819454	0.054774998949747786	0.16012093953209083	0.12863045623621594	1.15e-321
RNF168_0_dirichlet_train1.2	0.9095716690227246	6.67e-322	5.318105920700588e-139	1.042e-321	0.09042833097727547
RNF168_0_dirichlet_train1.3	0.876018449230812	1.003385683107025e-309	2.396e-321	0.03157528672446106	0.09240626404472689
RNF168_0_dirichlet_train1.4	0.880154787022676	3.305e-321	0.09597997537729344	0.001313236608833446	0.022552000991197033
RNF168_0_dirichlet_train1.5	0.7635353692890148	1.0503392280982157e-101	1.04e-321	0.23646463071098506	1.5e-321
RNF168_0_dirichlet_train1.6	0.6718982241201333	3.36e-322	0.005098312388383971	0.26504999873734747	0.057953464754135146
RNF168_0_dirichlet_train1.7	0.7847366908408546	0.08346853476349383	0.054047973785377526	2.43e-321	0.07774680061027402
RNF168_0_dirichlet_train1.8	0.8366974017840487	3.2559194820936518e-183	1.84e-321	0.051886034280088235	0.11141656393586302
EXO1_0_dirichlet_train1.2	0.6312467701901119	0.10724259415723061	1.832164473493529e-253	0.24091907061833276	0.02059156503432483
EXO1_0_dirichlet_train1.3	0.891588256240905	0.024943847697513843	1.24e-321	0.0788437668035306	0.004624129258050489
RNF168_0_dirichlet_train1.9	0.6802970492449117	1.556e-321	0.05660554605764109	0.12449238544700389	0.1386050192504432
EXO1_0_dirichlet_train1.4	0.6693718781002744	0.02740506366947792	3.113415040100798e-182	0.30322305823024764	1.46e-321
EXO1_0_dirichlet_train1.5	0.9200487097803371	4.46e-321	9.8e-322	0.07995129021966291	8.610219661488403e-37
EXO1_0_dirichlet_train1.6	0.8767222386650877	6.97e-322	3.5623160062865506e-277	0.12327776133491233	2.105e-321
