Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.962	0.264	26.4%	0.035	28.058%	0.06474	0.895
OGG1_0_real_train1	0.9999999999999968	0.998	0.198	19.8%	0.035	8.664%	0.09542	0.998
RNF168_0_real_train1	0.9999999999999989	0.954	0.345	34.5%	0.044	30.297%	0.13497	0.908
UNG_0_real_train1	0.9999999999999982	0.96	0.358	35.8%	0.056	27.916%	0.18175	0.946
ATP2B4_0_real_train1	0.9999999999999971	0.979	0.384	38.4%	0.052	21.525%	0.19428	0.975
ATP2B4_1_real_train1	0.9999999999999967	0.986	0.365	36.5%	0.053	18.967%	0.16495	0.984
MLH1_0_real_train1	0.9999999999999964	0.977	0.251	25.1%	0.043	22.628%	0.05978	0.969
MSH2_0_real_train1	0.999999999999996	0.984	0.22	22.0%	0.038	20.172%	0.05064	0.981
MSH6_0_real_train1	0.9999999999999951	0.991	0.168	16.8%	0.027	14.704%	0.03156	0.988
MSH6_1_real_train1	0.9999999999999969	0.987	0.198	19.8%	0.032	17.215%	0.04526	0.982
PMS1_0_real_train1	0.9999999999999964	0.914	0.454	45.4%	0.094	40.872%	0.28936	0.892
PMS2_0_real_train1	0.9999999999999952	0.819	0.555	55.5%	0.093	57.725%	0.23634	0.672
EXO1_0_dirichlet_train1	0.9999999999999967	0.801	0.715	71.5%	0.1	60.915%	0.45349	0.656
RNF168_0_dirichlet_train1	0.9999999999999989	0.75	0.753	75.3%	0.105	66.865%	0.57587	0.513
RNF168_0_dirichlet_train1.1	0.9999999999999991	0.775	0.805	80.5%	0.115	63.391%	0.60045	0.645
EXO1_0_dirichlet_train1.1	0.9999999999999967	0.783	0.728	72.8%	0.104	62.207%	0.46768	0.621
RNF168_0_dirichlet_train1.2	0.999999999999999	0.771	0.852	85.2%	0.118	63.689%	0.64962	0.65
RNF168_0_dirichlet_train1.3	0.999999999999999	0.693	0.865	86.5%	0.122	72.933%	0.67401	0.447
RNF168_0_dirichlet_train1.4	0.999999999999999	0.833	0.687	68.7%	0.093	55.759%	0.46962	0.717
RNF168_0_dirichlet_train1.5	0.9999999999999989	0.742	0.798	79.8%	0.111	66.979%	0.59921	0.53
RNF168_0_dirichlet_train1.6	0.999999999999999	0.74	0.842	84.2%	0.124	67.034%	0.6397	0.592
RNF168_0_dirichlet_train1.7	0.9999999999999991	0.814	0.741	74.1%	0.103	58.393%	0.4819	0.707
RNF168_0_dirichlet_train1.8	0.9999999999999989	0.708	0.852	85.2%	0.131	70.734%	0.76851	0.535
EXO1_0_dirichlet_train1.2	0.9999999999999964	0.694	0.816	81.6%	0.117	73.369%	0.51532	0.407
EXO1_0_dirichlet_train1.3	0.9999999999999969	0.805	0.673	67.3%	0.095	59.186%	0.39177	0.64
RNF168_0_dirichlet_train1.9	0.9999999999999989	0.774	0.821	82.1%	0.119	63.429%	0.6225	0.657
EXO1_0_dirichlet_train1.4	0.9999999999999969	0.762	0.715	71.5%	0.099	65.836%	0.48187	0.512
EXO1_0_dirichlet_train1.5	0.9999999999999969	0.699	0.775	77.5%	0.117	72.058%	0.5104	0.418
EXO1_0_dirichlet_train1.6	0.9999999999999969	0.787	0.697	69.7%	0.101	61.981%	0.40025	0.61
EXO1_0_dirichlet_train1.7	0.9999999999999969	0.695	0.793	79.3%	0.109	73.532%	0.50264	0.322
EXO1_0_dirichlet_train1.8	0.9999999999999969	0.77	0.707	70.7%	0.1	64.033%	0.47942	0.542
