Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	6.19E-04	8.79E-06	8.83E-04	9.80E-04	5.93E-04
OGG1_0_real_train1	1.32E-155	1.53E-04	6.47E-03	1.88E-02	1.50E-02
RNF168_0_real_train1	7.50E-04	0.00E+00	1.18E-03	3.64E-04	4.54E-04
UNG_0_real_train1	2.47E-03	1.85E-03	1.32E-03	1.63E-02	1.26E-02
ATP2B4_0_real_train1	1.52E-03	8.42E-32	1.50E-03	2.70E-03	2.37E-03
ATP2B4_1_real_train1	0.00E+00	1.09E-03	6.16E-03	1.95E-154	7.51E-03
MLH1_0_real_train1	0.00E+00	3.37E-03	0.00E+00	4.16E-03	4.19E-04
MSH2_0_real_train1	0.00E+00	2.99E-03	0.00E+00	3.92E-03	9.29E-04
MSH6_0_real_train1	0.00E+00	3.00E-03	0.00E+00	4.77E-03	1.98E-03
MSH6_1_real_train1	0.00E+00	3.28E-03	0.00E+00	4.80E-03	1.41E-03
PMS1_0_real_train1	0.00E+00	5.83E-02	4.06E-03	3.85E-03	2.17E-03
PMS2_0_real_train1	1.94E-04	1.77E-03	4.53E-03	0.00E+00	3.51E-03
EXO1_0_dirichlet_train1	9.71E-04	0.00E+00	0.00E+00	0.00E+00	1.25E-03
RNF168_0_dirichlet_train1	3.30E-04	0.00E+00	1.92E-03	2.20E-03	0.00E+00
RNF168_0_dirichlet_train1.1	3.24E-04	0.00E+00	7.13E-130	0.00E+00	1.29E-03
EXO1_0_dirichlet_train1.1	4.36E-04	5.66E-04	1.81E-03	1.97E-03	0.00E+00
RNF168_0_dirichlet_train1.2	3.97E-04	0.00E+00	0.00E+00	0.00E+00	7.24E-04
RNF168_0_dirichlet_train1.3	3.47E-04	0.00E+00	0.00E+00	9.55E-146	6.49E-04
RNF168_0_dirichlet_train1.4	7.71E-04	0.00E+00	1.31E-03	1.54E-03	7.74E-04
RNF168_0_dirichlet_train1.5	4.54E-04	0.00E+00	0.00E+00	7.41E-04	0.00E+00
RNF168_0_dirichlet_train1.6	1.41E-03	0.00E+00	1.88E-03	3.05E-03	2.99E-03
RNF168_0_dirichlet_train1.7	4.11E-04	2.14E-04	5.85E-04	0.00E+00	7.84E-04
RNF168_0_dirichlet_train1.8	1.33E-03	0.00E+00	0.00E+00	2.33E-03	1.38E-03
EXO1_0_dirichlet_train1.2	3.02E-04	7.91E-04	0.00E+00	1.82E-03	8.73E-04
EXO1_0_dirichlet_train1.3	7.38E-04	7.46E-04	0.00E+00	8.97E-04	5.77E-04
RNF168_0_dirichlet_train1.9	1.76E-03	0.00E+00	1.18E-03	3.20E-03	1.14E-03
EXO1_0_dirichlet_train1.4	3.89E-04	1.33E-158	0.00E+00	2.87E-04	0.00E+00
EXO1_0_dirichlet_train1.5	4.09E-03	0.00E+00	0.00E+00	5.37E-03	0.00E+00
EXO1_0_dirichlet_train1.6	9.55E-04	0.00E+00	0.00E+00	1.14E-03	0.00E+00
EXO1_0_dirichlet_train1.7	5.15E-04	2.09E-04	0.00E+00	0.00E+00	0.00E+00
EXO1_0_dirichlet_train1.8	2.07E-03	1.36E-03	0.00E+00	3.51E-03	0.00E+00
RNF168_0_dirichlet_train1.10	4.28E-04	5.47E-04	1.18E-03	9.79E-04	2.41E-04
EXO1_0_dirichlet_train1.9	1.08E-03	5.01E-04	0.00E+00	0.00E+00	5.59E-04
RNF168_0_dirichlet_train1.11	4.31E-04	7.62E-04	1.20E-03	1.22E-03	9.81E-05
RNF168_0_dirichlet_train1.12	5.60E-04	0.00E+00	2.61E-03	2.22E-03	6.06E-04
EXO1_0_dirichlet_train1.10	8.81E-04	8.59E-04	2.26E-04	0.00E+00	9.97E-04
EXO1_0_dirichlet_train1.11	2.43E-04	0.00E+00	1.61E-03	8.72E-04	1.39E-03
RNF168_0_dirichlet_train1.13	4.25E-04	1.57E-04	0.00E+00	3.45E-04	0.00E+00
RNF168_0_dirichlet_train1.14	4.71E-04	5.58E-04	3.27E-03	2.54E-03	0.00E+00
RNF168_0_dirichlet_train1.15	6.37E-04	0.00E+00	2.54E-03	2.96E-03	0.00E+00
RNF168_0_dirichlet_train1.16	3.52E-04	0.00E+00	2.20E-03	2.26E-03	0.00E+00
EXO1_0_dirichlet_train1.12	2.43E-03	0.00E+00	1.58E-83	4.29E-03	1.12E-03
RNF168_0_dirichlet_train1.17	7.06E-04	6.53E-04	3.68E-04	0.00E+00	6.17E-04
EXO1_0_dirichlet_train1.13	1.11E-03	5.48E-54	1.39E-03	0.00E+00	0.00E+00
RNF168_0_dirichlet_train1.18	3.84E-04	0.00E+00	1.19E-05	0.00E+00	7.32E-04
EXO1_0_dirichlet_train1.14	9.19E-04	3.99E-04	1.64E-03	1.83E-03	5.42E-04
RNF168_0_dirichlet_train1.19	1.00E-03	1.18E-03	8.76E-04	2.13E-03	8.53E-04
RNF168_0_dirichlet_train1.20	1.86E-03	0.00E+00	1.16E-03	2.84E-03	1.16E-03
EXO1_0_dirichlet_train1.15	5.43E-04	1.17E-03	1.26E-04	1.50E-03	0.00E+00
RNF168_0_dirichlet_train1.21	9.61E-04	0.00E+00	1.54E-161	0.00E+00	9.45E-04
RNF168_0_dirichlet_train1.22	5.40E-04	0.00E+00	1.02E-03	1.25E-03	6.17E-04
EXO1_0_dirichlet_train1.16	5.47E-04	7.36E-04	0.00E+00	0.00E+00	6.59E-04
EXO1_0_dirichlet_train1.17	9.50E-04	1.14E-03	0.00E+00	2.69E-03	0.00E+00
RNF168_0_dirichlet_train1.23	4.47E-04	0.00E+00	6.60E-109	9.58E-04	8.87E-04
EXO1_0_dirichlet_train1.18	5.44E-04	0.00E+00	4.83E-27	2.15E-03	1.49E-03
RNF168_0_dirichlet_train1.24	5.10E-04	4.85E-04	1.77E-03	8.82E-04	1.19E-03
RNF168_0_dirichlet_train1.25	1.62E-03	0.00E+00	4.41E-04	0.00E+00	1.84E-03
RNF168_0_dirichlet_train1.26	5.52E-04	5.12E-04	0.00E+00	8.94E-04	2.76E-04
RNF168_0_dirichlet_train1.27	8.24E-04	9.65E-04	3.37E-03	4.66E-03	0.00E+00
