NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.66	65.985	0.108	49.517	0.508	0.782	15000.0
2	0.66	65.99	0.108	49.51	0.505	0.782	15000.0
3	0.66	66.005	0.108	49.519	0.552	0.782	40000.0
4	0.66	65.972	0.108	49.507	0.549	0.782	30000.0
5	0.667	66.744	0.109	49.869	0.53	0.779	30000.0
6	0.668	66.796	0.109	49.901	0.554	0.779	25000.0
7	0.669	66.888	0.109	49.998	0.617	0.779	30000.0
8	0.667	66.674	0.109	49.842	0.505	0.78	15000.0
9	0.667	66.733	0.11	50.559	0.49	0.777	30000.0
10	0.667	66.749	0.109	49.882	0.544	0.779	40000.0
