gene_KO	SBS96A_HR	SBS96B_MMR	SBS96C_Control	SBS96D_BER_UNG	SBS96E_BER_OGG1
ATP2B4	0.05999462939703124	0.03880728599867793	0.6992937632889497	0.09033199456668456	0.11157232674865648
EXO1	0.8599878300290189	0.020448708929909725	0.01153079026419704	0.092857285546813	0.015175385230061312
RNF168	0.8699093147006645	0.026896161037064242	0.027290283686630803	0.059849237392020416	0.01605500318361993
UNG	0.02048004235638998	0.05515163586341894	0.03668011017027	0.8543988334647272	0.03328937814519377
OGG1	0.01504803421072809	0.016076831274711944	0.10676380778600833	0.07454378339358464	0.7875675433349669
MLH1	0.016119548299930214	0.9670128722937533	4.4758989546626375e-186	0.016692349836183108	0.00017522957013323018
MSH2	7.684843756155129e-250	0.9472229390531578	3.0317200987050033e-150	0.0523077878238592	0.0004692731229829273
MSH6	0.00025879189697969085	0.9850063069041042	0.001990076167879932	0.006910971793894311	0.0058338532371417975
PMS1	0.005682026228626076	0.2254192385036095	0.5363171799669301	0.21794153038357522	0.014640024917259038
PMS2	0.5067113600338563	0.4932886399661437	6.3e-322	3.06e-322	2.504660732382124e-111
