Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	8.29E-04	1.95E-04	9.43E-04	4.27E-05	5.75E-04
OGG1_0_real_train1	9.04E-04	1.74E-04	1.10E-03	8.77E-05	4.07E-05
RNF168_0_real_train1	1.55E-03	2.40E-04	1.56E-03	2.08E-05	4.97E-04
UNG_0_real_train1	3.22E-03	1.21E-04	2.94E-03	0.00E+00	1.53E-03
ATP2B4_0_real_train1	5.35E-03	1.17E-04	5.18E-03	4.19E-05	5.30E-04
ATP2B4_1_real_train1	6.82E-03	7.95E-05	6.92E-03	9.01E-05	1.49E-49
MLH1_0_real_train1	2.77E-04	0.00E+00	4.10E-140	6.59E-05	1.32E-04
MSH2_0_real_train1	4.17E-04	0.00E+00	4.50E-04	2.23E-05	3.43E-04
MSH6_0_real_train1	5.79E-05	6.01E-05	1.51E-04	1.89E-05	1.86E-04
MSH6_1_real_train1	3.54E-04	1.35E-04	2.75E-04	4.94E-05	1.35E-04
PMS1_0_real_train1	6.17E-03	0.00E+00	5.96E-03	3.40E-05	4.43E-04
PMS2_0_real_train1	1.53E-04	2.21E-04	2.42E-04	1.38E-04	0.00E+00
EXO1_0_multinomial_train1	3.45E-04	2.09E-04	7.51E-04	6.35E-05	5.76E-04
RNF168_0_multinomial_train1	2.26E-03	2.03E-04	2.22E-03	3.06E-05	4.43E-04
RNF168_0_multinomial_train1.1	2.43E-03	2.58E-04	2.48E-03	0.00E+00	3.58E-04
EXO1_0_multinomial_train1.1	4.68E-04	2.04E-04	6.71E-04	4.70E-05	4.75E-04
RNF168_0_multinomial_train1.2	2.59E-03	2.58E-04	2.70E-03	3.06E-05	2.08E-04
RNF168_0_multinomial_train1.3	1.63E-03	1.98E-04	1.60E-03	4.21E-05	5.97E-04
RNF168_0_multinomial_train1.4	2.13E-03	2.29E-04	2.13E-03	2.20E-05	4.19E-04
RNF168_0_multinomial_train1.5	2.52E-03	2.11E-04	2.44E-03	0.00E+00	5.70E-04
RNF168_0_multinomial_train1.6	1.28E-03	2.33E-04	1.38E-03	0.00E+00	7.68E-04
RNF168_0_multinomial_train1.7	1.04E-03	2.35E-04	1.13E-03	4.83E-05	5.73E-04
RNF168_0_multinomial_train1.8	1.05E-03	2.66E-04	1.14E-03	1.73E-05	3.95E-04
EXO1_0_multinomial_train1.2	1.59E-03	1.92E-04	1.54E-03	3.75E-05	6.07E-04
EXO1_0_multinomial_train1.3	2.38E-04	2.23E-04	6.37E-04	4.81E-05	4.76E-04
