Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	0.061201795611200344	0.5864953419354166	0.09486946106756519	0.02567558585260511	0.23175781553321284
OGG1_0_real_train1	0.8230267386818653	0.011456099373539827	0.08351785665678102	0.06076880875411935	0.02123049653369454
RNF168_0_real_train1	0.09018752299170175	0.5791296734646307	0.14187560233385174	0.007732929240758216	0.18107427196905743
UNG_0_real_train1	0.12125896842714358	0.08374110720868459	0.2543289103346856	4.0135811274530634e-222	0.5406710140294864
ATP2B4_0_real_train1	0.2721207507585469	0.15804454045849023	0.40135216920995476	0.010811443576075882	0.1576710959969322
ATP2B4_1_real_train1	0.33641844802362	0.032469496098821014	0.5102249315387324	0.1208871243388265	3.7465034795100513e-88
MLH1_0_real_train1	0.005712353908177276	5.041984282637552e-215	3.570779930446185e-143	0.8075870539737491	0.18670059211807366
MSH2_0_real_train1	0.0016151298380909596	4.13e-321	0.06001725646706511	0.7624642823312836	0.17590333136356034
MSH6_0_real_train1	0.011391343403543558	0.009218788105784753	0.02762388198015296	0.8194979655205273	0.1322680209899913
MSH6_1_real_train1	0.026948653004623048	0.02042683790084381	0.0005960400835922162	0.8335427477543861	0.11848572125655503
PMS1_0_real_train1	0.1755001358687716	4.202026058637226e-297	0.48716805697405285	0.1601533603077129	0.17717844684946252
PMS2_0_real_train1	0.027745123160675015	0.5140681385475658	0.024945247035700724	0.43324149125605843	1.215e-321
EXO1_0_multinomial_train1	0.08436785245471534	0.6173352935725247	0.048961259438395036	0.011997838198748511	0.23733775633561638
RNF168_0_multinomial_train1	0.08951123656482547	0.5424317868498124	0.20238025485219213	0.005251156317336022	0.16042556541583408
RNF168_0_multinomial_train1.1	0.10005846740824063	0.5819790889157656	0.20281478771726635	1.4e-321	0.11514765595872754
EXO1_0_multinomial_train1.1	0.07656546592858529	0.5774868725832103	0.06338140830256761	0.08999999536637684	0.19256625781925993
RNF168_0_multinomial_train1.2	0.0885469563118252	0.5663696180286116	0.21779490309332386	0.05809018536365628	0.0691983372025831
RNF168_0_multinomial_train1.3	0.09374261760815987	0.5064259051938684	0.14876697219117324	0.03394053044597001	0.2171239745608285
RNF168_0_multinomial_train1.4	0.11043630469111335	0.5290022487088082	0.17866576848417798	0.043967429139375416	0.13792824897652503
RNF168_0_multinomial_train1.5	0.020564348318651945	0.5657035634682843	0.2183143943564026	2.18e-321	0.19541769385666105
RNF168_0_multinomial_train1.6	0.10392720636948201	0.5308041614969011	0.11392163332778978	1.4847269598490847e-286	0.25134699880582706
RNF168_0_multinomial_train1.7	0.06467200789002685	0.5912057644950961	0.10397200960215286	0.019796231714757275	0.2203539862979669
RNF168_0_multinomial_train1.8	0.13212844073171318	0.6117336278310179	0.10319762399766265	0.008700958962964493	0.14423934847664177
EXO1_0_multinomial_train1.2	0.030239358179875254	0.5795139409234825	0.15477330791907548	0.011065778951644022	0.22440761402592252
EXO1_0_multinomial_train1.3	0.0952792781102988	0.6387321250192916	0.023278226487632656	0.048204503465986655	0.1945058669167904
RNF168_0_multinomial_train1.9	0.07418518720689993	0.6098446398974084	0.14275389933071242	3.014e-321	0.17321627356497912
EXO1_0_multinomial_train1.4	0.056060608890587255	0.5904653484683513	0.10105751894087196	0.002948525828457432	0.24946799787173207
EXO1_0_multinomial_train1.5	0.06782868505669819	0.5813050894718614	0.08375811747944237	0.03371325413043298	0.23339485386156503
EXO1_0_multinomial_train1.6	0.058314719720042166	0.5919626509604958	0.09023929626199825	2.2793672272870954e-89	0.2594833330574638
EXO1_0_multinomial_train1.7	0.07332715877703909	0.5897570330282049	0.05057601693690766	0.02900128872176144	0.257338502536087
EXO1_0_multinomial_train1.8	0.05623572333495312	0.5245460884939358	0.12554666416766827	0.025524667355039162	0.26814685664840365
