Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_real_train1	0.999999999999996	0.959	0.278	27.8%	0.038	30.463%	0.07367	0.897
OGG1_0_real_train1	0.9999999999999968	0.999	0.135	13.5%	0.02	4.951%	0.06042	0.999
RNF168_0_real_train1	0.9999999999999989	0.951	0.35	35.0%	0.045	30.985%	0.1358	0.901
UNG_0_real_train1	0.9999999999999982	0.95	0.391	39.1%	0.063	31.406%	0.18355	0.931
ATP2B4_0_real_train1	0.9999999999999971	0.977	0.376	37.6%	0.053	21.939%	0.18727	0.972
ATP2B4_1_real_train1	0.9999999999999967	0.986	0.354	35.4%	0.05	17.894%	0.15756	0.984
MLH1_0_real_train1	0.9999999999999964	0.98	0.215	21.5%	0.039	20.523%	0.1236	0.972
MSH2_0_real_train1	0.999999999999996	0.987	0.176	17.6%	0.032	16.987%	0.03253	0.983
MSH6_0_real_train1	0.9999999999999951	0.992	0.149	14.9%	0.024	13.07%	0.02223	0.989
MSH6_1_real_train1	0.9999999999999969	0.987	0.169	16.9%	0.03	16.139%	0.04023	0.982
PMS1_0_real_train1	0.9999999999999964	0.923	0.431	43.1%	0.089	38.698%	0.24941	0.903
PMS2_0_real_train1	0.9999999999999952	0.8	0.576	57.6%	0.098	60.829%	0.24751	0.64
EXO1_0_multinomial_train1	0.9999999999999962	0.944	0.314	31.4%	0.044	34.544%	0.09447	0.858
RNF168_0_multinomial_train1	0.999999999999999	0.902	0.508	50.8%	0.066	43.19%	0.26893	0.815
RNF168_0_multinomial_train1.1	0.999999999999999	0.877	0.571	57.1%	0.081	48.142%	0.34058	0.797
EXO1_0_multinomial_train1.1	0.9999999999999961	0.943	0.324	32.4%	0.044	34.139%	0.10239	0.852
RNF168_0_multinomial_train1.2	0.9999999999999989	0.88	0.568	56.8%	0.078	47.325%	0.32914	0.797
RNF168_0_multinomial_train1.3	0.9999999999999989	0.887	0.552	55.2%	0.073	46.207%	0.34495	0.797
RNF168_0_multinomial_train1.4	0.999999999999999	0.927	0.475	47.5%	0.061	37.561%	0.23684	0.878
RNF168_0_multinomial_train1.5	0.999999999999999	0.867	0.561	56.1%	0.077	49.896%	0.30531	0.747
RNF168_0_multinomial_train1.6	0.9999999999999989	0.89	0.569	56.9%	0.077	45.721%	0.3145	0.823
RNF168_0_multinomial_train1.7	0.9999999999999991	0.87	0.564	56.4%	0.074	49.265%	0.30241	0.74
