Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	0.9001226709779733	0.013469029592006394	8.990898506500029e-142	0.08640829943002036	1.396729968396718e-160
OGG1_0_real_train1	3.880554229313101e-45	0.044188509175923874	1.4247584634495988e-15	0.08171606417472266	0.8740954266493519
RNF168_0_real_train1	0.8675054746816112	1.3777020625067248e-169	0.05566756652927774	0.054825913766701595	0.02200104502240947
UNG_0_real_train1	0.0513984417333625	2.3960764978570326e-124	0.012300205808698504	0.9201433846005607	0.01615796785737836
ATP2B4_0_real_train1	0.1618673249500584	6.877508914761218e-56	0.6452474561806343	0.1501865109296178	0.04269870793968946
ATP2B4_1_real_train1	1.642045698511199e-134	0.07004028579497923	0.8807322860572762	3.5820927388895287e-230	0.04922742814774472
MLH1_0_real_train1	2.747e-321	1.0	1.35e-321	4.357034205342006e-102	2.283e-321
MSH2_0_real_train1	1.925615584408534e-309	0.9403517998743377	3.0405120519082288e-149	0.059648200125662285	1.5233935370757588e-75
MSH6_0_real_train1	2.548611835198174e-268	0.9902220073317167	2.281617844324917e-228	4.7310829505159543e-206	0.009777992668283246
MSH6_1_real_train1	3.053e-321	0.9835658427430131	2.01e-321	1.537e-321	0.016434157256986954
PMS1_0_real_train1	1.8714081672205693e-165	0.1697992897655541	0.5404874498369282	0.2897132603975176	1.3330882688072563e-111
PMS2_0_real_train1	0.4632633232829207	0.5367366767170791	1.56e-321	3.06e-322	2.261936e-318
EXO1_0_multinomial_train1	0.9340270335723567	0.0025599866455548767	3.163891175891595e-195	0.052674731917617956	0.010738247864470382
RNF168_0_multinomial_train1	0.8148775074771583	1.0164220598048072e-167	0.17493607527238195	0.010186417250459635	1.9243385026585038e-220
RNF168_0_multinomial_train1.1	0.8136837721309159	1.23e-321	0.18371844196535625	2.5106343927414326e-122	0.002597785903727866
EXO1_0_multinomial_train1.1	0.8839977207538783	0.09225344234345399	2.573521327750572e-154	0.003938676503288033	0.01981016039937953
RNF168_0_multinomial_train1.2	0.8277637150125563	0.000626044865263751	0.17161024010619164	2.44726e-318	1.5988190930104974e-11
RNF168_0_multinomial_train1.3	0.7981967252012407	0.005550593416732996	0.054491361553256734	0.1217962366036031	0.01996508322516647
RNF168_0_multinomial_train1.4	0.7979381957114072	0.019280138128071087	0.16619510485396224	8.273717993258466e-25	0.016586561306559344
RNF168_0_multinomial_train1.5	0.860657988799547	1.59e-321	3.7423597684982016e-05	0.13930458760276795	8.65e-322
RNF168_0_multinomial_train1.6	0.7817839793959415	2.72e-321	1.6019397667382713e-136	0.177949780703469	0.04026623990058938
RNF168_0_multinomial_train1.7	0.8951535603592636	5.593312817390909e-13	2.6796934549236814e-148	0.10454878967687886	0.00029764996329817705
RNF168_0_multinomial_train1.8	0.9081026243118996	4.0082195827707854e-184	0.0059565145892392195	4.571181946354282e-61	0.08594086109886115
EXO1_0_multinomial_train1.2	0.8958274147391174	0.0022729813992750517	1.542986335141431e-224	0.1018996038616077	6.1e-322
EXO1_0_multinomial_train1.3	0.9489351763785027	0.02862122054042814	2.61e-321	3.570359708679355e-231	0.022443603081069304
RNF168_0_multinomial_train1.9	0.9142429984179005	2.03e-321	0.0811392595566203	0.004617742025479186	2.7255349797063216e-71
EXO1_0_multinomial_train1.4	0.90165065081648	6.8027979376027715e-75	4.658965322265304e-255	0.09834934918351991	1.58e-321
EXO1_0_multinomial_train1.5	0.8860200205125657	0.026066232689381297	8.678989932592417e-98	0.08704505289922916	0.0008686938988240892
EXO1_0_multinomial_train1.6	0.9006063101371653	1.0013089827047947e-132	2.46e-321	0.09939368986283484	1.47e-321
EXO1_0_multinomial_train1.7	0.8871105427549317	0.028717579533481936	1.4694e-320	0.0841718777115863	5.861474106111586e-123
EXO1_0_multinomial_train1.8	0.8106033542574342	0.01588755073534855	3.549281304188524e-231	0.17350909500721726	1.714e-321
RNF168_0_multinomial_train1.10	0.7737408665888885	2.518931849268308e-280	2.1381996020016738e-194	0.12414836415473532	0.10211076925637606
EXO1_0_multinomial_train1.9	0.9528080293586106	0.04719197064138925	1.324e-321	1.0847675823570993e-281	9.14e-322
RNF168_0_multinomial_train1.11	0.8596620574681938	5.896088392728081e-70	0.00432474766907414	0.1360131948627321	1.57e-321
RNF168_0_multinomial_train1.12	0.87554483570644	0.02699616578369826	0.07656459901265576	2.082646898836254e-37	0.020894399497206066
EXO1_0_multinomial_train1.10	0.9024812688336245	0.04059924923795857	1.64e-321	0.05691948192841704	7.1e-322
EXO1_0_multinomial_train1.11	0.8460463774905034	0.040197304338142656	4.000716668433726e-242	0.11375631817135394	7.295010680670906e-192
RNF168_0_multinomial_train1.13	0.8269772986987504	0.14127254874692358	1.2795902987364235e-183	1.57e-321	0.031750152554326075
RNF168_0_multinomial_train1.14	0.8347262570588934	0.0019475557058533926	0.14036836298474753	0.022957824250505802	7.425170432058494e-56
RNF168_0_multinomial_train1.15	0.8796478372980284	0.01624911685947929	5.618229602906023e-192	0.09456662435139403	0.009536421491098223
RNF168_0_multinomial_train1.16	0.8244054235406281	4.213910190932808e-38	0.06929612168500149	0.06640120812176963	0.03989724665260096
EXO1_0_multinomial_train1.12	0.9135519485766369	1.8692055174524506e-160	3.3749428191465835e-142	0.05849943341232802	0.02794861801103504
RNF168_0_multinomial_train1.17	0.782537805250376	0.0019122656537273416	0.08234729931387352	0.13217200383865738	0.001030625943365666
EXO1_0_multinomial_train1.13	0.8951416894596987	2.3961459111181884e-132	1.2068938530485583e-108	0.08535063007632886	0.019507680463972506
RNF168_0_multinomial_train1.18	0.8037515854169612	2.15e-321	0.17464695218491588	1.4697711511007174e-16	0.021601462398122797
EXO1_0_multinomial_train1.14	0.892912070079687	0.012215861795629071	8.576438884825268e-203	0.09454197021755024	0.000330097907133767
RNF168_0_multinomial_train1.19	0.9709696705224479	8.362887288555581e-106	8.175116947157074e-173	2.7252197939807973e-210	0.02903032947755221
RNF168_0_multinomial_train1.20	0.9233019602883682	4.54584167100091e-108	1.136e-321	0.07669803971163182	3.9e-322
EXO1_0_multinomial_train1.15	0.8834933722653572	0.012812443941461325	1.062754274756425e-208	0.10369418379318153	1.1767871763169507e-231
RNF168_0_multinomial_train1.21	0.7992817413787464	1.8007717306056795e-66	5.654579368771511e-161	0.12775966956444212	0.07295858905681153
RNF168_0_multinomial_train1.22	0.698627847737316	0.021735967150802	0.040442947508140266	0.1970843675284197	0.042108870075322026
EXO1_0_multinomial_train1.16	0.8446203946933192	0.02971357654012795	1.58e-321	0.12566602876655283	6.77e-322
EXO1_0_multinomial_train1.17	0.9197294055066256	0.027867297197778935	8.709376156639384e-290	0.05240329729559532	1.126e-321
RNF168_0_multinomial_train1.23	0.9547489647576701	2.1634844629267285e-158	3.711146036238168e-227	0.014051466082548432	0.03119956915978155
EXO1_0_multinomial_train1.18	0.813587483043215	0.03334560603988826	1.0171012611498349e-268	0.1530669109168967	1.126e-321
RNF168_0_multinomial_train1.24	0.929666773566678	3.678722271926816e-297	0.07033322643332204	5.0704971458833176e-164	7.521715363508328e-220
