	0	1	2	3	4	5	6	7	8	9
0	[174.5358461992783, 8.165198546830235, 1663.7064765244806, 0.23999999463558197, 0.0]	[174.52427640978857, 8.168453674096604, 1663.5582273569196, 0.25583332777023315, 0.0]	[174.5040873481273, 8.166465191614527, 1663.3762215651277, 0.2824999988079071, 0.0]	[174.52057031434276, 8.17081454175805, 1663.497557725847, 0.26750001311302185, 0.0]	[174.50381839131705, 8.169425372361745, 1663.3439301895528, 0.2983333468437195, 0.0]	[174.50358267413995, 8.164608854427192, 1663.3897381971274, 0.24833333492279053, 0.0]	[174.52560626141673, 8.17234003926923, 1663.532662221475, 0.25583332777023315, 0.0]	[174.50495060936672, 8.185274958033641, 1663.1967565133307, 0.2966666519641876, 0.0]	[174.5109886744061, 8.166604275265781, 1663.4438439914031, 0.2633333206176758, 0.0]	[174.53075946822472, 8.182355728754667, 1663.4840373947004, 0.2433333396911621, 0.0]
100	[3.3996491460128744, 2.5803581536763107, 8.192909923365635, 1.0, 0.0]	[6.305881450350777, 3.293006212822749, 30.128752375280282, 1.0, 0.0]	[3.5345359297987295, 2.713568148422952, 8.209677813757775, 1.0, 0.0]	[3.47733171344003, 2.5792102885291683, 8.981214249108616, 1.0, 0.0]	[3.8599545881831636, 2.597624764917745, 12.62329823265419, 1.0, 0.0]	[3.62022957766142, 2.7471578630600555, 8.730717146013644, 1.0, 0.0]	[3.5234033222195436, 2.6384130334242952, 8.849902887952481, 1.0, 0.0]	[3.38665300024933, 2.584782253288582, 8.01870746960748, 1.0, 0.0]	[3.4725719368859314, 2.6483999931813633, 8.241719437045681, 1.0, 0.0]	[3.4024454418147974, 2.5870976190912383, 8.153478227235592, 1.0, 0.0]
200	[3.005182287564538, 2.507556466777118, 4.976258207874201, 1.0, 0.0]	[4.831154579823677, 3.0793234951453683, 17.518310846783088, 1.0, 0.0]	[3.1004473609614287, 2.5834204582781655, 5.17026902683263, 1.0, 0.0]	[3.0199188537684196, 2.4959780139083425, 5.239408398600769, 1.0, 0.0]	[3.249390338860362, 2.4632766950611464, 7.861136437992154, 1.0, 0.0]	[3.1864559332217484, 2.640137570303714, 5.46318362918034, 1.0, 0.0]	[3.012124629980022, 2.5351975566410956, 4.7692707333892645, 1.0, 0.0]	[2.984293958189495, 2.511124112085061, 4.731698461044342, 1.0, 0.0]	[3.0468358315421833, 2.5429159312999636, 5.039199002422197, 1.0, 0.0]	[3.00181596510281, 2.518835105557392, 4.829808595454181, 1.0, 0.0]
300	[2.854391527860932, 2.4812340076884922, 3.7315752017243975, 1.0, 0.0]	[4.3491354090411605, 2.949738285790565, 13.993971232505956, 1.0, 0.0]	[2.9234736781998714, 2.529249755036094, 3.942239231637772, 1.0, 0.0]	[2.860220255036292, 2.4708820717264155, 3.893381833098765, 1.0, 0.0]	[3.031632961947939, 2.4252275846423546, 6.064053773055848, 1.0, 0.0]	[3.018727293711651, 2.5853844977116496, 4.333427960000016, 1.0, 0.0]	[2.8454094377823216, 2.4980265343736185, 3.4738290340870295, 1.0, 0.0]	[2.8420586010676647, 2.480419470193373, 3.6163913087429154, 1.0, 0.0]	[2.886886982811538, 2.5002867140938956, 3.866002687176424, 1.0, 0.0]	[2.85023693232731, 2.490569820832761, 3.5966711149454866, 1.0, 0.0]
400	[2.7730265349543144, 2.4646364165590486, 3.0839011839526576, 1.0, 0.0]	[4.41172143371314, 2.7288587141576492, 16.828627195554905, 1.0, 0.0]	[2.824023694571883, 2.4979557856728425, 3.260679088990408, 1.0, 0.0]	[2.7768801968452395, 2.4573248981709144, 3.1955529867432504, 1.0, 0.0]	[2.9119576628526587, 2.405103911420803, 5.068537514318558, 1.0, 0.0]	[2.9090792312094393, 2.5434493861427114, 3.6562984506672795, 1.0, 0.0]	[2.761840076111658, 2.4763547816685954, 2.854852944430627, 1.0, 0.0]	[2.7656789808868036, 2.4616524189186806, 3.0402656196812288, 1.0, 0.0]	[2.7976774828470914, 2.475057619930492, 3.2261986291659968, 1.0, 0.0]	[2.7708774654954746, 2.472559516986984, 2.983179485084908, 1.0, 0.0]
500	[2.7220716933287794, 2.452808819288216, 2.6926287404056337, 1.0, 0.0]	[3.7847605578762877, 2.558507376956216, 12.262531809200713, 1.0, 0.0]	[2.760608284448984, 2.4776909138505494, 2.8291737059843447, 1.0, 0.0]	[2.7258633105211265, 2.4472991558654105, 2.7856415465571613, 1.0, 0.0]	[2.841111531489835, 2.393134553579999, 4.479769779098361, 1.0, 0.0]	[2.8336144455209107, 2.513243350916756, 3.2037109460415443, 1.0, 0.0]	[2.711226364556479, 2.4618532446017336, 2.4937311995474554, 1.0, 0.0]	[2.7168026084621655, 2.4484541849163617, 2.6834842354580397, 1.0, 0.0]	[2.7411929394655448, 2.458504018162699, 2.8268892130284575, 1.0, 0.0]	[2.721776786248414, 2.4595098374469244, 2.622669488014896, 1.0, 0.0]
600	[2.687440124200586, 2.443889459159984, 2.43550665040602, 1.0, 0.0]	[3.2438143672449615, 2.4997464679404864, 7.4406789930447506, 1.0, 0.0]	[2.715905658648229, 2.463381219552375, 2.5252443909585423, 1.0, 0.0]	[2.6905291634392494, 2.439164721656497, 2.513644417827522, 1.0, 0.0]	[2.7933122306384637, 2.3843437359881303, 4.089684946503334, 1.0, 0.0]	[2.779398773897776, 2.49156817443282, 2.8783059946495584, 1.0, 0.0]	[2.67781506467056, 2.4517004350371856, 2.261146296333744, 1.0, 0.0]	[2.682732954182301, 2.43858584980369, 2.44147104378611, 1.0, 0.0]	[2.7022643351864053, 2.4461888861517003, 2.5607544903470507, 1.0, 0.0]	[2.690507357023441, 2.4488717954650436, 2.4163556155839725, 1.0, 0.0]
700	[2.663149478531978, 2.4369459227027552, 2.262035558292227, 1.0, 0.0]	[3.0044609189182334, 2.470157309209951, 5.343036097082824, 1.0, 0.0]	[2.6838530361444315, 2.4529566459938477, 2.308963901505837, 1.0, 0.0]	[2.6654054620272936, 2.432351190582472, 2.3305427144482134, 1.0, 0.0]	[2.7592671435895766, 2.3777783299564597, 3.8148881363311675, 1.0, 0.0]	[2.7394095584567295, 2.474180469581738, 2.6522908887499153, 1.0, 0.0]	[2.6557683832666514, 2.442962021676721, 2.128063615899304, 1.0, 0.0]	[2.658385549114221, 2.4305531460108356, 2.278324031033854, 1.0, 0.0]	[2.6743744548910318, 2.436960905659207, 2.374135492318244, 1.0, 0.0]	[2.6673981063182226, 2.440121815524854, 2.2727629079336857, 1.0, 0.0]
800	[2.6469616999852597, 2.430144883215972, 2.168168167692876, 1.0, 0.0]	[2.887470164525615, 2.448926737214304, 4.38543427311311, 1.0, 0.0]	[2.662193578179238, 2.443444188120255, 2.1874939005898315, 1.0, 0.0]	[2.646328149439473, 2.4267825360173907, 2.1954561342208203, 1.0, 0.0]	[2.733539201291638, 2.3725973397092996, 3.6094186158233814, 1.0, 0.0]	[2.7114187783698447, 2.4595588249191267, 2.5185995345071817, 1.0, 0.0]	[2.641204667317191, 2.4345927312533937, 2.0661193606379715, 1.0, 0.0]	[2.6403487262379173, 2.4239784984462927, 2.1637022779162454, 1.0, 0.0]	[2.6537540367899766, 2.4294592074124046, 2.2429482937757195, 1.0, 0.0]	[2.649806561810306, 2.432638746096591, 2.1716781571371495, 1.0, 0.0]
900	[2.6341488005386937, 2.424029359043709, 2.1011944149498474, 1.0, 0.0]	[2.8239679659710792, 2.4307091051463257, 3.932588608247534, 1.0, 0.0]	[2.6464230044039674, 2.4352158790905944, 2.112071253133731, 1.0, 0.0]	[2.6309305048193856, 2.4221090195281856, 2.0882148529119986, 1.0, 0.0]	[2.7136592399975066, 2.36846914596993, 3.451900940275766, 1.0, 0.0]	[2.686626191610833, 2.4475313590387433, 2.3909483257208977, 1.0, 0.0]	[2.629253279527429, 2.4272717712639786, 2.019815082634504, 1.0, 0.0]	[2.626527135562505, 2.4189471255552, 2.0758001000730486, 1.0, 0.0]	[2.638084626058225, 2.4232464125468476, 2.148382135113774, 1.0, 0.0]	[2.6352633845130873, 2.4264380465619504, 2.088253379511367, 1.0, 0.0]
