NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.403	40.349	0.063	30.504	0.279	0.908	60000.0
2	0.403	40.34	0.063	30.51	0.304	0.908	35000.0
3	0.404	40.36	0.063	30.512	0.261	0.908	15000.0
4	0.404	40.357	0.063	30.51	0.263	0.908	15000.0
5	0.399	39.93	0.063	30.319	0.284	0.909	105000.0
6	0.404	40.362	0.063	30.517	0.266	0.908	15000.0
7	0.403	40.349	0.063	30.504	0.278	0.908	60000.0
8	0.403	40.349	0.063	30.505	0.282	0.908	105000.0
9	0.403	40.339	0.063	30.5	0.283	0.908	105000.0
10	0.403	40.344	0.063	30.505	0.265	0.908	15000.0
