Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_2_real_test	999.9999999999955	0.932	369.327	36.933%	47.832	38.364%	0.11825	0.819
OGG1_3_real_test	999.9999999999972	0.788	726.402	72.64%	256.27	65.082%	0.40335	0.778
RNF168_3_real_test	999.9999999999994	0.936	363.3	36.33%	47.835	35.285%	0.12367	0.846
UNG_3_real_test	999.9999999999978	0.911	509.85	50.985%	82.925	41.528%	0.27789	0.879
ATP2B4_6_real_test	999.9999999999977	0.932	444.502	44.45%	83.103	36.949%	0.20269	0.916
ATP2B4_7_real_test	999.9999999999984	0.904	640.104	64.01%	111.017	44.073%	0.35828	0.887
MLH1_3_real_test	999.9999999999958	0.974	265.354	26.535%	40.381	22.858%	0.07968	0.961
MSH2_2_real_test	999.9999999999955	0.967	293.861	29.386%	46.684	25.608%	0.09226	0.951
MSH6_7_real_test	999.9999999999957	0.978	246.907	24.691%	37.717	20.76%	0.08139	0.968
PMS1_3_real_test	999.9999999999977	0.92	474.107	47.411%	80.318	39.565%	0.26017	0.893
PMS2_3_real_test	999.9999999999957	0.949	335.913	33.591%	51.579	31.714%	0.12522	0.915
EXO1_2_multinomial_test	999.9999999999953	0.95	314.3	31.43%	39.439	31.376%	0.08391	0.852
RNF168_3_multinomial_test	999.9999999999995	0.899	467.217	46.722%	61.993	44.788%	0.21076	0.774
RNF168_3_multinomial_test.1	999.9999999999995	0.923	414.767	41.477%	56.463	38.417%	0.18139	0.846
EXO1_2_multinomial_test.1	999.9999999999949	0.928	361.456	36.146%	49.294	37.968%	0.11547	0.809
RNF168_3_multinomial_test.2	999.9999999999997	0.913	431.017	43.102%	55.585	40.799%	0.18909	0.791
RNF168_3_multinomial_test.3	999.9999999999995	0.922	416.139	41.614%	54.755	38.717%	0.1509	0.829
RNF168_3_multinomial_test.4	999.9999999999995	0.89	446.988	44.699%	62.947	45.94%	0.19665	0.735
RNF168_3_multinomial_test.5	999.9999999999997	0.907	451.717	45.172%	58.88	42.249%	0.19657	0.787
RNF168_3_multinomial_test.6	999.9999999999997	0.91	417.728	41.773%	57.469	41.639%	0.18222	0.788
RNF168_3_multinomial_test.7	999.9999999999995	0.902	446.027	44.603%	62.669	43.477%	0.17377	0.796
RNF168_3_multinomial_test.8	999.9999999999995	0.921	434.719	43.472%	53.583	39.663%	0.18297	0.815
EXO1_2_multinomial_test.2	999.9999999999951	0.932	367.411	36.741%	47.512	36.316%	0.11745	0.816
EXO1_2_multinomial_test.3	999.9999999999953	0.939	318.936	31.894%	44.385	34.722%	0.10369	0.832
RNF168_3_multinomial_test.9	999.9999999999995	0.906	452.505	45.251%	59.119	42.545%	0.17461	0.788
EXO1_2_multinomial_test.4	999.9999999999952	0.942	339.419	33.942%	43.156	34.488%	0.09784	0.831
EXO1_2_multinomial_test.5	999.9999999999955	0.939	325.814	32.581%	43.258	34.72%	0.10364	0.81
EXO1_2_multinomial_test.6	999.9999999999952	0.914	393.617	39.362%	52.562	41.354%	0.13334	0.755
EXO1_2_multinomial_test.7	999.9999999999952	0.924	362.476	36.248%	50.191	39.023%	0.12773	0.794
EXO1_2_multinomial_test.8	999.9999999999952	0.927	369.563	36.956%	48.787	39.272%	0.11824	0.796
RNF168_3_multinomial_test.10	999.9999999999997	0.93	378.557	37.856%	50.376	36.838%	0.16955	0.838
EXO1_2_multinomial_test.9	999.9999999999955	0.922	389.56	38.956%	51.32	40.712%	0.14507	0.796
RNF168_3_multinomial_test.11	999.9999999999995	0.934	393.836	39.384%	50.997	35.827%	0.14576	0.859
RNF168_3_multinomial_test.12	999.9999999999995	0.907	466.921	46.692%	60.109	43.878%	0.20401	0.797
EXO1_2_multinomial_test.10	999.9999999999952	0.92	389.939	38.994%	51.484	40.398%	0.13784	0.785
EXO1_2_multinomial_test.11	999.9999999999951	0.935	338.149	33.815%	45.41	36.127%	0.11073	0.814
RNF168_3_multinomial_test.13	999.9999999999995	0.907	449.905	44.991%	59.846	43.47%	0.20488	0.799
RNF168_3_multinomial_test.14	999.9999999999994	0.919	386.496	38.65%	55.882	39.593%	0.14331	0.821
RNF168_3_multinomial_test.15	999.9999999999995	0.935	388.442	38.844%	50.71	35.526%	0.16083	0.861
