split,bootstrap,accuracy,f1_score,recall,C
0,dirichlet,0.73475,0.7276831911645794,0.73475,0.01
1,dirichlet,0.7265,0.7207775450273012,0.7265,0.01
2,dirichlet,0.7285,0.7216022536465668,0.7285,0.01
3,dirichlet,0.70925,0.7027593424622159,0.7092499999999999,0.01
4,dirichlet,0.75375,0.7504478780790962,0.7537499999999999,0.01
5,dirichlet,0.74475,0.7343352642014627,0.74475,0.01
6,dirichlet,0.76025,0.7550231954106568,0.7602500000000001,0.01
7,dirichlet,0.695,0.6926176077612595,0.6950000000000001,0.01
8,dirichlet,0.742,0.7366601491977114,0.7419999999999999,0.01
9,dirichlet,0.66175,0.6504447794799777,0.66175,0.01
10,dirichlet,0.7765,0.7727108085446168,0.7765,0.01
