split,bootstrap,accuracy,f1_score,recall,best_C
0,dirichlet,0.8785,0.8767250493976771,0.8785,39.810717055349734
1,dirichlet,0.91675,0.9168217731360969,0.91675,39.810717055349734
2,dirichlet,0.846,0.8403096202644005,0.8460000000000001,100.0
3,dirichlet,0.867,0.8658567881957872,0.867,39.810717055349734
4,dirichlet,0.90975,0.9101571675653158,0.9097500000000001,15.848931924611142
5,dirichlet,0.81,0.8114251767983175,0.8099999999999999,15.848931924611142
6,dirichlet,0.88425,0.8837778255012454,0.8842500000000001,39.810717055349734
7,dirichlet,0.844,0.8371922350789811,0.844,100.0
8,dirichlet,0.869,0.8644517414429039,0.869,100.0
9,dirichlet,0.8295,0.8302759937145947,0.8295,15.848931924611142
10,dirichlet,0.91225,0.9114263266200122,0.9122499999999999,39.810717055349734
