split,bootstrap,accuracy,f1_score,recall,best_C
0,multinomial,0.97325,0.9732315278810713,0.97325,39.810717055349734
1,multinomial,0.96125,0.9612820506385173,0.96125,39.810717055349734
2,multinomial,0.93475,0.9337926962874218,0.93475,100.0
3,multinomial,0.95175,0.9514687213260198,0.9517500000000001,100.0
4,multinomial,0.9825,0.9825867495390778,0.9824999999999999,39.810717055349734
5,multinomial,0.9105,0.9106818169205685,0.9105,100.0
6,multinomial,0.97475,0.9747120611953461,0.97475,39.810717055349734
7,multinomial,0.89175,0.8867824083259003,0.89175,100.0
8,multinomial,0.94925,0.9486769449408294,0.94925,100.0
9,multinomial,0.90325,0.9019707836353261,0.90325,100.0
10,multinomial,0.9645,0.9645069787601259,0.9645,100.0
