split,bootstrap,accuracy,f1_score,recall,best_C
0,multinomial,0.9645,0.9644893378406032,0.9644999999999999,0.3981071705534973
1,multinomial,0.908,0.9057474425351291,0.908,0.025118864315095794
2,multinomial,0.944,0.9439912786785489,0.944,0.01
3,multinomial,0.9525,0.9524216259918812,0.9525,0.06309573444801933
4,multinomial,0.88625,0.881058169237629,0.88625,0.15848931924611143
5,multinomial,0.97625,0.9762747277886348,0.97625,0.15848931924611143
6,multinomial,0.90675,0.9038918138260078,0.90675,0.3981071705534973
7,multinomial,0.9345,0.9344214704580677,0.9345000000000001,1.0
8,multinomial,0.99475,0.9947471172618818,0.99475,0.01
9,multinomial,0.97325,0.9732038758526074,0.9732500000000001,0.01
10,multinomial,0.97625,0.9762379104151442,0.9762500000000001,0.01
