split,bootstrap,lambda_c,accuracy_test,f1_test,recall_test,Lrec_train,Lce_train,Ltot_train,stability,n_filter,epochs_mean,k,lr,lambda_p,reps
0,dirichlet,0.1,0.86325,0.8626409907157486,7.280523421469318,0.4527315685294007,0.0024334920459430174,0.45297491773399506,0.99,0,15000.0,5,0.005,0.0001,10
1,dirichlet,0.1,0.89325,0.8931024294559358,7.166726862338899,0.4622308446243092,0.002081476340258211,0.462438992258335,1.0,0,24500.0,5,0.005,0.0001,10
2,dirichlet,0.1,0.8695,0.8685623353007775,7.310191310920317,0.46362361848166145,0.0020586807833022983,0.46382948655999173,1.0,0,24500.0,5,0.005,0.0001,10
3,dirichlet,0.1,0.852,0.8511423223404002,6.981335239390794,0.46268217460007277,0.002345777152507017,0.4629167523153234,1.0,0,20500.0,5,0.005,0.0001,10
4,dirichlet,0.1,0.8745,0.8744448645253373,7.206086458030349,0.4663451861455206,0.002356790297595204,0.46658086517528014,1.0,0,20500.0,5,0.005,0.0001,10
5,dirichlet,0.1,0.81525,0.8146017231533997,7.357766916662139,0.45914387781116134,0.002089885574828034,0.4593528663686441,1.0,0,20500.0,5,0.005,0.0001,10
6,dirichlet,0.1,0.867,0.8662890614525314,7.16554764481036,0.46004153820289906,0.0025631022316446412,0.46029784842606347,1.0,0,15000.0,5,0.005,0.0001,10
7,dirichlet,0.1,0.85,0.8488334082308585,7.542688646485855,0.45446428171801695,0.00254369638016011,0.45471865135603295,0.92,0,24500.0,5,0.005,0.0001,10
8,dirichlet,0.1,0.87575,0.8751560315141848,6.904406774820626,0.46080354401873286,0.002344664419990703,0.461038010460732,1.0,0,15000.0,5,0.005,0.0001,10
9,dirichlet,0.1,0.815,0.8149090200303358,7.411365377145119,0.4477632465305936,0.0022844568707969344,0.4479916922176733,1.0,0,22000.0,5,0.005,0.0001,10
10,dirichlet,0.1,0.95625,0.9560468643803773,4.611618441887452,0.4579367330066499,0.0023280493015065728,0.4581695379368006,1.0,0,19000.0,5,0.005,0.0001,10
