Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
ATP2B4_real_train_fold1	3.94E-05	2.52E-04	5.94E-05	2.55E-04	1.10E-04
ATP2B4_real_train_fold1.1	3.13E-05	2.29E-04	0.00E+00	3.20E-04	1.45E-04
MLH1_real_train_fold1	2.91E-05	1.83E-05	2.38E-05	1.43E-04	1.33E-04
MSH6_real_train_fold1	3.41E-05	4.12E-05	2.69E-05	4.83E-05	1.49E-05
MSH6_real_train_fold1.1	3.19E-05	3.62E-05	2.71E-05	6.15E-05	2.53E-05
OGG1_real_train_fold1	2.36E-05	4.19E-04	3.61E-05	6.83E-05	3.96E-04
PMS1_real_train_fold1	1.26E-05	1.74E-04	5.62E-05	3.93E-04	1.87E-04
PMS2_real_train_fold1	2.92E-05	3.62E-05	2.25E-05	0.00E+00	5.38E-05
RNF168_real_train_fold1	1.13E-05	5.42E-05	9.12E-06	1.34E-04	9.03E-05
UNG_real_train_fold1	5.53E-05	1.19E-04	8.53E-06	6.88E-04	7.27E-04
ATP2B4_dirichlet_train_fold1	2.41E-05	1.99E-04	2.66E-05	1.67E-04	8.59E-05
ATP2B4_dirichlet_train_fold1.1	5.68E-05	1.79E-04	0.00E+00	5.03E-04	2.60E-04
ATP2B4_dirichlet_train_fold1.2	2.85E-05	1.74E-04	0.00E+00	3.50E-04	2.21E-04
ATP2B4_dirichlet_train_fold1.3	3.32E-05	2.48E-04	2.45E-05	1.04E-04	1.32E-04
ATP2B4_dirichlet_train_fold1.4	4.30E-05	2.32E-04	0.00E+00	3.07E-04	1.95E-04
ATP2B4_dirichlet_train_fold1.5	0.00E+00	2.50E-04	2.85E-05	4.90E-04	2.90E-04
ATP2B4_dirichlet_train_fold1.6	1.03E-04	2.51E-04	0.00E+00	5.71E-05	1.34E-04
ATP2B4_dirichlet_train_fold1.7	1.81E-05	1.84E-04	8.64E-06	4.36E-04	3.30E-04
ATP2B4_dirichlet_train_fold1.8	2.05E-05	2.54E-04	0.00E+00	3.46E-04	1.67E-04
ATP2B4_dirichlet_train_fold1.9	4.95E-05	3.07E-04	0.00E+00	2.13E-04	1.65E-04
ATP2B4_dirichlet_train_fold1.10	1.24E-05	1.78E-04	0.00E+00	5.00E-04	3.46E-04
ATP2B4_dirichlet_train_fold1.11	8.04E-05	2.16E-04	0.00E+00	3.01E-04	7.52E-05
ATP2B4_dirichlet_train_fold1.12	4.46E-05	2.22E-04	2.66E-05	1.29E-04	1.52E-04
ATP2B4_dirichlet_train_fold1.13	3.93E-05	1.71E-04	5.70E-05	2.01E-04	7.87E-05
ATP2B4_dirichlet_train_fold1.14	2.90E-05	1.98E-04	1.78E-05	2.06E-04	7.29E-05
ATP2B4_dirichlet_train_fold1.15	2.26E-05	2.87E-04	2.70E-05	1.27E-04	1.99E-04
ATP2B4_dirichlet_train_fold1.16	3.97E-05	2.43E-04	5.97E-05	1.18E-04	2.15E-04
ATP2B4_dirichlet_train_fold1.17	2.35E-05	2.64E-04	8.93E-06	1.36E-04	1.50E-04
ATP2B4_dirichlet_train_fold1.18	2.89E-05	2.50E-04	1.61E-05	7.91E-05	1.67E-04
ATP2B4_dirichlet_train_fold1.19	4.64E-05	2.20E-04	0.00E+00	2.90E-04	1.42E-04
ATP2B4_dirichlet_train_fold1.20	4.28E-05	2.79E-04	4.10E-05	1.44E-04	2.13E-04
ATP2B4_dirichlet_train_fold1.21	3.45E-05	2.45E-04	0.00E+00	2.54E-04	1.21E-04
ATP2B4_dirichlet_train_fold1.22	6.16E-05	2.19E-04	0.00E+00	3.51E-04	2.46E-04
ATP2B4_dirichlet_train_fold1.23	4.38E-05	1.57E-04	9.71E-06	1.84E-04	9.69E-05
ATP2B4_dirichlet_train_fold1.24	7.50E-05	2.35E-04	1.20E-04	2.44E-04	1.92E-04
ATP2B4_dirichlet_train_fold1.25	2.70E-05	2.47E-04	1.07E-27	1.63E-04	9.32E-05
