Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_real_train_fold1	0.9999999999999967	0.98	0.364	36.4%	0.057	20.399%	0.17325	0.977
ATP2B4_real_train_fold1.1	0.999999999999998	0.974	0.409	40.9%	0.059	22.621%	0.27093	0.969
EXO1_real_train_fold1	0.9999999999999948	0.971	0.222	22.2%	0.031	24.079%	0.04263	0.923
MLH1_real_train_fold1	0.9999999999999959	0.983	0.197	19.7%	0.033	18.68%	0.04296	0.975
MSH2_real_train_fold1	0.999999999999996	0.991	0.161	16.1%	0.026	13.802%	0.03618	0.987
MSH6_real_train_fold1	0.9999999999999956	0.995	0.137	13.7%	0.019	10.458%	0.03123	0.993
MSH6_real_train_fold1.1	0.9999999999999966	0.993	0.145	14.5%	0.022	12.081%	0.031	0.99
OGG1_real_train_fold1	0.9999999999999968	0.998	0.197	19.7%	0.033	8.169%	0.10592	0.998
PMS1_real_train_fold1	0.9999999999999992	0.933	0.487	48.7%	0.081	35.763%	0.28045	0.915
PMS2_real_train_fold1	0.9999999999999952	0.873	0.504	50.4%	0.079	49.036%	0.20532	0.784
RNF168_real_train_fold1	0.9999999999999996	0.97	0.241	24.1%	0.033	24.342%	0.06009	0.931
UNG_real_train_fold1	0.9999999999999956	0.977	0.272	27.2%	0.041	21.477%	0.08942	0.968
ATP2B4_dirichlet_train_fold1	0.9999999999999977	0.958	0.578	57.8%	0.085	29.18%	0.39784	0.952
ATP2B4_dirichlet_train_fold1.1	0.9999999999999987	0.887	0.765	76.5%	0.147	46.991%	0.64983	0.873
ATP2B4_dirichlet_train_fold1.2	0.9999999999999982	0.901	0.68	68.0%	0.107	43.975%	0.61959	0.879
ATP2B4_dirichlet_train_fold1.3	0.9999999999999976	0.941	0.63	63.0%	0.112	33.752%	0.52443	0.935
ATP2B4_dirichlet_train_fold1.4	0.9999999999999989	0.937	0.69	69.0%	0.109	34.894%	0.60209	0.929
ATP2B4_dirichlet_train_fold1.5	0.9999999999999987	0.939	0.685	68.5%	0.119	35.129%	0.6128	0.933
ATP2B4_dirichlet_train_fold1.6	0.9999999999999986	0.881	0.763	76.3%	0.133	49.007%	0.73626	0.862
ATP2B4_dirichlet_train_fold1.7	0.999999999999999	0.924	0.59	59.0%	0.107	38.343%	0.48093	0.912
ATP2B4_dirichlet_train_fold1.8	0.9999999999999988	0.938	0.574	57.4%	0.099	34.974%	0.51025	0.929
ATP2B4_dirichlet_train_fold1.9	0.9999999999999992	0.931	0.67	67.0%	0.104	36.957%	0.60425	0.92
ATP2B4_dirichlet_train_fold1.10	0.9999999999999986	0.922	0.63	63.0%	0.11	38.814%	0.62967	0.91
ATP2B4_dirichlet_train_fold1.11	0.9999999999999979	0.945	0.56	56.0%	0.085	32.897%	0.49877	0.935
ATP2B4_dirichlet_train_fold1.12	0.9999999999999973	0.882	0.663	66.3%	0.12	47.339%	0.47928	0.858
ATP2B4_dirichlet_train_fold1.13	0.999999999999999	0.929	0.737	73.7%	0.118	37.775%	0.59063	0.92
ATP2B4_dirichlet_train_fold1.14	0.9999999999999979	0.927	0.625	62.5%	0.104	37.464%	0.47246	0.916
ATP2B4_dirichlet_train_fold1.15	0.9999999999999981	0.873	0.771	77.1%	0.137	49.617%	0.61775	0.852
ATP2B4_dirichlet_train_fold1.16	0.9999999999999972	0.911	0.644	64.4%	0.099	41.533%	0.48698	0.89
ATP2B4_dirichlet_train_fold1.17	0.9999999999999977	0.882	0.755	75.5%	0.115	47.419%	0.57141	0.855
ATP2B4_dirichlet_train_fold1.18	0.9999999999999982	0.941	0.635	63.5%	0.103	34.709%	0.49234	0.933
ATP2B4_dirichlet_train_fold1.19	0.9999999999999989	0.897	0.726	72.6%	0.127	44.324%	0.66215	0.881
