Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
ATP2B4_real_train_fold1	4.6966293622329326e-256	0.09197282157800996	0.7565782470942343	6.9539021251840375e-177	0.1514489313277557
ATP2B4_real_train_fold1.1	0.11985527976984306	0.0313577451989259	0.6950248457576353	0.06665364298148092	0.08710848629211494
EXO1_real_train_fold1	0.819575792495396	0.035587963312867225	8.470086878782548e-21	0.09536868399018661	0.04946756020155034
MLH1_real_train_fold1	1.527e-321	0.9358161601416658	1.31e-321	0.0641838398583341	7.739177323854812e-172
MSH6_real_train_fold1	2.23e-321	0.9482920562421784	2.008277552107904e-199	0.037525210066052035	0.014182733691769476
MSH6_real_train_fold1.1	2.65e-321	0.9677893342044259	1.299963195594065e-277	0.026238672660902376	0.005971993134671602
MSH6_real_train_fold1.2	2.89e-320	0.9512594913225293	0.014453778885995252	0.029529271642855244	0.004757458148620154
OGG1_real_train_fold1	2.948651376814943e-238	1.884447269853099e-291	0.35026157620763754	0.017234194665156244	0.6325042291272063
PMS1_real_train_fold1	2.796096984261334e-84	0.21991937401036035	0.3862119311980413	0.33986159630606483	0.054007098485533464
PMS2_real_train_fold1	0.5197489499138709	0.47388209350485	8.35e-322	2.77e-322	0.006368956581279017
RNF168_real_train_fold1	0.8644354854748892	0.06938692370793048	0.04137420492723992	2.1562155824838276e-171	0.0248033858899403
UNG_real_train_fold1	0.07309555947363856	0.0006293854452742713	0.12097516525047282	0.727754152197809	0.07754573763280542
ATP2B4_dirichlet_train_fold1	2.12e-321	0.07227010205199513	0.3958048577121043	0.21250646992775615	0.3194185703081444
ATP2B4_dirichlet_train_fold1.1	2.3794487554347384e-71	0.08632997481398352	0.7875830316213154	0.12608699356470102	3.848673684561968e-39
ATP2B4_dirichlet_train_fold1.2	0.17268339756164033	8.6e-322	0.8273166024383597	1.1533060787702891e-125	3.66e-322
ATP2B4_dirichlet_train_fold1.3	5.63e-322	0.011326093335539945	0.9695526218744868	0.01912128478997339	2.67e-322
