	0	1	2	3	4	5	6	7	8	9
0	[1.128564659027587, 0.9899513424366391, 1.3861331659094807, 0.2758333384990692, 0.0]	[1.1295715565830091, 0.9909550063393248, 1.3861655024368444, 0.2783333361148834, 0.0]	[1.1286599018363683, 0.9900391983153255, 1.3862070352104279, 0.30250000953674316, 0.0]	[1.12790626593641, 0.9892992736817485, 1.3860699225466144, 0.2608333230018616, 0.0]	[1.1282340014392334, 0.9896045004853472, 1.386295009538862, 0.2691666781902313, 0.0]	[1.1294798630097633, 0.9908581961752166, 1.3862166683454662, 0.25583332777023315, 0.0]	[1.129247510481138, 0.9906304690604594, 1.3861704142067859, 0.2574999928474426, 0.0]	[1.1296088450687711, 0.9909927220237091, 1.3861612304506203, 0.2874999940395355, 0.0]	[1.1289046666245837, 0.990284293119141, 1.3862037350544267, 0.2783333361148834, 0.0]	[1.1293143138956259, 0.9906949823469194, 1.3861933154870654, 0.2475000023841858, 0.0]
100	[0.4850402914504805, 0.4841363972684881, 0.00903894181992376, 1.0, 0.0]	[0.49014958777496254, 0.48927112820351826, 0.00878459571444285, 1.0, 0.0]	[0.49729448684560207, 0.4964711520476261, 0.008233347979759987, 1.0, 0.0]	[0.4907223549498774, 0.48985354334048237, 0.0086881160939507, 1.0, 0.0]	[0.4787977091343804, 0.4777285134351263, 0.010691956992541203, 1.0, 0.0]	[0.49755973740070863, 0.4965921480311208, 0.009675893695878441, 1.0, 0.0]	[0.48875728286827563, 0.4878026664493666, 0.009546164189090165, 1.0, 0.0]	[0.49763404374998066, 0.49692256195999496, 0.007114817899857284, 1.0, 0.0]	[0.4912412083519218, 0.4902151914040212, 0.010260169479005826, 1.0, 0.0]	[0.4882546702927177, 0.4875313764102275, 0.0072329388249019995, 1.0, 0.0]
200	[0.47713750822529766, 0.4765240537604702, 0.006134544648274766, 1.0, 0.0]	[0.48193503074091276, 0.4813058949410512, 0.006291357998615845, 1.0, 0.0]	[0.48942868471699785, 0.48891060662276314, 0.005180780942347108, 1.0, 0.0]	[0.4819882606197075, 0.4814196139667269, 0.0056864665298063735, 1.0, 0.0]	[0.4727550276831681, 0.4720995399679663, 0.00655487715201839, 1.0, 0.0]	[0.4844009923070414, 0.4837055178439072, 0.0069547446313423114, 1.0, 0.0]	[0.4815436942649124, 0.48088934729449223, 0.006543469704201442, 1.0, 0.0]	[0.48782034421826975, 0.4873385283914056, 0.004818158268641357, 1.0, 0.0]	[0.48197087585017556, 0.48127868992593215, 0.006921859242434324, 1.0, 0.0]	[0.4803246903994852, 0.47984506779655034, 0.0047962260293488886, 1.0, 0.0]
300	[0.4736760735868322, 0.47317694735366395, 0.004991262331682781, 1.0, 0.0]	[0.4775628172879223, 0.47703678854864084, 0.005260287392815075, 1.0, 0.0]	[0.48512623062410876, 0.4847096455912658, 0.004165850328429627, 1.0, 0.0]	[0.4772424682189366, 0.47674290474019004, 0.004995634787465827, 1.0, 0.0]	[0.47032168756792353, 0.46979878093472377, 0.00522906633199734, 1.0, 0.0]	[0.4802730809073929, 0.4797031875221345, 0.00569893385258435, 1.0, 0.0]	[0.47670941590892857, 0.4761529085193971, 0.005565073895314388, 1.0, 0.0]	[0.4824590642073146, 0.48205836119151657, 0.004007030157980142, 1.0, 0.0]	[0.4767368724268212, 0.47614858233374513, 0.005882900930760742, 1.0, 0.0]	[0.4770582669779418, 0.4766834871898599, 0.0037477978808184843, 1.0, 0.0]
400	[0.47153335083861897, 0.471095211146038, 0.004381396925809707, 1.0, 0.0]	[0.4745854339817302, 0.4741165906790625, 0.004688433026677283, 1.0, 0.0]	[0.48149182943480257, 0.4811179645617487, 0.003738648730538611, 1.0, 0.0]	[0.47413337692067414, 0.4736697371039699, 0.004636398167042247, 1.0, 0.0]	[0.4688039767556491, 0.46834781122001373, 0.004561655356353881, 1.0, 0.0]	[0.4773683235630285, 0.47685886862605814, 0.0050945493697033785, 1.0, 0.0]	[0.47382627602347227, 0.47332577690787003, 0.005004991156022281, 1.0, 0.0]	[0.4790323035482788, 0.47868228310177324, 0.0035002044650553825, 1.0, 0.0]	[0.4734700624992684, 0.4729465024177079, 0.005235600815604698, 1.0, 0.0]	[0.4752081692067423, 0.4748892881470077, 0.003188810597346095, 1.0, 0.0]
500	[0.470022975895823, 0.46962481301598613, 0.0039816287983686135, 1.0, 0.0]	[0.47242724217805154, 0.47199572611680796, 0.0043151606124357455, 1.0, 0.0]	[0.47849137417630677, 0.47814540507153874, 0.003459691047680285, 1.0, 0.0]	[0.4720581297559414, 0.4716228356430807, 0.004352941128607071, 1.0, 0.0]	[0.4675396141812165, 0.4671201648514856, 0.004194493297308681, 1.0, 0.0]	[0.47442801259813844, 0.4739527763878253, 0.00475236210313149, 1.0, 0.0]	[0.4716982977816054, 0.47123373986303896, 0.004645579185664123, 1.0, 0.0]	[0.4767850288865486, 0.4764683682274582, 0.0031666065909041847, 1.0, 0.0]	[0.47125046912119034, 0.4707742921088031, 0.0047617701238720275, 1.0, 0.0]	[0.4737953667562646, 0.4735111864417054, 0.002841803145591674, 1.0, 0.0]
600	[0.4689056033482714, 0.4685338511853783, 0.003717521628931091, 1.0, 0.0]	[0.47079739321224423, 0.4703954244548401, 0.0040196875740413345, 1.0, 0.0]	[0.4762854569408404, 0.4759625298198201, 0.0032292712102029654, 1.0, 0.0]	[0.47037599263167384, 0.46996464346451766, 0.004113491671562044, 1.0, 0.0]	[0.4665118852612724, 0.4661132283198643, 0.003986569414081329, 1.0, 0.0]	[0.4725804260623143, 0.47213865427289337, 0.0044177178942098015, 1.0, 0.0]	[0.469959399787596, 0.4695181950857693, 0.004412047018266736, 1.0, 0.0]	[0.4750332471759584, 0.47474036909819256, 0.002928780777658682, 1.0, 0.0]	[0.46960839577167934, 0.46916163639117336, 0.004467593805059762, 1.0, 0.0]	[0.47264528245373816, 0.47238245760271597, 0.002628248510221737, 1.0, 0.0]
700	[0.46791680706111305, 0.46756298257992607, 0.003538244811869772, 1.0, 0.0]	[0.4694173313634217, 0.46903564203431136, 0.0038168932911033064, 1.0, 0.0]	[0.474636022882949, 0.474330801533194, 0.0030522134975497633, 1.0, 0.0]	[0.46897811163702063, 0.46858401317242, 0.003940984646006546, 1.0, 0.0]	[0.46572087890840386, 0.46533982817248676, 0.0038105073591707317, 1.0, 0.0]	[0.47097178682159935, 0.47055160664070905, 0.004201801808902675, 1.0, 0.0]	[0.4685033547501315, 0.46808136895240604, 0.004219857977254512, 1.0, 0.0]	[0.47327129203746376, 0.47299461608170906, 0.0027667595575468786, 1.0, 0.0]	[0.46829072531987903, 0.4678692662798706, 0.004214590400084637, 1.0, 0.0]	[0.47167761137731085, 0.47142885680650326, 0.0024875457080760347, 1.0, 0.0]
800	[0.46700089604262845, 0.46666025908483894, 0.0034063695778954145, 1.0, 0.0]	[0.4683004781991467, 0.46793675908219795, 0.003637191169487728, 1.0, 0.0]	[0.47331161371033, 0.47301977480065416, 0.0029183890967584346, 1.0, 0.0]	[0.467821600344351, 0.4674406914151429, 0.003809089292081101, 1.0, 0.0]	[0.46496552153642834, 0.46459401855256316, 0.003715029838652056, 1.0, 0.0]	[0.4696098316237082, 0.4692079154130399, 0.004019162106682701, 1.0, 0.0]	[0.46732044596442, 0.46691269215744813, 0.004077538069718945, 1.0, 0.0]	[0.47224061852612753, 0.47197865058488214, 0.002619679412454147, 1.0, 0.0]	[0.46712091786104637, 0.46671473828427523, 0.00406179576771119, 1.0, 0.0]	[0.47087277636313635, 0.47063557845918547, 0.0023719790395090755, 1.0, 0.0]
900	[0.4662820605664074, 0.4659519877864363, 0.003300727799710895, 1.0, 0.0]	[0.46720420044915556, 0.4668503052050726, 0.003538952440829773, 1.0, 0.0]	[0.4721270896914181, 0.47184522039612503, 0.0028186929529306925, 1.0, 0.0]	[0.466848453565971, 0.4664776713496953, 0.003707822162757036, 1.0, 0.0]	[0.46437315005971763, 0.46401271728418503, 0.003604327755326114, 1.0, 0.0]	[0.4684232051599563, 0.4680328880594503, 0.0039031710050599355, 1.0, 0.0]	[0.46629017399759665, 0.46589486627697807, 0.00395307720618583, 1.0, 0.0]	[0.4713888576622035, 0.47113591089646656, 0.002529467657369613, 1.0, 0.0]	[0.46623457775586363, 0.4658464241530604, 0.0038815360280325226, 1.0, 0.0]	[0.4703014504038003, 0.47007338258167974, 0.00228067822120521, 1.0, 0.0]
1000	[0.46564870675590003, 0.4653263091949958, 0.0032239756090421887, 1.0, 0.0]	[0.4662869791538595, 0.4659416819958859, 0.0034529715797357347, 1.0, 0.0]	[0.47119803219521744, 0.47092350331128424, 0.002745288839331983, 1.0, 0.0]	[0.46604197241334266, 0.4656794856173717, 0.0036248679597093436, 1.0, 0.0]	[0.46392455500455954, 0.4635742259704832, 0.0035032903407633885, 1.0, 0.0]	[0.4674285025826995, 0.4670497890706463, 0.0037871351205321074, 1.0, 0.0]	[0.46548684927246387, 0.4651041583544519, 0.003826909180119896, 1.0, 0.0]	[0.4703559182738512, 0.47011174650466814, 0.0024417176918304475, 1.0, 0.0]	[0.4654155625199426, 0.4650360971890694, 0.0037946533087319175, 1.0, 0.0]	[0.4697554512932901, 0.46953376377924755, 0.002216875140425785, 1.0, 0.0]
2000	[0.46228114525829345, 0.46199346076233083, 0.0028768449596260014, 1.0, 0.0]	[0.46252689808614145, 0.462243276657335, 0.0028362142880645233, 1.0, 0.0]	[0.4660138402381277, 0.4657922707062323, 0.0022156953189538028, 1.0, 0.0]	[0.46202547210855194, 0.46171316853582134, 0.003123035727306197, 1.0, 0.0]	[0.46115209677173585, 0.46083749497438975, 0.0031460179734608597, 1.0, 0.0]	[0.4626186106357084, 0.4623033660644633, 0.0031524457124508807, 1.0, 0.0]	[0.4615882135272271, 0.4612689077125289, 0.0031930581469825324, 1.0, 0.0]	[0.46687921211525846, 0.4666774349436674, 0.0020177717159101873, 1.0, 0.0]	[0.4617165412250056, 0.4613968584667357, 0.003196827582698864, 1.0, 0.0]	[0.46644929881335306, 0.46625342069190856, 0.001958781214445081, 1.0, 0.0]
