Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_real_train_fold1	0.999999999999998	0.984	0.313	31.3%	0.041	18.229%	0.14265	0.98
ATP2B4_real_train_fold1.1	0.9999999999999958	0.991	0.251	25.1%	0.035	13.737%	0.10456	0.989
EXO1_real_train_fold1	0.9999999999999954	0.969	0.237	23.7%	0.031	24.864%	0.04955	0.909
MLH1_real_train_fold1	0.9999999999999958	0.982	0.216	21.6%	0.034	19.16%	0.0501	0.974
MSH2_real_train_fold1	0.9999999999999957	0.986	0.204	20.4%	0.033	18.102%	0.04195	0.981
MSH6_real_train_fold1	0.9999999999999969	0.984	0.202	20.2%	0.035	18.828%	0.04666	0.98
MSH6_real_train_fold1.1	0.9999999999999951	0.99	0.172	17.2%	0.028	15.248%	0.03071	0.988
MSH6_real_train_fold1.2	0.9999999999999966	0.988	0.182	18.2%	0.031	17.023%	0.03772	0.986
OGG1_real_train_fold1	0.9999999999999968	0.998	0.202	20.2%	0.036	8.912%	0.09223	0.998
PMS1_real_train_fold1	0.9999999999999963	0.944	0.451	45.1%	0.071	33.238%	0.23769	0.927
PMS2_real_train_fold1	0.9999999999999952	0.822	0.562	56.2%	0.092	57.105%	0.24001	0.677
RNF168_real_train_fold1	0.9999999999999996	0.974	0.235	23.5%	0.031	22.867%	0.04966	0.938
UNG_real_train_fold1	0.9999999999999968	0.956	0.372	37.2%	0.06	29.524%	0.15372	0.942
ATP2B4_dirichlet_train_fold1	0.9999999999999979	0.873	0.685	68.5%	0.11	49.0%	0.55176	0.837
ATP2B4_dirichlet_train_fold1.1	0.9999999999999979	0.873	0.762	76.2%	0.124	49.65%	0.70675	0.847
ATP2B4_dirichlet_train_fold1.2	0.9999999999999976	0.932	0.608	60.8%	0.094	36.678%	0.48038	0.919
ATP2B4_dirichlet_train_fold1.3	0.9999999999999978	0.927	0.589	58.9%	0.1	37.521%	0.47363	0.914
ATP2B4_dirichlet_train_fold1.4	0.9999999999999978	0.94	0.586	58.6%	0.09	34.48%	0.43154	0.928
ATP2B4_dirichlet_train_fold1.5	0.9999999999999978	0.918	0.633	63.3%	0.099	40.527%	0.48527	0.901
ATP2B4_dirichlet_train_fold1.6	0.9999999999999976	0.941	0.558	55.8%	0.084	34.27%	0.38849	0.928
ATP2B4_dirichlet_train_fold1.7	0.9999999999999981	0.956	0.53	53.0%	0.09	29.613%	0.42443	0.951
ATP2B4_dirichlet_train_fold1.8	0.9999999999999976	0.899	0.653	65.3%	0.117	44.137%	0.56877	0.881
ATP2B4_dirichlet_train_fold1.9	0.999999999999998	0.906	0.72	72.0%	0.113	42.477%	0.52359	0.89
ATP2B4_dirichlet_train_fold1.10	0.9999999999999981	0.911	0.614	61.4%	0.136	42.937%	0.37679	0.903
ATP2B4_dirichlet_train_fold1.11	0.9999999999999983	0.914	0.655	65.5%	0.11	40.766%	0.45219	0.899
ATP2B4_dirichlet_train_fold1.12	0.9999999999999982	0.932	0.553	55.3%	0.085	36.192%	0.43314	0.916
ATP2B4_dirichlet_train_fold1.13	0.9999999999999978	0.849	0.695	69.5%	0.124	52.938%	0.57943	0.809
ATP2B4_dirichlet_train_fold1.14	0.9999999999999981	0.879	0.703	70.3%	0.114	48.457%	0.60666	0.85
ATP2B4_dirichlet_train_fold1.15	0.9999999999999984	0.906	0.616	61.6%	0.101	42.375%	0.48517	0.884
ATP2B4_dirichlet_train_fold1.16	0.9999999999999982	0.847	0.715	71.5%	0.125	53.071%	0.59814	0.807
ATP2B4_dirichlet_train_fold1.17	0.9999999999999987	0.893	0.679	67.9%	0.119	45.428%	0.50318	0.873
ATP2B4_dirichlet_train_fold1.18	0.9999999999999987	0.899	0.702	70.2%	0.118	44.176%	0.54463	0.881
ATP2B4_dirichlet_train_fold1.19	0.9999999999999978	0.909	0.66	66.0%	0.099	41.728%	0.52366	0.887
ATP2B4_dirichlet_train_fold1.20	0.9999999999999984	0.881	0.661	66.1%	0.103	47.623%	0.48321	0.844
ATP2B4_dirichlet_train_fold1.21	0.9999999999999973	0.912	0.7	70.0%	0.111	42.028%	0.48423	0.897
ATP2B4_dirichlet_train_fold1.22	0.9999999999999977	0.96	0.546	54.6%	0.084	29.115%	0.36771	0.954
ATP2B4_dirichlet_train_fold1.23	0.9999999999999982	0.875	0.668	66.8%	0.111	48.303%	0.54106	0.841
ATP2B4_dirichlet_train_fold1.24	0.9999999999999982	0.902	0.705	70.5%	0.111	43.613%	0.49355	0.883
ATP2B4_dirichlet_train_fold1.25	0.999999999999998	0.934	0.594	59.4%	0.092	35.712%	0.47298	0.922
ATP2B4_dirichlet_train_fold1.26	0.9999999999999973	0.828	0.779	77.9%	0.144	55.916%	0.59413	0.792
ATP2B4_dirichlet_train_fold1.27	0.9999999999999976	0.954	0.523	52.3%	0.08	30.036%	0.38137	0.946
ATP2B4_dirichlet_train_fold1.28	0.9999999999999977	0.937	0.571	57.1%	0.089	34.665%	0.43322	0.925
ATP2B4_dirichlet_train_fold1.29	0.9999999999999984	0.91	0.661	66.1%	0.101	41.739%	0.46757	0.889
ATP2B4_dirichlet_train_fold1.30	0.9999999999999977	0.963	0.508	50.8%	0.074	27.157%	0.37446	0.957
ATP2B4_dirichlet_train_fold1.31	0.9999999999999981	0.85	0.735	73.5%	0.121	52.702%	0.55431	0.809
ATP2B4_dirichlet_train_fold1.32	0.9999999999999977	0.935	0.597	59.7%	0.086	35.704%	0.42541	0.921
ATP2B4_dirichlet_train_fold1.33	0.9999999999999984	0.893	0.738	73.8%	0.115	45.307%	0.52542	0.871
ATP2B4_dirichlet_train_fold1.34	0.999999999999998	0.951	0.606	60.6%	0.099	32.035%	0.4108	0.946
ATP2B4_dirichlet_train_fold1.35	0.9999999999999979	0.933	0.568	56.8%	0.086	35.99%	0.49202	0.918
ATP2B4_dirichlet_train_fold1.36	0.9999999999999982	0.926	0.601	60.1%	0.089	37.754%	0.44808	0.909
ATP2B4_dirichlet_train_fold1.37	0.9999999999999977	0.939	0.588	58.8%	0.093	34.599%	0.44735	0.928
ATP2B4_dirichlet_train_fold1.38	0.9999999999999976	0.926	0.635	63.5%	0.096	37.669%	0.44037	0.912
ATP2B4_dirichlet_train_fold1.39	0.9999999999999983	0.949	0.535	53.5%	0.086	31.935%	0.35678	0.94
ATP2B4_dirichlet_train_fold1.40	0.9999999999999984	0.923	0.661	66.1%	0.094	38.503%	0.4974	0.906
ATP2B4_dirichlet_train_fold1.41	0.9999999999999978	0.935	0.658	65.8%	0.104	35.403%	0.56738	0.926
ATP2B4_dirichlet_train_fold1.42	0.9999999999999983	0.884	0.711	71.1%	0.114	46.997%	0.54771	0.857
ATP2B4_dirichlet_train_fold1.43	0.9999999999999978	0.928	0.659	65.9%	0.1	38.281%	0.47975	0.915
ATP2B4_dirichlet_train_fold1.44	0.9999999999999974	0.93	0.623	62.3%	0.102	36.83%	0.47128	0.919
ATP2B4_dirichlet_train_fold1.45	0.9999999999999978	0.944	0.601	60.1%	0.099	33.43%	0.39997	0.936
ATP2B4_dirichlet_train_fold1.46	0.9999999999999977	0.902	0.697	69.7%	0.11	43.335%	0.56113	0.882
ATP2B4_dirichlet_train_fold1.47	0.9999999999999976	0.879	0.696	69.6%	0.111	47.936%	0.45514	0.847
