NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.668	66.826	0.109	49.921	0.536	0.779	25000.0
2	0.66	66.023	0.108	49.517	0.511	0.782	15000.0
3	0.66	65.992	0.108	49.521	0.514	0.782	20000.0
4	0.668	66.753	0.109	49.894	0.516	0.779	15000.0
5	0.668	66.816	0.109	49.91	0.551	0.779	20000.0
6	0.667	66.688	0.109	49.853	0.55	0.779	30000.0
7	0.66	65.997	0.108	49.508	0.5	0.782	15000.0
8	0.66	65.987	0.108	49.513	0.506	0.782	15000.0
9	0.66	65.973	0.108	49.508	0.509	0.782	15000.0
10	0.668	66.813	0.109	49.914	0.55	0.779	20000.0
