Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_real_train_fold1	0.9999999999999958	0.988	0.289	28.9%	0.04	15.699%	0.12285	0.986
ATP2B4_real_train_fold1.1	0.9999999999999964	0.982	0.321	32.1%	0.049	19.231%	0.15519	0.978
MLH1_real_train_fold1	0.9999999999999959	0.988	0.167	16.7%	0.028	15.849%	0.03301	0.982
MSH6_real_train_fold1	0.9999999999999969	0.992	0.149	14.9%	0.024	12.911%	0.03445	0.988
MSH6_real_train_fold1.1	0.9999999999999989	0.995	0.129	12.9%	0.02	10.73%	0.02445	0.992
OGG1_real_train_fold1	0.9999999999999973	0.997	0.174	17.4%	0.031	7.873%	0.08211	0.997
PMS1_real_train_fold1	0.9999999999999964	0.921	0.436	43.6%	0.09	39.133%	0.25255	0.9
PMS2_real_train_fold1	0.9999999999999952	0.86	0.529	52.9%	0.082	50.898%	0.23202	0.752
RNF168_real_train_fold1	0.9999999999999939	0.959	0.325	32.5%	0.043	29.295%	0.12611	0.925
UNG_real_train_fold1	0.9999999999999982	0.958	0.372	37.2%	0.058	28.913%	0.18162	0.943
ATP2B4_multinomial_train_fold1	0.9999999999999969	0.979	0.365	36.5%	0.052	20.256%	0.20042	0.975
ATP2B4_multinomial_train_fold1.1	0.999999999999997	0.972	0.397	39.7%	0.057	23.326%	0.24311	0.966
ATP2B4_multinomial_train_fold1.2	0.9999999999999967	0.965	0.431	43.1%	0.07	26.4%	0.22145	0.959
ATP2B4_multinomial_train_fold1.3	0.999999999999997	0.968	0.404	40.4%	0.064	25.026%	0.25016	0.962
ATP2B4_multinomial_train_fold1.4	0.9999999999999977	0.937	0.505	50.5%	0.085	35.101%	0.2994	0.923
ATP2B4_multinomial_train_fold1.5	0.9999999999999978	0.977	0.372	37.2%	0.063	21.591%	0.24309	0.974
ATP2B4_multinomial_train_fold1.6	0.9999999999999973	0.981	0.381	38.1%	0.054	20.059%	0.20755	0.978
ATP2B4_multinomial_train_fold1.7	0.9999999999999974	0.953	0.488	48.8%	0.076	30.295%	0.29032	0.943
ATP2B4_multinomial_train_fold1.8	0.9999999999999971	0.981	0.367	36.7%	0.051	19.734%	0.23883	0.978
ATP2B4_multinomial_train_fold1.9	0.9999999999999973	0.965	0.46	46.0%	0.077	26.643%	0.27166	0.96
ATP2B4_multinomial_train_fold1.10	0.9999999999999976	0.968	0.427	42.7%	0.073	25.419%	0.29473	0.964
