	0	1	2	3	4	5	6	7	8	9
0	[0.9873405899393516, 0.9873405899393516, 1.3863067036474115, 0.2433333396911621, 0.0]	[0.9878483033078642, 0.9878483033078642, 1.3862233953984948, 0.28083333373069763, 0.0]	[0.988737512153014, 0.988737512153014, 1.3862730010076685, 0.2758333384990692, 0.0]	[0.9886588686171748, 0.9886588686171748, 1.3863730983786482, 0.2383333295583725, 0.0]	[0.9887518925824378, 0.9887518925824378, 1.3862537007505804, 0.27250000834465027, 0.0]	[0.9894863412434675, 0.9894863412434675, 1.386300754565328, 0.22833333909511566, 0.0]	[0.9887908746963509, 0.9887908746963509, 1.3863844989543765, 0.2291666716337204, 0.0]	[0.9885380132288177, 0.9885380132288177, 1.3862311112066532, 0.2641666531562805, 0.0]	[0.989752744740515, 0.989752744740515, 1.3863022146332191, 0.2566666603088379, 0.0]	[0.9876294370639893, 0.9876294370639893, 1.386021932583728, 0.26499998569488525, 0.0]
100	[0.28526143469451026, 0.28526143469451026, 0.42761216684627196, 0.8733333349227905, 0.0]	[0.27085290383414157, 0.27085290383414157, 0.3719252664225965, 0.9266666769981384, 0.0]	[0.2554687918421924, 0.2554687918421924, 0.30530680090900414, 0.9049999713897705, 0.0]	[0.25969692364103036, 0.25969692364103036, 0.2713372508056427, 0.9424999952316284, 0.0]	[0.2514110026183429, 0.2514110026183429, 0.21969438651814988, 0.9416666626930237, 0.0]	[0.25180258235091135, 0.25180258235091135, 0.2255821295447269, 0.9441666603088379, 0.0]	[0.25127983931152886, 0.25127983931152886, 0.2355527488756571, 0.9325000047683716, 0.0]	[0.25014090377501674, 0.25014090377501674, 0.2135414975810966, 0.9474999904632568, 0.0]	[0.2491726650274746, 0.2491726650274746, 0.2119818381059192, 0.9433333277702332, 0.0]	[0.2500458495931981, 0.2500458495931981, 0.21644545112221739, 0.9366666674613953, 0.0]
200	[0.2747492071424639, 0.2747492071424639, 0.2703860545418224, 0.9366666674613953, 0.0]	[0.2501120571850601, 0.2501120571850601, 0.16662359128264806, 0.9583333134651184, 0.0]	[0.24986410518638377, 0.24986410518638377, 0.1673619562583223, 0.9599999785423279, 0.0]	[0.2500642332693915, 0.2500642332693915, 0.14876800665924453, 0.9649999737739563, 0.0]	[0.24941224240407758, 0.24941224240407758, 0.150956600274953, 0.9641666412353516, 0.0]	[0.24959755728989833, 0.24959755728989833, 0.1537627465396301, 0.9616666436195374, 0.0]	[0.24966415541163267, 0.24966415541163267, 0.15579983280909698, 0.9633333086967468, 0.0]	[0.24925043524014373, 0.24925043524014373, 0.15071454549259097, 0.9591666460037231, 0.0]	[0.2489371380569844, 0.2489371380569844, 0.1496949404710426, 0.9641666412353516, 0.0]	[0.24929682634266453, 0.24929682634266453, 0.1509944892902975, 0.9633333086967468, 0.0]
300	[0.251093005568261, 0.251093005568261, 0.15110088112862352, 0.9608333110809326, 0.0]	[0.24938145634590198, 0.24938145634590198, 0.13349475674864167, 0.9641666412353516, 0.0]	[0.24943608615601767, 0.24943608615601767, 0.13569171105104366, 0.9683333039283752, 0.0]	[0.24942615239420335, 0.24942615239420335, 0.12256806115187174, 0.9666666388511658, 0.0]	[0.24899424584198965, 0.24899424584198965, 0.12435464147409697, 0.9691666960716248, 0.0]	[0.24919847833584247, 0.24919847833584247, 0.12656155572191005, 0.9641666412353516, 0.0]	[0.2493608395110715, 0.2493608395110715, 0.13102674302499884, 0.9674999713897705, 0.0]	[0.24903375338099504, 0.24903375338099504, 0.12557194080457007, 0.9641666412353516, 0.0]	[0.24885765594559095, 0.24885765594559095, 0.12506967830379773, 0.9683333039283752, 0.0]	[0.24909510878035626, 0.24909510878035626, 0.12614462365187407, 0.965833306312561, 0.0]
400	[0.24969269133979935, 0.24969269133979935, 0.1271823290652323, 0.9641666412353516, 0.0]	[0.24915515329228038, 0.24915515329228038, 0.11632187511858874, 0.9666666388511658, 0.0]	[0.24925138087821472, 0.24925138087821472, 0.11981355634403809, 0.9725000262260437, 0.0]	[0.24916425883772725, 0.24916425883772725, 0.10950309080050549, 0.9700000286102295, 0.0]	[0.2488890027574999, 0.2488890027574999, 0.11037497496912489, 0.9741666913032532, 0.0]	[0.2490102017056741, 0.2490102017056741, 0.11117723126861331, 0.971666693687439, 0.0]	[0.24924189780515754, 0.24924189780515754, 0.11722251548320531, 0.9691666960716248, 0.0]	[0.24892083706381898, 0.24892083706381898, 0.11194437793191298, 0.9691666960716248, 0.0]	[0.24880545708148868, 0.24880545708148868, 0.11160196028979168, 0.971666693687439, 0.0]	[0.24899902775395927, 0.24899902775395927, 0.11173737609449451, 0.9708333611488342, 0.0]
500	[0.24918366704616576, 0.24918366704616576, 0.11235931282701775, 0.9683333039283752, 0.0]	[0.24904418380866364, 0.24904418380866364, 0.10598834643057074, 0.971666693687439, 0.0]	[0.2491723656991734, 0.2491723656991734, 0.1098909501755095, 0.9741666913032532, 0.0]	[0.2490303473940949, 0.2490303473940949, 0.10107714692432798, 0.9725000262260437, 0.0]	[0.2488315707561302, 0.2488315707561302, 0.10184519677074275, 0.9766666889190674, 0.0]	[0.248910234169013, 0.248910234169013, 0.10237994727301289, 0.9758333563804626, 0.0]	[0.2491467806223294, 0.2491467806223294, 0.106662946943674, 0.9741666913032532, 0.0]	[0.24887169998764128, 0.24887169998764128, 0.10302234388808942, 0.9733333587646484, 0.0]	[0.2487708732366064, 0.2487708732366064, 0.10299971979813398, 0.9758333563804626, 0.0]	[0.24894284949142634, 0.24894284949142634, 0.10289046955397183, 0.9741666913032532, 0.0]
600	[0.2490392937503565, 0.2490392937503565, 0.10242837783301831, 0.9725000262260437, 0.0]	[0.24897521246635462, 0.24897521246635462, 0.09869692238653884, 0.9725000262260437, 0.0]	[0.2491007558130169, 0.2491007558130169, 0.10206604898941038, 0.9750000238418579, 0.0]	[0.248937480940108, 0.248937480940108, 0.09530650504010234, 0.9758333563804626, 0.0]	[0.24879678496997404, 0.24879678496997404, 0.09579979245019311, 0.9766666889190674, 0.0]	[0.24885234892508246, 0.24885234892508246, 0.09609220900972862, 0.9766666889190674, 0.0]	[0.24905485626066284, 0.24905485626066284, 0.09885871273243817, 0.9750000238418579, 0.0]	[0.2488375634627863, 0.2488375634627863, 0.09647443128908889, 0.9758333563804626, 0.0]	[0.2487514262207672, 0.2487514262207672, 0.09691254499556216, 0.9758333563804626, 0.0]	[0.2488963307864539, 0.2488963307864539, 0.0967020634442805, 0.9758333563804626, 0.0]
700	[0.24895889764810036, 0.24895889764810036, 0.09581959810354586, 0.9741666913032532, 0.0]	[0.24893329439616638, 0.24893329439616638, 0.09350065730575884, 0.9741666913032532, 0.0]	[0.24906132713765447, 0.24906132713765447, 0.0962278991619701, 0.9750000238418579, 0.0]	[0.2488792420724559, 0.2488792420724559, 0.09093642835532258, 0.9775000214576721, 0.0]	[0.24877601138641103, 0.24877601138641103, 0.09128737158135894, 0.9766666889190674, 0.0]	[0.2488071471336769, 0.2488071471336769, 0.0916090667274852, 0.9775000214576721, 0.0]	[0.24900617654765245, 0.24900617654765245, 0.09361334140729341, 0.9766666889190674, 0.0]	[0.24881674269290516, 0.24881674269290516, 0.0915943204881327, 0.9775000214576721, 0.0]	[0.24873834610174642, 0.24873834610174642, 0.09243560794128565, 0.9766666889190674, 0.0]	[0.24885383977654194, 0.24885383977654194, 0.09227934696174878, 0.9775000214576721, 0.0]
800	[0.24891254033098117, 0.24891254033098117, 0.09088800551989978, 0.9741666913032532, 0.0]	[0.24889315964518693, 0.24889315964518693, 0.08951711206535397, 0.9783333539962769, 0.0]	[0.24902742018048304, 0.24902742018048304, 0.09175441983015292, 0.9766666889190674, 0.0]	[0.24884728873828854, 0.24884728873828854, 0.08745495020397037, 0.9783333539962769, 0.0]	[0.24875610400639053, 0.24875610400639053, 0.08780024551092114, 0.9783333539962769, 0.0]	[0.248782242008728, 0.248782242008728, 0.08795087298356613, 0.9800000190734863, 0.0]	[0.24897764678131112, 0.24897764678131112, 0.08983630881381516, 0.9775000214576721, 0.0]	[0.24879727270349217, 0.24879727270349217, 0.08787503177831174, 0.9783333539962769, 0.0]	[0.24872839410739958, 0.24872839410739958, 0.08899074783678347, 0.9783333539962769, 0.0]	[0.2488166658351815, 0.2488166658351815, 0.08899675815321703, 0.9783333539962769, 0.0]
900	[0.24887249789027843, 0.24887249789027843, 0.08704335547204814, 0.9758333563804626, 0.0]	[0.24886581321499748, 0.24886581321499748, 0.08627384313965065, 0.9783333539962769, 0.0]	[0.24898437309433022, 0.24898437309433022, 0.08763293967299897, 0.9775000214576721, 0.0]	[0.2488281187346524, 0.2488281187346524, 0.08460059070507972, 0.9783333539962769, 0.0]	[0.24874371842130544, 0.24874371842130544, 0.0848564142559351, 0.9783333539962769, 0.0]	[0.24876547471991256, 0.24876547471991256, 0.08495394953312546, 0.9800000190734863, 0.0]	[0.24895574483265553, 0.24895574483265553, 0.08685512039311377, 0.9783333539962769, 0.0]	[0.24878094898462438, 0.24878094898462438, 0.0849483773894414, 0.9783333539962769, 0.0]	[0.24872006122484766, 0.24872006122484766, 0.0861904968386768, 0.9783333539962769, 0.0]	[0.24878119115916317, 0.24878119115916317, 0.08635504340861419, 0.9783333539962769, 0.0]
