Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_real_train_fold1	0.999999999999996	0.954	0.292	29.2%	0.04	32.067%	0.08241	0.883
OGG1_real_train_fold1	0.9999999999999968	0.998	0.16	16.0%	0.025	6.189%	0.08241	0.998
RNF168_real_train_fold1	0.9999999999999989	0.949	0.364	36.4%	0.046	31.674%	0.14395	0.896
UNG_real_train_fold1	0.9999999999999982	0.952	0.388	38.8%	0.062	30.907%	0.19899	0.935
ATP2B4_real_train_fold1	0.9999999999999971	0.977	0.387	38.7%	0.052	21.525%	0.19478	0.972
ATP2B4_real_train_fold1.1	0.9999999999999967	0.986	0.32	32.0%	0.048	17.178%	0.14666	0.984
MLH1_real_train_fold1	0.9999999999999964	0.984	0.188	18.8%	0.034	17.892%	0.2006	0.978
MSH2_real_train_fold1	0.999999999999996	0.99	0.165	16.5%	0.028	14.863%	0.03279	0.986
MSH6_real_train_fold1	0.9999999999999951	0.994	0.135	13.5%	0.02	10.892%	0.02606	0.991
MSH6_real_train_fold1.1	0.9999999999999969	0.992	0.152	15.2%	0.023	12.373%	0.03891	0.989
PMS1_real_train_fold1	0.9999999999999964	0.926	0.417	41.7%	0.087	37.829%	0.23575	0.907
PMS2_real_train_fold1	0.9999999999999952	0.862	0.522	52.2%	0.082	50.898%	0.22297	0.756
EXO1_multinomial_train_fold1	0.9999999999999962	0.946	0.313	31.3%	0.043	33.759%	0.09559	0.863
RNF168_multinomial_train_fold1	0.999999999999999	0.898	0.513	51.3%	0.068	44.499%	0.28234	0.809
RNF168_multinomial_train_fold1.1	0.999999999999999	0.885	0.548	54.8%	0.079	46.954%	0.33738	0.81
EXO1_multinomial_train_fold1.1	0.9999999999999961	0.935	0.347	34.7%	0.047	36.467%	0.11401	0.833
RNF168_multinomial_train_fold1.2	0.9999999999999989	0.886	0.57	57.0%	0.076	46.112%	0.33199	0.807
RNF168_multinomial_train_fold1.3	0.9999999999999989	0.88	0.561	56.1%	0.075	47.473%	0.36597	0.783
RNF168_multinomial_train_fold1.4	0.999999999999999	0.926	0.474	47.4%	0.061	37.561%	0.24186	0.876
RNF168_multinomial_train_fold1.5	0.999999999999999	0.872	0.535	53.5%	0.076	49.248%	0.31182	0.759
RNF168_multinomial_train_fold1.6	0.9999999999999989	0.888	0.583	58.3%	0.078	46.315%	0.32143	0.82
RNF168_multinomial_train_fold1.7	0.9999999999999991	0.866	0.572	57.2%	0.075	49.931%	0.31566	0.733
RNF168_multinomial_train_fold1.8	0.999999999999999	0.908	0.495	49.5%	0.066	42.029%	0.27846	0.835
EXO1_multinomial_train_fold1.2	0.999999999999996	0.94	0.356	35.6%	0.046	34.789%	0.12534	0.854
EXO1_multinomial_train_fold1.3	0.9999999999999962	0.928	0.377	37.7%	0.05	39.098%	0.13375	0.813
