Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
ATP2B4_real_train_fold1	2.03E-03	1.63E-03	8.98E-04	2.08E-03	3.22E-03
ATP2B4_real_train_fold1.1	5.27E-03	0.00E+00	4.17E-03	5.43E-03	3.78E-03
MLH1_real_train_fold1	0.00E+00	1.11E-02	0.00E+00	1.25E-02	1.57E-03
MSH2_real_train_fold1	0.00E+00	1.15E-02	0.00E+00	1.29E-02	9.53E-04
MSH6_real_train_fold1	0.00E+00	8.06E-03	0.00E+00	8.48E-03	2.13E-03
MSH6_real_train_fold1.1	0.00E+00	9.40E-03	3.05E-03	1.14E-02	1.51E-03
OGG1_real_train_fold1	1.21E-79	1.59E-139	1.34E-22	1.65E-02	1.21E-02
PMS1_real_train_fold1	0.00E+00	5.26E-02	2.58E-02	5.78E-02	8.00E-03
PMS2_real_train_fold1	2.61E-02	7.33E-03	7.12E-03	0.00E+00	1.25E-03
RNF168_real_train_fold1	1.87E-03	9.64E-04	3.34E-03	5.14E-03	1.91E-03
UNG_real_train_fold1	5.12E-02	3.62E-02	0.00E+00	8.65E-02	1.96E-02
ATP2B4_multinomial_train_fold1	1.59E-03	2.96E-03	4.27E-03	4.27E-03	3.93E-11
ATP2B4_multinomial_train_fold1.1	4.40E-03	0.00E+00	2.17E-03	7.68E-03	2.43E-03
ATP2B4_multinomial_train_fold1.2	1.08E-02	5.08E-29	3.20E-03	1.30E-02	1.58E-109
ATP2B4_multinomial_train_fold1.3	3.78E-03	0.00E+00	1.47E-03	7.07E-03	2.64E-03
ATP2B4_multinomial_train_fold1.4	1.05E-02	7.46E-04	3.28E-03	1.22E-02	7.56E-140
ATP2B4_multinomial_train_fold1.5	8.10E-03	0.00E+00	3.22E-03	1.03E-02	6.29E-80
ATP2B4_multinomial_train_fold1.6	5.02E-04	4.93E-113	8.98E-04	5.86E-03	1.80E-03
ATP2B4_multinomial_train_fold1.7	2.31E-03	0.00E+00	5.52E-03	1.72E-03	5.28E-03
ATP2B4_multinomial_train_fold1.8	2.20E-03	1.33E-03	3.62E-03	1.85E-03	3.40E-03
ATP2B4_multinomial_train_fold1.9	4.76E-03	0.00E+00	5.97E-03	8.98E-03	4.53E-03
ATP2B4_multinomial_train_fold1.10	6.46E-03	0.00E+00	3.31E-03	2.51E-04	2.65E-03
ATP2B4_multinomial_train_fold1.11	0.00E+00	0.00E+00	6.69E-03	0.00E+00	2.76E-03
ATP2B4_multinomial_train_fold1.12	8.77E-03	6.58E-03	4.46E-03	1.57E-02	0.00E+00
ATP2B4_multinomial_train_fold1.13	2.70E-03	0.00E+00	8.25E-04	2.79E-03	2.41E-03
ATP2B4_multinomial_train_fold1.14	3.75E-03	5.03E-110	1.67E-03	5.98E-03	2.66E-03
ATP2B4_multinomial_train_fold1.15	4.35E-103	1.94E-03	6.71E-03	7.67E-03	1.51E-03
ATP2B4_multinomial_train_fold1.16	1.72E-03	3.06E-03	4.54E-03	5.84E-03	2.97E-03
ATP2B4_multinomial_train_fold1.17	1.76E-03	4.80E-46	4.69E-03	0.00E+00	2.52E-03
ATP2B4_multinomial_train_fold1.18	1.15E-11	7.58E-04	2.09E-03	0.00E+00	3.73E-03
