NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.378	37.801	0.059	29.191	0.206	0.914	15000.0
2	0.378	37.776	0.059	29.156	1.862	0.914	15000.0
3	0.382	38.198	0.06	29.416	0.204	0.912	15000.0
4	0.382	38.195	0.06	29.417	0.203	0.912	15000.0
5	0.378	37.814	0.059	29.19	0.202	0.913	15000.0
6	0.382	38.188	0.06	29.41	0.205	0.912	15000.0
7	0.382	38.195	0.06	29.408	0.21	0.912	30000.0
8	0.381	38.13	0.06	29.353	3.532	0.913	30000.0
9	0.382	38.163	0.06	29.395	0.204	0.912	15000.0
10	0.382	38.183	0.06	29.392	0.207	0.912	40000.0
