gene_KO	SBS96A_HR	SBS96B_MMR	SBS96C_Control	SBS96D_BER_UNG	SBS96E_BER_OGG1
ATP2B4	0.0601538556665432	0.039112272942919496	0.6985776818643672	0.09076911535275219	0.11138707417341773
EXO1	0.8598543537091967	0.020328852302965182	0.011549349688331738	0.0930153576000495	0.015252086699456768
RNF168	0.8698900035678927	0.026877881875086357	0.02725619165072576	0.05985665196672222	0.016119270939572897
UNG	0.02036097690439088	0.05381262720008836	0.037907979500394214	0.8530024915613612	0.034915924833765294
OGG1	0.01519529477641815	0.016268590275648434	0.10691275321744029	0.0738921263610248	0.7877312353694682
MLH1	0.016091293017867537	0.9668030749103197	1.0726166001501077e-187	0.01692352994056827	0.00018210213124453584
MSH2	1.649621588912074e-249	0.946855359243208	9.24389550710601e-149	0.05267017127104529	0.00047446948574666434
MSH6	0.0002575465689951263	0.9849562462188781	0.0019650586861796777	0.006938743224332463	0.00588240530161456
PMS1	0.005660050274914089	0.2251838288062047	0.5356272704486552	0.21877335012542543	0.01475550034480039
PMS2	0.5065319237494399	0.49346807625056016	6.3e-322	2.96e-322	6.87806946593191e-115
