Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	5.71E-05	1.12E-04	1.24E-03	1.04E-03	2.92E-04
OGG1_0_real_train1	9.44E-05	6.33E-05	2.17E-04	6.03E-04	7.63E-04
RNF168_0_real_train1	6.69E-05	0.00E+00	1.36E-03	8.77E-04	5.04E-04
UNG_0_real_train1	2.33E-162	2.10E-04	2.14E-03	9.72E-04	1.47E-03
ATP2B4_0_real_train1	7.64E-05	0.00E+00	1.05E-03	4.11E-03	5.08E-03
ATP2B4_1_real_train1	1.20E-04	5.56E-05	3.18E-04	7.62E-03	7.87E-03
MLH1_0_real_train1	1.71E-04	1.66E-04	2.07E-70	1.56E-04	1.59E-04
MSH2_0_real_train1	1.77E-04	1.57E-04	4.95E-05	9.62E-04	9.66E-04
MSH6_0_real_train1	1.62E-04	1.61E-04	0.00E+00	2.16E-04	2.21E-04
MSH6_1_real_train1	2.11E-04	1.31E-04	2.53E-162	4.16E-04	0.00E+00
PMS1_0_real_train1	5.37E-05	3.41E-05	1.08E-04	1.16E-02	1.14E-02
PMS2_0_real_train1	6.19E-05	9.47E-05	1.32E-04	7.78E-04	8.73E-04
EXO1_0_multinomial_train1	4.83E-05	6.13E-80	1.31E-03	1.32E-03	0.00E+00
EXO1_0_multinomial_train1.1	5.09E-05	1.01E-04	1.21E-03	5.51E-04	8.00E-04
EXO1_0_multinomial_train1.2	5.43E-05	0.00E+00	1.31E-03	1.01E-03	3.13E-04
EXO1_0_multinomial_train1.3	5.58E-05	1.14E-04	1.38E-03	1.38E-03	8.62E-05
EXO1_0_multinomial_train1.4	4.90E-05	0.00E+00	1.42E-03	1.41E-03	3.89E-91
EXO1_0_multinomial_train1.5	4.72E-05	2.55E-44	1.34E-03	3.45E-04	1.21E-03
EXO1_0_multinomial_train1.6	4.92E-05	1.05E-04	1.10E-03	1.18E-03	0.00E+00
EXO1_0_multinomial_train1.7	4.92E-05	1.03E-04	1.23E-03	1.16E-03	1.61E-04
EXO1_0_multinomial_train1.8	6.15E-05	1.18E-04	1.24E-03	1.11E-03	2.20E-04
EXO1_0_multinomial_train1.9	1.01E-04	2.37E-04	1.34E-03	1.33E-03	1.22E-04
EXO1_0_multinomial_train1.10	5.61E-05	1.04E-04	1.31E-03	1.12E-03	2.74E-04
EXO1_0_multinomial_train1.11	5.42E-05	1.05E-04	1.15E-03	3.30E-04	1.04E-03
EXO1_0_multinomial_train1.12	5.54E-05	1.01E-04	1.11E-03	5.68E-04	6.51E-04
EXO1_0_multinomial_train1.13	4.89E-05	0.00E+00	1.30E-03	8.85E-04	4.36E-04
EXO1_0_multinomial_train1.14	5.03E-05	1.89E-81	1.29E-03	9.15E-04	4.01E-04
EXO1_0_multinomial_train1.15	5.37E-05	1.18E-04	1.28E-03	1.18E-03	1.88E-04
EXO1_0_multinomial_train1.16	6.13E-05	1.24E-04	1.24E-03	1.33E-03	6.30E-81
EXO1_0_multinomial_train1.17	4.94E-05	1.14E-04	1.26E-03	1.17E-03	1.82E-04
EXO1_0_multinomial_train1.18	5.18E-05	1.68E-112	1.22E-03	8.28E-04	4.14E-04
EXO1_0_multinomial_train1.19	6.16E-05	1.30E-04	1.27E-03	1.36E-03	3.51E-135
EXO1_0_multinomial_train1.20	6.09E-05	1.27E-04	1.26E-03	1.34E-03	2.09E-72
EXO1_0_multinomial_train1.21	4.85E-05	1.15E-04	1.19E-03	1.27E-03	1.76E-111
EXO1_0_multinomial_train1.22	5.63E-05	1.11E-04	1.22E-03	4.66E-04	9.14E-04
EXO1_0_multinomial_train1.23	4.06E-05	0.00E+00	1.39E-03	7.57E-04	6.74E-04
EXO1_0_multinomial_train1.24	6.04E-05	1.30E-04	1.31E-03	1.41E-03	0.00E+00
EXO1_0_multinomial_train1.25	5.67E-05	1.14E-04	1.20E-03	4.63E-04	8.90E-04
EXO1_0_multinomial_train1.26	4.95E-05	6.49E-07	1.33E-03	6.84E-04	6.99E-04
EXO1_0_multinomial_train1.27	5.15E-05	1.40E-04	1.31E-03	1.41E-03	0.00E+00
EXO1_0_multinomial_train1.28	5.40E-05	9.67E-05	1.17E-03	3.10E-04	1.25E-03
EXO1_0_multinomial_train1.29	5.01E-05	8.01E-99	1.29E-03	4.93E-04	8.73E-04
EXO1_0_multinomial_train1.30	5.43E-05	1.15E-04	1.15E-03	1.23E-03	0.00E+00
EXO1_0_multinomial_train1.31	5.15E-05	0.00E+00	1.34E-03	1.37E-03	6.89E-05
EXO1_0_multinomial_train1.32	5.63E-05	0.00E+00	1.46E-03	1.46E-03	0.00E+00
EXO1_0_multinomial_train1.33	5.60E-05	9.17E-05	1.23E-03	1.13E-03	1.74E-04
EXO1_0_multinomial_train1.34	5.99E-05	1.31E-04	1.33E-03	1.05E-03	3.82E-04
EXO1_0_multinomial_train1.35	4.74E-05	1.05E-04	1.20E-03	8.90E-04	4.03E-04
EXO1_0_multinomial_train1.36	6.04E-05	9.58E-05	1.15E-03	7.34E-04	5.09E-04
EXO1_0_multinomial_train1.37	5.56E-05	1.17E-04	1.16E-03	7.64E-04	4.94E-04
EXO1_0_multinomial_train1.38	5.52E-05	0.00E+00	1.35E-03	1.12E-03	2.33E-04
EXO1_0_multinomial_train1.39	4.91E-05	0.00E+00	1.36E-03	1.35E-03	1.53E-10
EXO1_0_multinomial_train1.40	5.70E-05	0.00E+00	1.36E-03	5.16E-04	8.92E-04
EXO1_0_multinomial_train1.41	4.64E-05	0.00E+00	1.38E-03	1.17E-03	2.24E-04
EXO1_0_multinomial_train1.42	5.44E-05	0.00E+00	1.34E-03	6.29E-04	7.54E-04
EXO1_0_multinomial_train1.43	6.31E-05	1.24E-04	1.18E-03	1.27E-03	0.00E+00
EXO1_0_multinomial_train1.44	5.29E-05	1.02E-04	1.23E-03	8.61E-04	4.66E-04
EXO1_0_multinomial_train1.45	4.92E-05	9.66E-05	1.16E-03	1.24E-03	6.80E-11
EXO1_0_multinomial_train1.46	5.41E-05	1.01E-04	1.18E-03	1.25E-03	1.70E-86
EXO1_0_multinomial_train1.47	5.76E-05	0.00E+00	1.31E-03	7.52E-04	5.64E-04
EXO1_0_multinomial_train1.48	5.09E-05	1.34E-04	1.25E-03	1.35E-03	0.00E+00
EXO1_0_multinomial_train1.49	4.64E-05	0.00E+00	1.31E-03	7.26E-04	6.18E-04
EXO1_0_multinomial_train1.50	8.63E-05	1.83E-04	1.32E-03	1.41E-03	3.71E-67
EXO1_0_multinomial_train1.51	5.40E-05	0.00E+00	1.38E-03	1.39E-03	0.00E+00
EXO1_0_multinomial_train1.52	5.09E-05	0.00E+00	1.27E-03	9.96E-04	2.87E-04
EXO1_0_multinomial_train1.53	5.58E-05	0.00E+00	1.32E-03	5.26E-04	8.51E-04
EXO1_0_multinomial_train1.54	5.03E-05	0.00E+00	1.33E-03	1.33E-03	2.34E-71
EXO1_0_multinomial_train1.55	5.01E-05	9.72E-05	1.19E-03	1.09E-03	1.84E-04
EXO1_0_multinomial_train1.56	5.46E-05	1.33E-04	1.27E-03	1.37E-03	5.86E-81
EXO1_0_multinomial_train1.57	4.82E-05	9.43E-05	1.20E-03	8.55E-04	4.31E-04
EXO1_0_multinomial_train1.58	6.02E-05	1.17E-04	1.21E-03	4.00E-04	1.01E-03
EXO1_0_multinomial_train1.59	5.25E-05	0.00E+00	1.31E-03	4.18E-04	1.00E-03
EXO1_0_multinomial_train1.60	5.79E-05	9.74E-05	1.20E-03	9.49E-04	3.35E-04
EXO1_0_multinomial_train1.61	5.44E-05	8.28E-05	1.32E-03	1.23E-03	1.24E-04
EXO1_0_multinomial_train1.62	4.86E-05	6.18E-10	1.22E-03	6.58E-04	6.04E-04
EXO1_0_multinomial_train1.63	5.07E-05	7.03E-163	1.39E-03	1.35E-03	4.24E-05
EXO1_0_multinomial_train1.64	4.94E-05	1.55E-79	1.33E-03	1.37E-03	9.27E-05
EXO1_0_multinomial_train1.65	5.87E-05	9.55E-05	1.20E-03	1.12E-03	1.67E-04
EXO1_0_multinomial_train1.66	8.91E-05	2.15E-04	1.29E-03	9.50E-04	4.73E-04
EXO1_0_multinomial_train1.67	4.55E-05	0.00E+00	1.39E-03	1.35E-03	4.89E-05
EXO1_0_multinomial_train1.68	5.30E-05	1.28E-04	1.28E-03	1.15E-03	2.30E-04
EXO1_0_multinomial_train1.69	4.22E-05	8.95E-05	1.21E-03	9.19E-04	3.87E-04
EXO1_0_multinomial_train1.70	5.13E-05	0.00E+00	1.32E-03	1.32E-03	0.00E+00
EXO1_0_multinomial_train1.71	5.89E-05	1.06E-04	1.26E-03	1.19E-03	1.54E-04
EXO1_0_multinomial_train1.72	5.02E-05	2.71E-40	1.34E-03	1.23E-03	1.15E-04
EXO1_0_multinomial_train1.73	4.93E-05	1.07E-04	1.17E-03	7.83E-04	4.84E-04
EXO1_0_multinomial_train1.74	5.27E-05	5.04E-95	1.41E-03	1.42E-03	1.66E-49
EXO1_0_multinomial_train1.75	5.15E-05	2.49E-67	1.33E-03	4.81E-04	9.59E-04
EXO1_0_multinomial_train1.76	5.43E-05	0.00E+00	1.32E-03	6.68E-04	6.67E-04
EXO1_0_multinomial_train1.77	5.63E-05	0.00E+00	1.31E-03	8.91E-04	4.32E-04
EXO1_0_multinomial_train1.78	5.27E-05	0.00E+00	1.40E-03	1.16E-03	2.43E-04
EXO1_0_multinomial_train1.79	5.27E-05	0.00E+00	1.32E-03	7.70E-04	5.72E-04
EXO1_0_multinomial_train1.80	4.89E-05	1.35E-150	1.45E-03	1.46E-03	5.88E-162
EXO1_0_multinomial_train1.81	5.15E-05	9.94E-05	1.16E-03	1.24E-03	3.28E-55
EXO1_0_multinomial_train1.82	5.01E-05	0.00E+00	1.34E-03	1.35E-03	1.16E-91
EXO1_0_multinomial_train1.83	5.11E-05	0.00E+00	1.29E-03	4.98E-04	8.63E-04
EXO1_0_multinomial_train1.84	6.72E-05	1.20E-04	1.19E-03	1.01E-03	2.75E-04
EXO1_0_multinomial_train1.85	5.27E-05	0.00E+00	1.23E-03	3.28E-04	1.05E-03
EXO1_0_multinomial_train1.86	5.24E-05	0.00E+00	1.29E-03	5.10E-04	8.41E-04
EXO1_0_multinomial_train1.87	5.40E-05	1.41E-126	1.44E-03	1.45E-03	3.48E-78
EXO1_0_multinomial_train1.88	4.85E-05	9.32E-05	1.19E-03	1.26E-03	1.94E-134
EXO1_0_multinomial_train1.89	5.01E-05	1.30E-40	1.33E-03	1.34E-03	2.28E-129
EXO1_0_multinomial_train1.90	5.34E-05	9.47E-05	1.19E-03	3.51E-04	1.06E-03
